城市,城市废水中工业化学需氧量排放量,城市废水中工业氨氮排放量,城市废水中生活化学需氧量排放量,城市废水中生活氨氮排放量
北京,1414吨,26吨,34302吨,1965吨
天津,2780吨,82吨,33625吨,1235吨
石家庄,3405吨,138吨,31252吨,914吨
太原,639吨,28吨,11422吨,256吨
呼和浩特,778吨,21吨,27504吨,2396吨
沈阳,1227吨,61吨,23821吨,721吨
长春,1034吨,29吨,50864吨,941吨
哈尔滨,730吨,26吨,39748吨,870吨
上海,8636吨,192吨,58179吨,2492吨
南京,3196吨,100吨,74910吨,4494吨
杭州,4715吨,81吨,43871吨,4159吨
合肥,1644吨,40吨,23639吨,708吨
福州,1529吨,29吨,44198吨,1551吨
南昌,2416吨,83吨,19510吨,1149吨
济南,1557吨,52吨,43238吨,2515吨
郑州,1065吨,24吨,42054吨,1590吨
武汉,3003吨,151吨,56104吨,4221吨
长沙,2672吨,135吨,27370吨,1806吨
广州,2813吨,70吨,34099吨,2277吨
南宁,2428吨,59吨,63244吨,2837吨
海口,158吨,9吨,16878吨,690吨
重庆,8899吨,411吨,126684吨,15498吨
成都,1993吨,58吨,201371吨,25072吨
贵阳,967吨,149吨,14730吨,1426吨
昆明,1148吨,79吨,21317吨,3150吨
拉萨,67吨,3吨,6164吨,690吨
西安,956吨,45吨,41289吨,5317吨
兰州,796吨,28吨,8902吨,396吨
西宁,275吨,21吨,18967吨,2138吨
银川,1077吨,24吨,8061吨,315吨
乌鲁木齐,542吨,23吨,9213吨,5066吨
