城市,工业二氧化硫排放量,工业氮氧化物排放量,工业颗粒物排放量,生活及其他二氧化硫排放量,生活及其他氮氧化物排放量,生活及其他颗粒物排放量
北京,1004吨,9590吨,2180吨,415吨,8333吨,2800吨
天津,8138吨,24821吨,8189吨,345吨,3697吨,3743吨
石家庄,7826吨,18189吨,10013吨,3166吨,4101吨,16042吨
太原,8360吨,19351吨,15986吨,263吨,1264吨,766吨
呼和浩特,10233吨,17520吨,6144吨,1082吨,931吨,5441吨
沈阳,8643吨,16805吨,3584吨,2680吨,1611吨,6780吨
长春,14452吨,21838吨,7821吨,9316吨,5081吨,37353吨
哈尔滨,7172吨,17177吨,6136吨,26339吨,14837吨,131729吨
上海,5535吨,21481吨,7557吨,220吨,4765吨,1301吨
南京,11136吨,22054吨,19876吨,1吨,1798吨,165吨
杭州,3195吨,13956吨,10768吨,80吨,387吨,262吨
合肥,4553吨,9899吨,4594吨,599吨,1679吨,6081吨
福州,12635吨,28970吨,18922吨,715吨,700吨,1480吨
南昌,4932吨,8184吨,2823吨,215吨,517吨,473吨
济南,9458吨,22763吨,11047吨,4141吨,2390吨,11148吨
郑州,5067吨,10691吨,6628吨,100吨,1700吨,334吨
武汉,8725吨,21541吨,6080吨,9701吨,4134吨,19583吨
长沙,1043吨,3341吨,2303吨,1387吨,944吨,3519吨
广州,1822吨,12206吨,4736吨,839吨,1645吨,2521吨
南宁,2761吨,11700吨,6649吨,1114吨,610吨,2261吨
海口,266吨,188吨,32吨,0吨,310吨,28吨
重庆,41733吨,70029吨,46178吨,8856吨,6530吨,10910吨
成都,3374吨,11201吨,5504吨,2027吨,5072吨,3549吨
贵阳,11123吨,8436吨,4963吨,2391吨,374吨,2665吨
昆明,19075吨,23666吨,22991吨,5936吨,2201吨,9995吨
拉萨,398吨,1579吨,1730吨,124吨,76吨,195吨
西安,1154吨,2595吨,802吨,3726吨,5554吨,11043吨
兰州,12922吨,15039吨,5245吨,2165吨,2072吨,8762吨
西宁,26792吨,11793吨,8629吨,230吨,1162吨,2381吨
银川,7830吨,14366吨,4476吨,20吨,934吨,185吨
乌鲁木齐,6779吨,14855吨,15441吨,287吨,2039吨,2077吨
