城市,一般工业固体废物产生量,一般工业固体废物综合利用量,一般工业固体废物处置量,一般工业固体废物贮存量
北京,194万吨,114万吨,80万吨,0万吨
天津,1927万吨,1921万吨,5万吨,2万吨
石家庄,1353万吨,1282万吨,71万吨,12万吨
太原,3283万吨,1312万吨,1838万吨,147万吨
呼和浩特,1405万吨,373万吨,1018万吨,14万吨
沈阳,917万吨,851万吨,67万吨,8万吨
长春,756万吨,591万吨,168万吨,2万吨
哈尔滨,575万吨,535万吨,20万吨,20万吨
上海,2073万吨,1947万吨,126万吨,2万吨
南京,1941万吨,1828万吨,95万吨,38万吨
杭州,572万吨,572万吨,4万吨,1万吨
合肥,1309万吨,1154万吨,26万吨,232万吨
福州,896万吨,881万吨,15万吨,6万吨
南昌,263万吨,255万吨,8万吨,0万吨
济南,2412万吨,2321万吨,127万吨,8万吨
郑州,1115万吨,893万吨,256万吨,0万吨
武汉,1316万吨,1278万吨,26万吨,12万吨
长沙,157万吨,132万吨,18万吨,8万吨
广州,614万吨,578万吨,34万吨,2万吨
南宁,180万吨,164万吨,15万吨,1万吨
海口,6万吨,6万吨,0万吨,0万吨
重庆,2267万吨,1884万吨,271万吨,147万吨
成都,334万吨,303万吨,30万吨,2万吨
贵阳,1631万吨,1161万吨,456万吨,96万吨
昆明,3275万吨,1159万吨,1488万吨,632万吨
拉萨,1627万吨,126万吨,6万吨,1495万吨
西安,178万吨,154万吨,24万吨,0万吨
兰州,522万吨,511万吨,5万吨,6万吨
西宁,477万吨,463万吨,8万吨,11万吨
银川,1688万吨,908万吨,794万吨,47万吨
乌鲁木齐,930万吨,858万吨,68万吨,4万吨
