城市,二氧化硫年平均浓度,二氧化氮年平均浓度,可吸入颗粒物年平均浓度,一氧化碳日均值第95百分位浓度,臭氧日最大8小时第90百分位浓度,细颗粒物年平均浓度,空气质量优良天数比例
北京,3微克/立方米,26微克/立方米,55微克/立方米,1.1毫克/立方米,149ug/立方米,33ug/立方米,79%
天津,8微克/立方米,37微克/立方米,69微克/立方米,1.4毫克/立方米,160ug/立方米,39ug/立方米,72%
石家庄,9微克/立方米,32微克/立方米,84微克/立方米,1.4毫克/立方米,173ug/立方米,46ug/立方米,66%
太原,14微克/立方米,39微克/立方米,83微克/立方米,1.5毫克/立方米,192ug/立方米,44ug/立方米,61%
呼和浩特,11微克/立方米,28微克/立方米,60微克/立方米,1.4毫克/立方米,144ug/立方米,28ug/立方米,87%
沈阳,15微克/立方米,33微克/立方米,65微克/立方米,1.5毫克/立方米,135ug/立方米,38ug/立方米,86%
长春,9微克/立方米,31微克/立方米,54微克/立方米,1毫克/立方米,116ug/立方米,31ug/立方米,90%
哈尔滨,16微克/立方米,31微克/立方米,57微克/立方米,1.2毫克/立方米,128ug/立方米,37ug/立方米,85%
上海,6微克/立方米,35微克/立方米,43微克/立方米,0.9毫克/立方米,145ug/立方米,27ug/立方米,92%
南京,6微克/立方米,33微克/立方米,56微克/立方米,1毫克/立方米,168ug/立方米,29ug/立方米,82%
杭州,6微克/立方米,34微克/立方米,55微克/立方米,0.9毫克/立方米,162ug/立方米,28ug/立方米,88%
合肥,7微克/立方米,36微克/立方米,63微克/立方米,1毫克/立方米,143ug/立方米,32ug/立方米,86%
福州,4微克/立方米,18微克/立方米,39微克/立方米,0.8毫克/立方米,113ug/立方米,21ug/立方米,100%
南昌,8微克/立方米,27微克/立方米,61微克/立方米,1.1毫克/立方米,134ug/立方米,31ug/立方米,92%
济南,11微克/立方米,33微克/立方米,78微克/立方米,1.3毫克/立方米,181ug/立方米,40ug/立方米,63%
郑州,8微克/立方米,32微克/立方米,76微克/立方米,1.2毫克/立方米,177ug/立方米,42ug/立方米,65%
武汉,8微克/立方米,40微克/立方米,59微克/立方米,1.3毫克/立方米,155ug/立方米,37ug/立方米,79%
长沙,7微克/立方米,29微克/立方米,52微克/立方米,1.1毫克/立方米,144ug/立方米,43ug/立方米,83%
广州,8微克/立方米,34微克/立方米,46微克/立方米,1毫克/立方米,160ug/立方米,24ug/立方米,89%
南宁,8微克/立方米,25微克/立方米,47微克/立方米,1毫克/立方米,129ug/立方米,28ug/立方米,97%
海口,4微克/立方米,10微克/立方米,28微克/立方米,0.7毫克/立方米,124ug/立方米,14ug/立方米,98%
重庆,9微克/立方米,32微克/立方米,54微克/立方米,1毫克/立方米,127ug/立方米,35ug/立方米,89%
成都,6微克/立方米,35微克/立方米,61微克/立方米,1毫克/立方米,151ug/立方米,40ug/立方米,82%
贵阳,10微克/立方米,20微克/立方米,42微克/立方米,0.9毫克/立方米,114ug/立方米,23ug/立方米,99%
昆明,9微克/立方米,23微克/立方米,41微克/立方米,0.9毫克/立方米,134ug/立方米,24ug/立方米,98%
拉萨,6微克/立方米,16微克/立方米,24微克/立方米,0.8毫克/立方米,121ug/立方米,10ug/立方米,100%
西安,8微克/立方米,40微克/立方米,82微克/立方米,1.3毫克/立方米,154ug/立方米,41ug/立方米,73%
兰州,15微克/立方米,46微克/立方米,72微克/立方米,2毫克/立方米,145ug/立方米,32ug/立方米,81%
西宁,18微克/立方米,36微克/立方米,58微克/立方米,2毫克/立方米,142ug/立方米,32ug/立方米,90%
银川,14微克/立方米,30微克/立方米,63微克/立方米,1.5毫克/立方米,152ug/立方米,27ug/立方米,84%
乌鲁木齐,7微克/立方米,38微克/立方米,65微克/立方米,1.8毫克/立方米,134ug/立方米,39ug/立方米,81%
