地区,林业用地面积,森林面积,人工林面积,森林覆盖率,活立木总蓄积量,森林蓄积量
全国,32368.55万公顷,22044.62万公顷,8003.10万公顷,22.96%,1900713.20万立方米,1756022.99万立方米
北京,107.10万公顷,71.82万公顷,43.48万公顷,43.77%,3000.81万立方米,2437.36万立方米
天津,20.39万公顷,13.64万公顷,12.98万公顷,12.07%,620.56万立方米,460.27万立方米
河北,775.64万公顷,502.69万公顷,263.54万公顷,26.78%,15920.34万立方米,13737.98万立方米
山西,787.25万公顷,321.09万公顷,167.63万公顷,20.5%,14778.65万立方米,12923.37万立方米
内蒙古,4499.17万公顷,2614.85万公顷,600.01万公顷,22.1%,166271.98万立方米,152704.12万立方米
辽宁,735.92万公顷,571.83万公顷,315.32万公顷,39.24%,30888.53万立方米,29749.18万立方米
吉林,904.79万公顷,784.87万公顷,175.94万公顷,41.49%,105368.45万立方米,101295.77万立方米
黑龙江,2453.77万公顷,1990.46万公顷,243.26万公顷,43.78%,199999.41万立方米,184704.09万立方米
上海,10.19万公顷,8.90万公顷,8.90万公顷,14.04%,664.32万立方米,449.59万立方米
江苏,174.98万公顷,155.99万公顷,150.83万公顷,15.2%,9609.62万立方米,7044.48万立方米
浙江,659.77万公顷,604.99万公顷,244.65万公顷,59.43%,31384.86万立方米,28114.67万立方米
安徽,449.33万公顷,395.85万公顷,232.91万公顷,28.65%,26145.10万立方米,22186.55万立方米
福建,924.40万公顷,811.58万公顷,385.59万公顷,66.8%,79711.29万立方米,72937.63万立方米
江西,1079.90万公顷,1021.02万公顷,368.70万公顷,61.16%,57564.29万立方米,50665.83万立方米
山东,349.34万公顷,266.51万公顷,256.11万公顷,17.51%,13040.49万立方米,9161.49万立方米
河南,520.74万公顷,403.18万公顷,245.78万公顷,24.14%,26564.48万立方米,20719.12万立方米
湖北,876.09万公顷,736.27万公顷,197.42万公顷,39.61%,39579.82万立方米,36507.91万立方米
湖南,1257.59万公顷,1052.58万公顷,501.51万公顷,49.69%,46141.03万立方米,40715.73万立方米
广东,1080.29万公顷,945.98万公顷,615.51万公顷,53.52%,50063.49万立方米,46755.09万立方米
广西,1629.50万公顷,1429.65万公顷,733.53万公顷,60.17%,74433.24万立方米,67752.45万立方米
海南,217.50万公顷,194.49万公顷,140.40万公顷,57.36%,16347.14万立方米,15340.15万立方米
重庆,421.71万公顷,354.97万公顷,95.93万公顷,43.11%,24412.17万立方米,20678.18万立方米
四川,2454.52万公顷,1839.77万公顷,502.22万公顷,38.03%,197201.77万立方米,186099.00万立方米
贵州,927.96万公顷,771.03万公顷,315.45万公顷,43.77%,44464.57万立方米,39182.90万立方米
云南,2599.44万公顷,2106.16万公顷,507.68万公顷,55.04%,213244.99万立方米,197265.84万立方米
西藏,1798.19万公顷,1490.99万公顷,7.84万公顷,12.14%,230519.15万立方米,228254.42万立方米
陕西,1236.79万公顷,886.84万公顷,310.53万公顷,43.06%,51023.42万立方米,47866.70万立方米
甘肃,1046.35万公顷,509.73万公顷,126.56万公顷,11.33%,28386.88万立方米,25188.89万立方米
青海,819.16万公顷,419.75万公顷,19.10万公顷,5.82%,5556.86万立方米,4864.15万立方米
宁夏,179.52万公顷,65.60万公顷,43.55万公顷,12.63%,1111.14万立方米,835.18万立方米
新疆,1371.26万公顷,802.23万公顷,121.42万公顷,4.87%,46490.95万立方米,39221.50万立方米
