地区,造林总面积,人工造林面积,飞播造林面积,封山育林面积,退化林修复面积,人工更新面积
北京,24783公顷,8005公顷,,16669公顷,,110公顷
天津,5396公顷,,,5396公顷,,
河北,181389公顷,72844公顷,4831公顷,47684公顷,51130公顷,4899公顷
山西,338830公顷,219727公顷,13381公顷,83538公顷,10096公顷,12088公顷
内蒙古,272951公顷,128217公顷,23403公顷,63869公顷,57081公顷,381公顷
辽宁,56559公顷,18862公顷,,3835公顷,28867公顷,4994公顷
吉林,105897公顷,4816公顷,,23092公顷,68375公顷,9615公顷
黑龙江,95686公顷,21742公顷,,23470公顷,48971公顷,1502公顷
上海,,,,,,
江苏,3211公顷,2556公顷,,,519公顷,136公顷
浙江,23975公顷,8862公顷,,4173公顷,10940公顷,
安徽,52735公顷,8366公顷,,29788公顷,12933公顷,1648公顷
福建,96935公顷,7145公顷,,43984公顷,23722公顷,22085公顷
江西,256815公顷,20936公顷,,81839公顷,113015公顷,41024公顷
山东,11820公顷,6531公顷,,,3052公顷,2238公顷
河南,147507公顷,70654公顷,28163公顷,16653公顷,16385公顷,15653公顷
湖北,138489公顷,30628公顷,,80534公顷,25529公顷,1798公顷
湖南,153227公顷,67481公顷,,45847公顷,39516公顷,382公顷
广东,58234公顷,1801公顷,,24333公顷,23214公顷,8885公顷
广西,194768公顷,9792公顷,,20609公顷,112611公顷,51757公顷
海南,8936公顷,497公顷,,,0公顷,8439公顷
重庆,117661公顷,14994公顷,,42439公顷,54538公顷,5690公顷
四川,186389公顷,35846公顷,,111312公顷,32502公顷,6730公顷
贵州,35434公顷,5326公顷,,11995公顷,17446公顷,667公顷
云南,149132公顷,34634公顷,,79675公顷,32020公顷,2802公顷
西藏,70563公顷,5339公顷,38873公顷,19998公顷,,6353公顷
陕西,324331公顷,59515公顷,52922公顷,181456公顷,30438公顷,
甘肃,178184公顷,89634公顷,,41782公顷,45505公顷,1263公顷
青海,165883公顷,46650公顷,10667公顷,30300公顷,43468公顷,34798公顷
宁夏,100414公顷,43866公顷,,5793公顷,49710公顷,1044公顷
新疆,169802公顷,39176公顷,,95037公顷,31980公顷,3610公顷
大兴安岭,28436公顷,650公顷,,,27785公顷,
