年份,发生地质灾害数量,滑坡次数,崩塌次数,泥石流次数,地面塌陷次数,人员伤亡数量,死亡人数,直接经济损失
2000,19653处,13431处,2945处,1958处,347处,27697人,1179人,494201万元
2005,17751处,9367处,7654处,566处,137处,1223人,578人,357678万元
2006,102804处,88523处,13160处,417处,398处,1227人,663人,431590万元
2007,25364处,15478处,7722处,1215处,578处,1123人,598人,247528万元
2008,26580处,13450处,8080处,843处,454处,1598人,656人,326936万元
2009,10580处,6310处,2378处,1442处,326处,845人,331人,190109万元
2010,30670处,22250处,5688处,1981处,478处,3445人,2244人,638509万元
2011,15804处,11504处,2445处,1356处,386处,413人,244人,413151万元
2012,14675处,11112处,2152处,952处,364处,636人,293人,625253万元
2013,15374处,9832处,3288处,1547处,385处,929人,482人,1043568万元
2014,10937处,8149处,1860处,554处,307处,637人,360人,567027万元
2015,8355处,5668处,1870处,483处,292处,422人,226人,250528万元
2016,10997处,8194处,1905处,652处,225处,593人,362人,354290万元
2017,7521处,5524处,1356处,387处,206处,523人,329人,359477万元
2018,2966处,1631处,858处,339处,122处,185人,105人,147128万元
2019,6181处,4220处,1238处,599处,121处,299人,211人,276868万元
2020,7840处,4810处,1797处,899处,183处,197人,117人,502027万元
2021,4761处,2335处,1746处,374处,285处,129人,80人,320025万元
