地区,森林火灾次数,一般火灾次数,较大火灾次数,重大火灾次数,特别重大火灾次数,火场总面积,受害森林面积,伤亡人数,其它损失折款
全国,616次,295次,321次,0次,0次,14124公顷,4457公顷,28人,3324.1万元
北京,0次,0次,0次,0次,0次,0公顷,0公顷,0人,0.0万元
天津,0次,0次,0次,0次,0次,0公顷,0公顷,0人,0.0万元
河北,5次,4次,1次,0次,0次,290公顷,24公顷,0人,27.8万元
山西,8次,4次,4次,0次,0次,1219公顷,244公顷,0人,0.0万元
内蒙古,15次,7次,8次,0次,0次,108公顷,58公顷,0人,443.1万元
辽宁,13次,9次,4次,0次,0次,138公顷,39公顷,0人,0.0万元
吉林,11次,10次,1次,0次,0次,18公顷,6公顷,0人,8.1万元
黑龙江,3次,3次,0次,0次,0次,0公顷,1公顷,0人,0.0万元
上海,,,,,,,,,
江苏,2次,2次,0次,0次,0次,1公顷,0公顷,0人,0.0万元
浙江,21次,8次,13次,0次,0次,198公顷,88公顷,1人,119.1万元
安徽,5次,5次,0次,0次,0次,7公顷,1公顷,0人,0.2万元
福建,44次,15次,29次,0次,0次,516公顷,307公顷,0人,215.9万元
江西,50次,19次,31次,0次,0次,677公顷,303公顷,2人,192.7万元
山东,2次,2次,0次,0次,0次,5公顷,1公顷,0人,0.0万元
河南,7次,6次,1次,0次,0次,21公顷,3公顷,0人,96.6万元
湖北,30次,20次,10次,0次,0次,178公顷,76公顷,0人,4.4万元
湖南,58次,33次,25次,0次,0次,708公顷,277公顷,2人,70.1万元
广东,99次,31次,68次,0次,0次,2337公顷,1024公顷,1人,490.6万元
广西,97次,32次,65次,0次,0次,1181公顷,495公顷,0人,156.6万元
海南,15次,8次,7次,0次,0次,76公顷,46公顷,0人,1.9万元
重庆,8次,7次,1次,0次,0次,15公顷,12公顷,0人,7.6万元
四川,22次,13次,9次,0次,0次,1736公顷,239公顷,0人,618.0万元
贵州,9次,5次,4次,0次,0次,130公顷,49公顷,0人,314.4万元
云南,45次,22次,23次,0次,0次,3028公顷,836公顷,13人,514.1万元
西藏,6次,0次,6次,0次,0次,848公顷,159公顷,0人,0.0万元
陕西,17次,11次,6次,0次,0次,100公顷,45公顷,1人,12.0万元
甘肃,11次,7次,4次,0次,0次,77公顷,23公顷,0人,14.4万元
青海,2次,1次,1次,0次,0次,228公顷,94公顷,0人,0.5万元
宁夏,6次,6次,0次,0次,0次,285公顷,8公顷,8人,10.1万元
新疆,5次,5次,0次,0次,0次,0公顷,0公顷,0人,6.0万元
