流域名称,流域面积,面积占比
合计,9506678平方公里,100%
外流河,6150927平方公里,64.70%
黑龙江及绥芬河,934802平方公里,9.83%
辽河、鸭绿江及沿海诸河,314146平方公里,3.30%
海滦河,320041平方公里,3.37%
黄河,752773平方公里,7.92%
淮河及山东沿海诸河,330009平方公里,3.47%
长江,1782715平方公里,18.75%
浙闽台诸河,244574平方公里,2.57%
珠江及沿海诸河,578974平方公里,6.09%
元江及澜仓江,240389平方公里,2.53%
怒江及滇西诸河,157392平方公里,1.66%
雅鲁藏布江及藏南诸河,387550平方公里,4.08%
藏西诸河,58783平方公里,0.62%
额尔齐斯河,48779平方公里,0.51%
内陆河,3355751平方公里,35.30%
内蒙内陆河,311378平方公里,3.28%
河西内陆河,469843平方公里,4.94%
准嘎尔内陆河,323621平方公里,3.40%
中亚细亚内陆河,77757平方公里,0.82%
塔里木内陆河,1079643平方公里,11.36%
青海内陆河,321161平方公里,3.38%
羌唐内陆河,730077平方公里,7.68%
松花江、黄河、藏南闭流区,42271平方公里,0.44%
