地区,城镇环境基础设施建设投资,燃气建设投资,集中供热建设投资,排水建设投资,园林绿化建设投资,市容环境卫生建设投资
全国,65782796万元,3051501万元,5582929万元,27147391万元,20031098万元,9969877万元
北京,2195863万元,132161万元,294232万元,572900万元,1016026万元,180544万元
天津,406949万元,14575万元,26666万元,161886万元,104959万元,98863万元
河北,3657128万元,109137万元,693760万元,1155385万元,916752万元,782094万元
山西,1227003万元,25217万元,614458万元,294414万元,152121万元,140793万元
内蒙古,1123116万元,16116万元,518733万元,292552万元,170668万元,125047万元
辽宁,1049848万元,143111万元,204810万元,332523万元,141534万元,227870万元
吉林,634073万元,78129万元,79281万元,262897万元,157897万元,55869万元
黑龙江,1094573万元,21598万元,385209万元,286540万元,151292万元,249934万元
上海,1259338万元,115946万元,0万元,717799万元,192461万元,233132万元
江苏,4229827万元,166388万元,13131万元,1671125万元,1922517万元,456666万元
浙江,3790177万元,158235万元,9800万元,1374984万元,1828039万元,419119万元
安徽,3057511万元,240952万元,42364万元,1419689万元,966853万元,387653万元
福建,2007258万元,153805万元,0万元,1002785万元,505217万元,345451万元
江西,3322602万元,125026万元,0万元,1727380万元,1064401万元,405795万元
山东,5041214万元,155659万元,1219633万元,1530685万元,1550288万元,584949万元
河南,5667609万元,141877万元,445618万元,1310721万元,2773672万元,995721万元
湖北,3005685万元,85333万元,20315万元,1350598万元,1265387万元,284052万元
湖南,2399124万元,225349万元,1000万元,1517796万元,385235万元,269744万元
广东,4398527万元,318326万元,0万元,2613872万元,385103万元,1081226万元
广西,1521118万元,85002万元,0万元,825371万元,299834万元,310911万元
海南,258893万元,18931万元,0万元,107114万元,62629万元,70219万元
重庆,2063093万元,37034万元,0万元,888047万元,726081万元,411931万元
四川,4720372万元,73756万元,21308万元,2394644万元,1594410万元,636254万元
贵州,1255021万元,93214万元,4680万元,642671万元,127696万元,386760万元
云南,1402702万元,77218万元,0万元,794322万元,303188万元,227974万元
西藏,129742万元,23837万元,85万元,42096万元,45620万元,18104万元
陕西,2311014万元,112999万元,252800万元,898855万元,814918万元,231442万元
甘肃,865108万元,31486万元,177771万元,415537万元,134885万元,105429万元
青海,147759万元,6544万元,28372万元,75917万元,21422万元,15504万元
宁夏,361573万元,12883万元,94828万元,152379万元,37506万元,63977万元
新疆,1178976万元,51657万元,434075万元,313907万元,212487万元,166850万元
