地区,工业污染治理完成投资,治理废水投资,治理废气投资,治理固体废物投资,治理噪声投资,治理其他投资
北京,6350万元,762万元,5273万元,,84万元,231万元
天津,10076万元,600万元,9014万元,,,462万元
河北,95548万元,4821万元,80811万元,,,9917万元
山西,76071万元,7747万元,44865万元,1153万元,178万元,22128万元
内蒙古,330854万元,26783万元,212010万元,8181万元,,83880万元
辽宁,120759万元,3573万元,94691万元,536万元,35万元,21925万元
吉林,39423万元,216万元,36793万元,65万元,,2349万元
黑龙江,131055万元,6839万元,21268万元,,183万元,102765万元
上海,110942万元,16142万元,77635万元,10万元,120万元,17035万元
江苏,98229万元,24098万元,63207万元,1万元,100万元,10823万元
浙江,175538万元,31903万元,115652万元,5689万元,1406万元,20888万元
安徽,165279万元,23696万元,128598万元,16万元,22万元,12947万元
福建,120401万元,2194万元,93704万元,1208万元,1699万元,21596万元
江西,87284万元,16513万元,22895万元,9万元,195万元,47672万元
山东,376918万元,77620万元,250164万元,989万元,40万元,48105万元
河南,75012万元,5326万元,62442万元,,120万元,7124万元
湖北,138490万元,12177万元,114745万元,,,11568万元
湖南,105596万元,14483万元,90300万元,,,813万元
广东,380607万元,15852万元,225528万元,24万元,2万元,139202万元
广西,119600万元,3323万元,113170万元,34万元,22万元,3051万元
海南,11091万元,1604万元,4995万元,6万元,,4487万元
重庆,20657万元,2546万元,16735万元,,,1376万元
四川,81009万元,25489万元,50678万元,30万元,690万元,4123万元
贵州,97800万元,10387万元,44888万元,15957万元,466万元,26101万元
云南,71485万元,4757万元,46396万元,640万元,72万元,19621万元
西藏,10万元,,,8万元,,2万元
陕西,64414万元,5380万元,26477万元,23万元,2万元,32532万元
甘肃,53787万元,2059万元,46122万元,,,5607万元
青海,11826万元,15万元,11471万元,,,340万元
宁夏,65360万元,9967万元,40943万元,,,14450万元
新疆,110892万元,4371万元,69514万元,2032万元,,34974万元
