城市名称,1月湿度,2月湿度,3月湿度,4月湿度,5月湿度,6月湿度,7月湿度,8月湿度,9月湿度,10月湿度,11月湿度,12月湿度,年平均湿度
北京,44%,45%,55%,41%,43%,54%,78%,70%,78%,63%,59%,47%,56%
天津,48%,48%,56%,46%,48%,60%,79%,75%,79%,69%,67%,54%,61%
石家庄,40%,43%,61%,49%,47%,54%,76%,73%,76%,69%,54%,49%,58%
太原,37%,42%,59%,49%,43%,58%,75%,70%,75%,77%,59%,50%,58%
呼和浩特,46%,38%,44%,47%,35%,44%,61%,61%,61%,47%,53%,53%,49%
沈阳,61%,57%,51%,46%,59%,72%,78%,81%,78%,68%,75%,56%,65%
大连,61%,55%,59%,49%,60%,76%,87%,78%,87%,63%,62%,53%,65%
长春,69%,64%,55%,40%,48%,73%,80%,88%,80%,59%,75%,63%,66%
哈尔滨,71%,67%,67%,49%,59%,73%,83%,85%,83%,60%,78%,66%,70%
上海,64%,72%,79%,73%,75%,85%,84%,87%,84%,78%,73%,70%,77%
南京,63%,70%,74%,72%,75%,75%,81%,81%,81%,76%,67%,61%,72%
杭州,59%,72%,76%,68%,72%,79%,75%,77%,75%,73%,68%,62%,71%
合肥,68%,73%,77%,75%,77%,78%,85%,86%,85%,82%,74%,69%,77%
福州,63%,71%,79%,71%,83%,86%,68%,84%,68%,75%,75%,66%,74%
南昌,57%,75%,80%,80%,79%,76%,71%,79%,71%,72%,67%,65%,72%
济南,42%,42%,50%,48%,47%,53%,72%,71%,72%,65%,57%,46%,56%
青岛,63%,65%,64%,64%,70%,82%,87%,84%,87%,69%,63%,56%,71%
郑州,40%,52%,63%,56%,51%,55%,79%,78%,79%,79%,50%,44%,61%
武汉,72%,80%,82%,79%,82%,77%,79%,84%,79%,80%,76%,72%,78%
长沙,61%,81%,82%,88%,82%,75%,75%,82%,75%,80%,75%,74%,77%
广州,62%,76%,77%,78%,77%,82%,77%,83%,77%,78%,71%,72%,76%
南宁,60%,74%,82%,86%,83%,84%,79%,83%,79%,74%,68%,63%,76%
桂林,52%,71%,82%,83%,83%,77%,71%,72%,71%,72%,70%,57%,71%
海口,80%,84%,83%,83%,75%,76%,79%,82%,79%,87%,79%,83%,81%
重庆(沙坪坝),78%,74%,75%,78%,77%,73%,73%,74%,73%,80%,81%,76%,76%
成都(温江),77%,76%,79%,82%,78%,78%,80%,83%,80%,87%,83%,81%,81%
贵阳,77%,83%,80%,90%,83%,78%,78%,76%,78%,84%,79%,78%,80%
昆明,64%,58%,43%,51%,57%,72%,74%,76%,74%,78%,73%,74%,66%
拉萨,18%,24%,32%,28%,44%,39%,56%,60%,56%,38%,20%,26%,36%
西安(泾河),40%,50%,60%,66%,55%,58%,70%,72%,70%,83%,59%,57%,62%
兰州(皋兰),46%,34%,35%,58%,41%,50%,49%,51%,49%,71%,55%,51%,51%
西宁,44%,34%,34%,56%,50%,59%,57%,66%,57%,71%,48%,46%,53%
银川,38%,37%,41%,49%,36%,45%,47%,52%,47%,61%,57%,49%,48%
乌鲁木齐,70%,75%,71%,36%,35%,38%,35%,41%,35%,56%,60%,75%,52%
