城市名称,1月降水量,2月降水量,3月降水量,4月降水量,5月降水量,6月降水量,7月降水量,8月降水量,9月降水量,10月降水量,11月降水量,12月降水量,全年降水量
北京,0.8毫米,6.9毫米,33.3毫米,1.4毫米,16.3毫米,36.5毫米,239.0毫米,141.5毫米,139.8毫米,48.5毫米,19.7毫米,2.8毫米,686.5毫米
天津,0.0毫米,7.9毫米,20.2毫米,11.7毫米,13.6毫米,70.6毫米,386.2毫米,101.2毫米,131.1毫米,123.7毫米,47.5毫米,0.2毫米,913.9毫米
石家庄,1.2毫米,18.7毫米,26.1毫米,3.3毫米,39.0毫米,33.6毫米,488.3毫米,74.1毫米,150.0毫米,184.1毫米,38.6毫米,6.0毫米,1063.0毫米
太原,0.0毫米,16.0毫米,30.6毫米,10.1毫米,34.0毫米,48.8毫米,61.3毫米,48.7毫米,105.4毫米,222.1毫米,14.4毫米,1.9毫米,593.3毫米
呼和浩特,0.0毫米,2.6毫米,16.3毫米,30.5毫米,7.1毫米,55.5毫米,122.6毫米,111.7毫米,27.4毫米,11.3毫米,4.9毫米,0.8毫米,390.7毫米
沈阳,12.9毫米,3.7毫米,10.7毫米,39.6毫米,72.2毫米,183.2毫米,69.3毫米,104.9毫米,101.5毫米,141.2毫米,49.3毫米,3.1毫米,791.6毫米
大连,23.2毫米,11.3毫米,42.2毫米,66.0毫米,47.5毫米,108.7毫米,113.3毫米,54.4毫米,203.7毫米,71.0毫米,56.6毫米,1.6毫米,799.5毫米
长春,11.6毫米,8.0毫米,10.5毫米,14.6毫米,17.9毫米,155.2毫米,139.5毫米,270.2毫米,166.9毫米,17.5毫米,44.7毫米,2.0毫米,858.6毫米
哈尔滨,4.5毫米,8.1毫米,10.2毫米,8.0毫米,80.7毫米,53.0毫米,167.9毫米,146.7毫米,63.4毫米,12.4毫米,53.7毫米,5.2毫米,613.8毫米
上海,20.4毫米,60.6毫米,76.2毫米,44.9毫米,151.8毫米,75.6毫米,314.2毫米,336.4毫米,166.0毫米,64.6毫米,72.6毫米,3.0毫米,1386.3毫米
南京,28.1毫米,38.2毫米,57.1毫米,62.5毫米,224.9毫米,77.7毫米,385.6毫米,200.0毫米,38.6毫米,120.2毫米,23.2毫米,3.7毫米,1259.8毫米
杭州,16.2毫米,68.7毫米,183.0毫米,59.5毫米,185.4毫米,235.7毫米,485.8毫米,366.5毫米,155.1毫米,117.8毫米,53.2毫米,9.9毫米,1936.8毫米
合肥,20.8毫米,38.7毫米,90.0毫米,40.2毫米,120.5毫米,93.1毫米,486.5毫米,80.2毫米,36.1毫米,127.5毫米,26.9毫米,7.3毫米,1167.8毫米
福州,0.5毫米,64.8毫米,61.9毫米,42.9毫米,319.1毫米,206.5毫米,28.4毫米,507.3毫米,69.2毫米,54.3毫米,68.9毫米,62.8毫米,1486.6毫米
南昌,5.8毫米,76.1毫米,260.8毫米,270.8毫米,406.8毫米,273.2毫米,230.0毫米,248.4毫米,37.8毫米,26.5毫米,49.1毫米,9.0毫米,1894.3毫米
济南,1.8毫米,26.5毫米,26.7毫米,41.3毫米,20.6毫米,64.5毫米,391.2毫米,149.0毫米,190.1毫米,51.7毫米,77.2毫米,2.8毫米,1043.4毫米
青岛,2.3毫米,24.9毫米,35.4毫米,62.2毫米,55.2毫米,28.5毫米,203.1毫米,168.7毫米,159.3毫米,50.6毫米,55.8毫米,1.0毫米,847.0毫米
郑州,0.5毫米,35.3毫米,19.9毫米,24.0毫米,15.4毫米,47.3毫米,902.0毫米,214.9毫米,250.9毫米,36.3毫米,15.7毫米,8.3毫米,1570.5毫米
武汉,18.4毫米,65.6毫米,149.2毫米,91.8毫米,258.4毫米,92.5毫米,124.0毫米,244.1毫米,88.3毫米,50.5毫米,14.7毫米,8.3毫米,1205.8毫米
长沙,11.9毫米,113.8毫米,130.9毫米,162.8毫米,323.9毫米,134.2毫米,111.8毫米,73.6毫米,24.1毫米,79.5毫米,57.9毫米,31.1毫米,1255.5毫米
广州,0.2毫米,39.7毫米,25.4毫米,67.7毫米,239.0毫米,411.9毫米,99.4毫米,356.1毫米,83.5毫米,98.5毫米,20.7毫米,81.0毫米,1523.1毫米
南宁,0.5毫米,65.2毫米,13.5毫米,110.2毫米,70.3毫米,121.9毫米,194.0毫米,123.9毫米,133.3毫米,104.2毫米,19.5毫米,2.4毫米,958.9毫米
桂林,2.8毫米,93.7毫米,248.4毫米,198.6毫米,530.5毫米,310.0毫米,171.1毫米,138.6毫米,76.7毫米,124.2毫米,235.1毫米,7.0毫米,2136.7毫米
海口,14.4毫米,58.1毫米,11.6毫米,108.1毫米,77.8毫米,172.1毫米,117.3毫米,381.1毫米,240.6毫米,625.0毫米,39.6毫米,63.5毫米,1909.2毫米
重庆(沙坪坝),28.9毫米,6.7毫米,63.2毫米,75.7毫米,167.7毫米,46.8毫米,231.5毫米,207.4毫米,236.0毫米,83.3毫米,52.1毫米,16.9毫米,1216.2毫米
成都(温江),2.7毫米,17.6毫米,48.8毫米,58.0毫米,53.8毫米,48.2毫米,130.6毫米,309.2毫米,130.6毫米,90.6毫米,15.1毫米,5.1毫米,910.3毫米
贵阳,20.5毫米,54.8毫米,10.9毫米,97.3毫米,279.1毫米,327.3毫米,184.6毫米,141.4毫米,131.7毫米,105.4毫米,24.2毫米,27.5毫米,1404.7毫米
昆明,1.8毫米,13.5毫米,0.5毫米,55.4毫米,46.5毫米,316.7毫米,225.2毫米,168.2毫米,79.1毫米,70.1毫米,27.2毫米,16.5毫米,1020.7毫米
拉萨,0.0毫米,0.8毫米,7.3毫米,0.4毫米,65.7毫米,35.6毫米,124.9毫米,138.4毫米,65.5毫米,0.0毫米,0.0毫米,0.0毫米,438.6毫米
西安(泾河),1.2毫米,29.7毫米,14.3毫米,81.6毫米,59.9毫米,72.7毫米,159.5毫米,188.3毫米,288.9毫米,96.5毫米,9.0毫米,5.0毫米,1006.6毫米
兰州(皋兰),2.3毫米,0.0毫米,10.5毫米,30.9毫米,13.2毫米,30.3毫米,8.2毫米,21.2毫米,27.7毫米,18.9毫米,0.0毫米,0.0毫米,163.2毫米
西宁,1.6毫米,3.5毫米,2.4毫米,38.1毫米,49.6毫米,49.6毫米,62.2毫米,89.0毫米,126.7毫米,28.3毫米,3.3毫米,0.0毫米,454.3毫米
银川,0.0毫米,1.3毫米,27.6毫米,14.5毫米,14.1毫米,11.1毫米,1.0毫米,8.8毫米,48.0毫米,5.9毫米,14.1毫米,0.0毫米,146.4毫米
乌鲁木齐,24.7毫米,21.2毫米,29.6毫米,7.0毫米,41.3毫米,21.5毫米,15.4毫米,25.5毫米,12.9毫米,29.8毫米,20.9毫米,8.8毫米,258.6毫米
