地区,水资源总量,地表水资源量,地下水资源量,地表水与地下水资源重复量,人均水资源量
北京,61.3亿立方米,31.6亿立方米,47.5亿立方米,17.8亿立方米,280立方米/人
天津,39.8亿立方米,30.5亿立方米,11.0亿立方米,1.7亿立方米,288.4立方米/人
河北,376.6亿立方米,227.6亿立方米,220.2亿立方米,71.2亿立方米,505.1立方米/人
山西,207.9亿立方米,155.9亿立方米,113.7亿立方米,61.7亿立方米,596.6立方米/人
内蒙古,942.9亿立方米,788.8亿立方米,238.6亿立方米,84.5亿立方米,3926.3立方米/人
辽宁,511.7亿立方米,460.0亿立方米,150.8亿立方米,99.1亿立方米,1206.3立方米/人
吉林,459.2亿立方米,380.0亿立方米,166.2亿立方米,87.0亿立方米,1923.8立方米/人
黑龙江,1196.3亿立方米,1020.5亿立方米,346.7亿立方米,170.9亿立方米,3800.2立方米/人
上海,53.9亿立方米,45.6亿立方米,11.2亿立方米,2.9亿立方米,216.6立方米/人
江苏,500.8亿立方米,442.5亿立方米,135.3亿立方米,77.0亿立方米,589.8立方米/人
浙江,1344.7亿立方米,1323.3亿立方米,261.8亿立方米,240.4亿立方米,2067.5立方米/人
安徽,883.3亿立方米,798.0亿立方米,211.7亿立方米,126.4亿立方米,1445.9立方米/人
福建,758.7亿立方米,757.3亿立方米,238.7亿立方米,237.3亿立方米,1817.7立方米/人
江西,1419.7亿立方米,1400.6亿立方米,332.0亿立方米,312.9亿立方米,3142.3立方米/人
山东,525.3亿立方米,381.8亿立方米,237.7亿立方米,94.2亿立方米,516.6立方米/人
河南,689.2亿立方米,556.9亿立方米,257.0亿立方米,124.7亿立方米,695.3立方米/人
湖北,1188.8亿立方米,1170.4亿立方米,326.2亿立方米,307.8亿立方米,2054.1立方米/人
湖南,1790.6亿立方米,1783.6亿立方米,437.4亿立方米,430.4亿立方米,2699.3立方米/人
广东,1221.2亿立方米,1211.3亿立方米,301.3亿立方米,291.4亿立方米,965.1立方米/人
广西,1541.2亿立方米,1540.5亿立方米,349.2亿立方米,348.5亿立方米,3065.2立方米/人
海南,341.6亿立方米,334.9亿立方米,92.9亿立方米,86.2亿立方米,3362.2立方米/人
重庆,750.8亿立方米,750.8亿立方米,129.4亿立方米,129.4亿立方米,2338.6立方米/人
四川,2924.5亿立方米,2923.4亿立方米,625.9亿立方米,624.8亿立方米,3493.4立方米/人
贵州,1091.4亿立方米,1091.4亿立方米,263.7亿立方米,263.7亿立方米,2831.1立方米/人
云南,1615.8亿立方米,1615.8亿立方米,562.9亿立方米,562.9亿立方米,3433.5立方米/人
西藏,4408.9亿立方米,4408.9亿立方米,993.5亿立方米,993.5亿立方米,120461.7立方米/人
陕西,852.5亿立方米,810.9亿立方米,200.0亿立方米,158.4亿立方米,2155.8立方米/人
甘肃,279.0亿立方米,268.2亿立方米,120.0亿立方米,109.2亿立方米,1118立方米/人
青海,842.2亿立方米,824.4亿立方米,362.5亿立方米,344.7亿立方米,14190.4立方米/人
宁夏,9.3亿立方米,7.5亿立方米,16.4亿立方米,14.6亿立方米,128.6立方米/人
新疆,809.0亿立方米,767.8亿立方米,434.2亿立方米,393.0亿立方米,3124.2立方米/人
