年份,国民总收入,国内生产总值,第一产业,第二产业,第三产业,农林牧渔业,工业,建筑业,批发和零售业,交通运输仓储和邮政业,住宿和餐饮业,金融业,房地产业,其他,人均国民总收入,人均国内生产总值
1978,3678.70亿元,3678.70亿元,1018.46亿元,1755.11亿元,905.12亿元,1027.51亿元,1621.44亿元,138.86亿元,242.37亿元,182.03亿元,44.61亿元,76.54亿元,79.70亿元,265.64亿元,384.74元,384.74元
1979,4100.45亿元,4100.45亿元,1258.97亿元,1925.33亿元,916.15亿元,1270.15亿元,1786.48亿元,144.56亿元,200.91亿元,193.74亿元,44.02亿元,75.89亿元,86.17亿元,298.52亿元,423.16元,423.16元
1980,4586.08亿元,4587.58亿元,1359.48亿元,2204.69亿元,1023.41亿元,1371.55亿元,2014.79亿元,196.34亿元,193.83亿元,213.43亿元,47.42亿元,85.77亿元,96.22亿元,368.23亿元,467.38元,467.53元
1981,4933.70亿元,4935.83亿元,1545.68亿元,2269.02亿元,1121.13亿元,1559.41亿元,2067.66亿元,207.98亿元,231.16亿元,220.77亿元,54.11亿元,91.67亿元,99.75亿元,403.33亿元,496.41元,496.62元
1982,5380.47亿元,5373.35亿元,1761.69亿元,2397.62亿元,1214.04亿元,1777.34亿元,2182.96亿元,221.64亿元,171.47亿元,246.93亿元,62.33亿元,130.64亿元,110.56亿元,469.49亿元,533.44元,532.74元
1983,6043.80亿元,6020.92亿元,1960.90亿元,2662.97亿元,1397.05亿元,1978.32亿元,2398.99亿元,271.66亿元,198.74亿元,275.03亿元,72.54亿元,168.94亿元,121.56亿元,535.16亿元,590.61元,588.38元
1984,7314.20亿元,7278.50亿元,2295.62亿元,3124.73亿元,1858.15亿元,2316.00亿元,2815.82亿元,317.92亿元,363.56亿元,338.61亿元,96.79亿元,230.56亿元,161.99亿元,637.26亿元,705.44元,702.00元
1985,9123.65亿元,9098.95亿元,2541.73亿元,3886.37亿元,2670.84亿元,2564.31亿元,3478.23亿元,419.27亿元,802.50亿元,421.83亿元,138.27亿元,293.93亿元,214.82亿元,765.79亿元,868.06元,865.71元
1986,10375.36亿元,10376.15亿元,2764.05亿元,4515.12亿元,3096.98亿元,2788.60亿元,4000.65亿元,527.27亿元,852.71亿元,498.96亿元,163.24亿元,401.18亿元,297.49亿元,846.06亿元,972.58元,972.65元
1987,12166.59亿元,12174.59亿元,3204.46亿元,5273.83亿元,3696.30亿元,3232.92亿元,4621.13亿元,667.49亿元,1059.75亿元,568.45亿元,187.09亿元,506.15亿元,381.86亿元,949.75亿元,1122.34元,1123.08元
1988,15174.39亿元,15180.39亿元,3831.18亿元,6607.19亿元,4742.01亿元,3865.20亿元,5813.96亿元,811.85亿元,1483.58亿元,685.88亿元,241.45亿元,658.85亿元,472.84亿元,1146.79亿元,1377.45元,1377.99元
1989,17188.36亿元,17179.74亿元,4228.20亿元,7300.71亿元,5650.83亿元,4265.75亿元,6525.51亿元,796.08亿元,1536.36亿元,812.90亿元,277.39亿元,1079.90亿元,565.12亿元,1320.73亿元,1536.53元,1535.76元
1990,18923.33亿元,18872.87亿元,5017.22亿元,7744.09亿元,6111.56亿元,5061.78亿元,6904.49亿元,861.70亿元,1269.15亿元,1167.21亿元,301.86亿元,1144.08亿元,660.92亿元,1501.69亿元,1666.98元,1662.54元
1991,22050.34亿元,22005.63亿元,5288.85亿元,9129.56亿元,7587.22亿元,5341.92亿元,8137.95亿元,1017.66亿元,1834.81亿元,1420.50亿元,442.29亿元,1195.19亿元,762.20亿元,1853.10亿元,1916.12元,1912.24元
1992,27208.21亿元,27194.53亿元,5800.28亿元,11725.01亿元,9669.23亿元,5866.23亿元,10340.18亿元,1417.94亿元,2405.35亿元,1689.21亿元,584.57亿元,1482.15亿元,1099.09亿元,2309.82亿元,2335.53元,2334.35元
1993,35599.25亿元,35673.23亿元,6887.60亿元,16472.66亿元,12312.97亿元,6963.34亿元,14248.37亿元,2269.93亿元,2817.05亿元,2174.27亿元,712.08亿元,1903.52亿元,1376.86亿元,3207.82亿元,3020.88元,3027.16元
1994,48548.16亿元,48637.45亿元,9471.79亿元,22452.54亿元,16713.12亿元,9572.09亿元,19546.32亿元,2968.83亿元,3773.97亿元,2788.21亿元,1008.46亿元,2557.89亿元,1905.58亿元,4516.09亿元,4073.40元,4080.89元
1995,60356.64亿元,61339.89亿元,12020.48亿元,28676.73亿元,20642.68亿元,12135.14亿元,25023.17亿元,3733.74亿元,4779.37亿元,3244.68亿元,1200.10亿元,3211.54亿元,2349.38亿元,5662.78亿元,5009.45元,5091.06元
1996,70779.59亿元,71813.63亿元,13878.33亿元,33827.27亿元,24108.03亿元,14014.65亿元,29528.91亿元,4392.97亿元,5600.55亿元,3782.60亿元,1336.83亿元,3700.66亿元,2611.90亿元,6844.55亿元,5813.28元,5898.21元
1997,78802.86亿元,79715.04亿元,14265.23亿元,37545.03亿元,27904.79亿元,14440.77亿元,33022.56亿元,4628.26亿元,6328.39亿元,4149.09亿元,1561.34亿元,4179.23亿元,2914.53亿元,8490.87亿元,6406.35元,6480.50元
1998,83817.56亿元,85195.51亿元,14618.73亿元,39017.53亿元,31559.25亿元,14816.35亿元,34133.86亿元,4993.02亿元,6914.26亿元,4661.47亿元,1786.94亿元,4318.22亿元,3427.69亿元,10143.70亿元,6748.95元,6859.90元
1999,89366.48亿元,90564.38亿元,14548.98亿元,41079.88亿元,34935.52亿元,14768.68亿元,36014.35亿元,5180.87亿元,7492.20亿元,5175.86亿元,1941.21亿元,4489.68亿元,3674.53亿元,11826.97亿元,7133.71元,7229.33元
2000,99066.07亿元,100280.14亿元,14717.36亿元,45663.67亿元,39899.12亿元,14943.61亿元,40258.54亿元,5534.02亿元,8159.82亿元,6161.88亿元,2146.26亿元,4842.21亿元,4140.88亿元,14092.91亿元,7845.92元,7942.07元
2001,109276.15亿元,110863.12亿元,15502.50亿元,49659.38亿元,45701.25亿元,15779.99亿元,43854.28亿元,5945.48亿元,9120.76亿元,6871.34亿元,2400.13亿元,5202.78亿元,4705.78亿元,16982.59亿元,8591.91元,8716.68元
2002,120480.41亿元,121717.42亿元,16190.23亿元,54104.09亿元,51423.11亿元,16535.69亿元,47774.86亿元,6482.12亿元,9996.83亿元,7494.26亿元,2724.75亿元,5555.79亿元,5334.54亿元,19818.59亿元,9409.59元,9506.20元
2003,136576.25亿元,137422.03亿元,16970.25亿元,62695.76亿元,57756.03亿元,17380.57亿元,55362.17亿元,7510.75亿元,11171.18亿元,7914.76亿元,3126.06亿元,6045.69亿元,6157.03亿元,22753.83亿元,10600.45元,10666.10元
2004,161415.43亿元,161840.16亿元,20904.32亿元,74284.98亿元,66650.86亿元,21410.73亿元,65774.90亿元,8720.50亿元,12455.80亿元,9306.46亿元,3664.83亿元,6600.19亿元,7152.11亿元,26754.64亿元,12454.17元,12486.94元
2005,185998.91亿元,187318.90亿元,21806.72亿元,88082.18亿元,77430.00亿元,22416.23亿元,77958.31亿元,10400.46亿元,13968.53亿元,10668.77亿元,4195.72亿元,7486.03亿元,8482.71亿元,31742.14亿元,14266.78元,14368.03元
2006,219028.45亿元,219438.47亿元,23317.01亿元,104359.23亿元,91762.24亿元,24036.36亿元,92235.80亿元,12450.10亿元,16533.43亿元,12186.25亿元,4792.59亿元,9972.28亿元,10320.87亿元,36910.79亿元,16706.72元,16738.00元
2007,270704.02亿元,270092.32亿元,27674.11亿元,126630.54亿元,115787.67亿元,28483.75亿元,111690.83亿元,15348.02亿元,20941.10亿元,14605.10亿元,5548.11亿元,15199.95亿元,13713.97亿元,44561.50亿元,20540.79元,20494.38元
2008,321229.52亿元,319244.61亿元,32464.14亿元,149952.94亿元,136827.54亿元,33428.12亿元,131724.00亿元,18807.57亿元,26186.16亿元,16367.57亿元,6616.07亿元,18345.57亿元,14600.25亿元,53169.30亿元,24250.05元,24100.21元
2009,347934.88亿元,348517.74亿元,33583.82亿元,160168.81亿元,154765.11亿元,34659.66亿元,138092.58亿元,22681.47亿元,29004.61亿元,16522.41亿元,6957.05亿元,21836.85亿元,18760.53亿元,60002.59亿元,26135.76元,26179.54元
2010,410354.11亿元,412119.26亿元,38430.85亿元,191626.52亿元,182061.89亿元,39618.98亿元,165123.12亿元,27259.29亿元,35907.91亿元,18783.62亿元,7711.99亿元,25733.08亿元,23326.62亿元,68654.65亿元,30675.98元,30807.93元
2011,483392.79亿元,487940.18亿元,44781.46亿元,227035.10亿元,216123.62亿元,46122.59亿元,195139.13亿元,32926.54亿元,43734.50亿元,21841.97亿元,8565.39亿元,30747.22亿元,27780.67亿元,81082.17亿元,35939.05元,36277.14元
2012,537329.01亿元,538579.95亿元,49084.64亿元,244639.07亿元,244856.25亿元,50581.20亿元,208901.43亿元,36896.12亿元,49835.45亿元,23763.24亿元,9536.92亿元,35272.17亿元,30751.86亿元,93041.56亿元,39679.00元,39771.37元
2013,588141.21亿元,592963.23亿元,53028.07亿元,261951.61亿元,277983.54亿元,54692.43亿元,222333.15亿元,40896.76亿元,56288.85亿元,26042.66亿元,10228.26亿元,41293.38亿元,35340.42亿元,105847.31亿元,43142.90元,43496.61元
2014,644380.15亿元,643563.10亿元,55626.32亿元,277282.82亿元,310653.96亿元,57472.24亿元,233197.37亿元,45401.69亿元,63170.37亿元,28534.41亿元,11228.74亿元,46853.39亿元,38086.37亿元,119618.52亿元,46971.28元,46911.72元
2015,685571.22亿元,688858.22亿元,57774.64亿元,281338.93亿元,349744.65亿元,59852.63亿元,234968.91亿元,47761.34亿元,67719.57亿元,30519.51亿元,12306.11亿元,56299.85亿元,42573.82亿元,136856.48亿元,49684.11元,49922.33元
2016,742694.05亿元,746395.06亿元,60139.20亿元,295427.80亿元,390828.06亿元,62451.03亿元,245406.44亿元,51498.93亿元,73724.45亿元,33028.69亿元,13607.80亿元,59963.98亿元,49969.40亿元,156744.35亿元,53516.31元,53783.00元
2017,830945.70亿元,832035.95亿元,62099.54亿元,331580.46亿元,438355.95亿元,64660.04亿元,275119.25亿元,57905.56亿元,81156.61亿元,37121.87亿元,15056.04亿元,64844.30亿元,57085.95亿元,179086.31亿元,59514.17元,59592.25元
2018,915243.45亿元,919281.13亿元,64745.16亿元,364835.21亿元,489700.76亿元,67558.75亿元,301089.35亿元,65493.04亿元,88903.73亿元,40337.25亿元,16520.61亿元,70610.26亿元,64622.99亿元,204145.16亿元,65245.90元,65533.74元
2019,983751.20亿元,986515.20亿元,70473.59亿元,380670.62亿元,535370.99亿元,73576.92亿元,311858.65亿元,70648.07亿元,95650.87亿元,42466.28亿元,17903.09亿元,76250.65亿元,70444.83亿元,227715.85亿元,69881.35元,70077.69元
2020,1005451.31亿元,1013567.00亿元,78030.90亿元,383562.35亿元,551973.75亿元,81396.54亿元,312902.93亿元,72444.69亿元,96086.14亿元,40582.88亿元,15285.45亿元,83617.72亿元,73425.31亿元,237825.34亿元,71253.02元,71828.15元
2021,1133239.79亿元,1143669.72亿元,83085.52亿元,450904.47亿元,609679.73亿元,86775.02亿元,372575.29亿元,80138.49亿元,110492.70亿元,47061.23亿元,17852.61亿元,91205.58亿元,77560.79亿元,260008.01亿元,80237.32元,80975.79元
