年份,国内生产总值,第一产业,第二产业,第三产业,农林牧渔业,工业,建筑业,批发和零售业,交通运输仓储和邮政业,住宿和餐饮业,金融业,房地产业,其他
1978,3593.02亿元,927.78亿元,1776.44亿元,888.80亿元,936.02亿元,1659.50亿元,122.05亿元,253.38亿元,179.74亿元,44.81亿元,77.02亿元,64.85亿元,255.66亿元
1979,3865.78亿元,984.69亿元,1922.54亿元,958.54亿元,993.44亿元,1803.58亿元,124.52亿元,275.49亿元,194.58亿元,49.78亿元,75.51亿元,67.50亿元,281.38亿元
1980,4168.63亿元,970.10亿元,2181.89亿元,1016.64亿元,978.71亿元,2030.48亿元,157.66亿元,270.37亿元,202.94亿元,51.74亿元,81.03亿元,72.81亿元,322.88亿元
1980,4587.58亿元,1359.48亿元,2204.69亿元,1023.41亿元,1371.55亿元,2014.79亿元,196.34亿元,193.83亿元,213.43亿元,47.42亿元,85.77亿元,96.22亿元,368.23亿元
1981,4822.13亿元,1454.41亿元,2246.21亿元,1121.52亿元,1467.32亿元,2049.96亿元,202.56亿元,251.04亿元,217.42亿元,55.70亿元,89.83亿元,92.85亿元,395.45亿元
1982,5256.95亿元,1622.08亿元,2371.44亿元,1263.42亿元,1636.49亿元,2168.60亿元,209.52亿元,249.18亿元,242.12亿元,73.31亿元,128.55亿元,101.27亿元,447.91亿元
1983,5823.13亿元,1757.14亿元,2617.69亿元,1448.31亿元,1772.74亿元,2379.80亿元,245.22亿元,302.09亿元,265.10亿元,87.54亿元,162.67亿元,106.50亿元,501.48亿元
1984,6707.76亿元,1983.47亿元,2995.25亿元,1729.04亿元,2001.08亿元,2731.84亿元,271.82亿元,376.77亿元,304.57亿元,94.60亿元,212.65亿元,135.99亿元,578.44亿元
1985,7608.66亿元,2020.04亿元,3546.38亿元,2042.23亿元,2037.98亿元,3224.37亿元,331.95亿元,503.15亿元,346.56亿元,100.56亿元,249.09亿元,170.02亿元,644.98亿元
1986,8289.63亿元,2087.08亿元,3908.76亿元,2293.79亿元,2105.61亿元,3535.10亿元,384.55亿元,550.64亿元,394.65亿元,116.26亿元,324.41亿元,214.00亿元,664.40亿元
1987,9255.98亿元,2185.26亿元,4440.17亿元,2630.56亿元,2204.66亿元,3999.41亿元,453.08亿元,631.69亿元,432.56亿元,127.55亿元,397.64亿元,276.69亿元,732.71亿元
1988,10294.75亿元,2240.85亿元,5076.86亿元,2977.04亿元,2260.75亿元,4603.13亿元,489.15亿元,706.02亿元,486.72亿元,159.55亿元,477.93亿元,311.74亿元,799.75亿元
1989,10727.78亿元,2309.76亿元,5267.18亿元,3150.84亿元,2330.27亿元,4835.39亿元,448.00亿元,630.43亿元,507.15亿元,175.35亿元,601.29亿元,361.45亿元,838.45亿元
1990,11148.33亿元,2479.01亿元,5434.39亿元,3234.93亿元,2501.02亿元,4997.79亿元,453.36亿元,597.23亿元,549.48亿元,181.46亿元,614.32亿元,384.03亿元,869.65亿元
1990,18872.87亿元,5017.22亿元,7744.09亿元,6111.56亿元,5061.78亿元,6904.49亿元,861.70亿元,1269.15亿元,1167.21亿元,301.86亿元,1144.08亿元,660.92亿元,1501.69亿元
1991,20621.02亿元,5135.30亿元,8811.64亿元,6674.08亿元,5183.24亿元,7891.96亿元,944.00亿元,1334.88亿元,1290.41亿元,326.51亿元,1176.49亿元,739.95亿元,1733.58亿元
1992,23554.27亿元,5374.15亿元,10665.08亿元,7515.03亿元,5426.87亿元,9552.39亿元,1142.15亿元,1475.24亿元,1420.17亿元,414.69亿元,1252.61亿元,936.85亿元,1933.30亿元
1993,26824.48亿元,5624.00亿元,12770.87亿元,8429.61亿元,5681.99亿元,11458.89亿元,1347.31亿元,1601.81亿元,1598.24亿元,448.87亿元,1393.86亿元,1037.68亿元,2255.84亿元
1994,30321.53亿元,5845.90亿元,15087.71亿元,9387.92亿元,5909.25亿元,13611.42亿元,1531.18亿元,1733.05亿元,1734.44亿元,570.68亿元,1529.57亿元,1161.80亿元,2540.12亿元
1995,33642.94亿元,6134.84亿元,17173.61亿元,10334.49亿元,6204.72亿元,15515.42亿元,1720.78亿元,1875.72亿元,1924.81亿元,629.11亿元,1664.63亿元,1306.36亿元,2801.39亿元
