年份,国民总收入,国内生产总值,第一产业,第二产业,第三产业,农林牧渔业,工业,建筑业,批发和零售业,交通运输仓储和邮政业,住宿和餐饮业,金融业,房地产业,其他,人均国民总收入,人均国内生产总值
1978,111.6655896,111.6655896,104.1434254,115.0234962,113.6023205,104.1434389,116.3633279,99.49491757,123.0740618,108.8596059,118.0941968,110.121171,105.6947608,111.2267271,110.1812541,110.1812541
1979,107.5913247,107.5913247,106.1344315,108.2247001,107.8461901,106.1344386,108.6820975,102.0243897,108.7281445,108.259097,111.0841146,98.04235969,104.0948276,110.0578083,106.1656637,106.1656637
1980,107.7988185,107.834145,98.51753035,113.4896071,106.0618108,98.51754172,112.580621,126.6158603,98.141833,104.2972582,103.9412959,107.3037474,107.8674948,114.7503959,106.4552264,106.4901126
1981,105.1018166,105.1127611,106.9825344,101.8832939,109.5860574,106.9825282,101.7455862,103.1675176,129.5136051,101.8711206,117.4512384,104.7405544,96.49737303,107.3925579,103.7640985,103.7749037
1982,109.2086267,109.0171139,111.5288243,105.5754646,112.6528974,111.5288187,105.7874619,103.4364598,99.25633812,111.3605388,131.6190105,143.098131,109.0744102,113.2671413,107.6121233,107.4234102
1983,111.0440596,110.7702025,108.3258935,110.3838939,114.6334967,108.3258969,109.7387793,117.0404077,121.2346373,109.4887928,119.4109145,126.5479681,105.1580699,111.9592719,109.4510655,109.1811371
1984,115.3182853,115.19154,112.8806135,114.4234639,119.383465,112.8806097,114.7931294,110.847447,124.7215157,114.8890154,108.0626961,130.7219502,127.6898734,115.3471116,113.815113,113.6900198
1985,113.1834779,113.4306775,101.8438794,118.4001772,118.1136897,101.8438802,118.0290059,122.1203504,133.5429235,113.786598,106.3021731,117.1353756,125.0309789,111.5034182,111.6527054,111.8965617
1986,108.646719,108.9499618,103.3186873,110.2182128,112.3176908,103.3186943,109.6369125,115.8472822,109.4389061,113.8778573,115.6179273,130.2379449,125.8671952,103.0096202,107.0426678,107.3414335
1987,111.5925747,111.6574278,104.7041847,113.5953709,114.681682,104.7041816,113.1344451,117.8202177,114.719223,109.605186,109.7031868,122.5719242,129.2913386,110.2820324,109.8173424,109.8811638
1988,111.2518162,111.222595,102.5439331,114.3391717,113.1716036,102.543927,115.0951735,107.9611231,111.7674423,112.5220607,125.0899575,120.1942409,112.6674787,109.1494857,109.4749258,109.4461714
1989,104.2998061,104.2063344,103.0749997,103.7488361,105.8380889,103.0750006,105.0455708,91.58701246,89.29355706,104.1976033,109.908308,125.8093116,115.9459459,104.8390836,102.7129088,102.6208592
1990,104.1458478,103.9202514,107.3277321,103.1746695,102.6687351,107.3277285,103.3586596,101.1953977,94.73344206,108.345505,103.4827021,102.1679222,106.2470862,103.7206244,102.628869,102.4065586
1991,109.1928468,109.2627861,102.3535302,113.7853705,109.204204,102.3994839,114.3017997,109.5518316,105.1791427,110.555038,108.1678115,102.833442,111.9581924,115.4416705,107.7131005,107.782092
1992,114.0502219,114.2245296,104.651003,121.0340457,112.600329,104.7003851,121.0394659,120.9896703,110.5143537,110.0556661,127.0075914,106.4700359,126.6103624,111.5208515,112.6610251,112.8332096
1993,113.5904165,113.8837293,104.6491794,119.7446199,112.1699553,104.7010788,119.9584214,117.9628075,108.5797465,112.5384888,108.2412101,111.2759554,110.7623318,116.683166,112.2920365,112.5819966
1994,113.0637784,113.0368066,103.9455457,118.1416636,111.3683801,103.9997278,118.7848221,113.6475466,108.1936554,108.5221212,127.1378002,109.7368088,111.9617225,112.601929,111.7930578,111.7663891
1995,109.3762152,110.9539543,104.9426425,113.8251597,110.0827915,105.0001447,113.9881861,112.3825923,108.2320372,110.9754873,110.2376231,108.8296326,112.4424721,110.2860568,108.1942652,109.7549549
1996,110.1047148,109.9225568,105.0398939,112.0921983,109.215581,105.1003978,112.4910221,108.5109324,107.6347583,111.0373971,106.8401021,107.9117201,104.0191882,112.6505884,108.9566886,108.7764298
1997,109.5643856,109.2367799,103.4366404,110.4780307,110.4312513,103.4992729,111.32089,102.6314216,108.7680523,109.2014409,110.9416426,109.0352253,104.124203,115.7516516,108.4487675,108.1244976
1998,107.3298346,107.8459518,103.4329946,108.9030536,108.4021655,103.4988287,108.8921052,109.0137416,106.511612,110.5886414,111.0637206,105.1218795,107.700607,109.610868,106.3048761,106.8160646
1999,107.9841445,107.6616515,102.7313733,108.203148,109.2491445,102.800122,108.5647443,104.3063622,108.7086067,112.1728052,107.7182916,105.3602123,105.943609,111.4280933,107.0531984,106.7334857
2000,108.6132504,108.4900934,102.328518,109.4738414,109.7763521,102.4005144,109.8576646,105.7041588,109.4179077,108.5818843,109.3369771,106.9722708,107.10526,113.0932406,107.7607881,107.6385977
2001,108.09361,108.3357335,102.6380712,108.4912705,110.2593883,102.7995791,108.7173633,106.7995668,109.0944767,108.8082475,107.6455674,107.0172217,110.9908897,112.8511758,107.3112837,107.5516548
2002,109.5933031,109.1336308,102.6999466,109.8947488,110.4856358,102.8998337,110.0417281,108.8093073,108.8108475,107.1276478,112.141569,107.5251199,109.8831042,113.6732805,108.8614827,108.40488
2003,110.4836263,110.0380305,102.3720564,112.6672365,109.5398085,102.4993217,112.7512743,112.085248,109.9379601,106.1274871,112.3576711,107.4402314,109.7667763,110.8243468,109.7976057,109.3547766
2004,110.5047572,110.1136214,106.10502,111.1459223,110.1200364,106.2992468,111.553732,108.1501945,106.5677423,114.4768818,112.3390487,104.6878598,105.8439803,112.7051494,109.8503784,109.4615588
2005,110.9006666,111.3945918,105.0739144,112.1283913,112.3579485,105.2334068,111.6463711,116.0026367,113.0265988,111.2050631,112.260496,114.1297366,112.1252833,112.0062862,110.2503463,110.7413751
2006,113.3087985,112.7209557,104.7552783,113.4506955,114.1342093,105.0005486,112.928587,117.2280929,119.4630685,109.9698584,112.5681072,123.731721,115.3654913,110.8607963,112.6778743,112.0933047
2007,114.70389,114.2308609,103.5236499,115.0507143,116.071495,103.7451877,114.9471641,116.1921823,120.2145325,111.8029943,109.6173721,125.7971921,124.0304891,111.5942218,114.1063855,113.6358205
2008,110.0831234,109.6506789,105.1560047,109.8389899,110.4758406,105.3793105,109.9724214,109.5141758,115.8500058,107.3261954,109.5999766,112.0881605,100.6120548,111.2135849,109.5205145,109.0902801
2009,108.5409114,109.3987256,104.0024258,110.292805,109.5865858,104.1879878,109.087672,118.9474362,111.9000608,103.3718465,103.7558826,116.3431694,111.450476,108.5638858,108.0023895,108.8559477
2010,110.3465506,110.6358711,104.2510697,112.6835957,109.6689815,104.2681937,112.5782784,113.8253502,114.5973999,109.4666422,108.2211768,108.9534039,107.1664502,108.04256,109.8149061,110.1028326
2011,108.9967103,109.5508322,104.1742893,110.6886752,109.4881294,104.2513522,110.943764,109.7253572,112.4641508,109.6611974,105.1115013,107.6829722,107.0666967,109.678448,108.4027139,108.953816
2012,108.625546,107.8637364,104.466542,108.3636404,108.0140998,104.5461285,108.1249056,109.7536646,110.2982589,106.088103,106.4527591,109.4529105,104.3468006,108.2110535,107.8911831,107.1345238
2013,107.1386364,107.7661501,103.8071998,107.9872143,108.2991685,103.9604589,107.7341206,109.6778804,110.514875,106.5981615,103.9039387,110.5675184,106.8461638,107.561789,106.4273862,107.0507341
2014,108.4440224,107.4257637,104.0504682,107.1555654,108.3418169,104.1934335,106.7381309,109.6426412,110.2582532,106.9239668,106.1945539,110.5118324,102.1159506,109.0195019,107.7626209,106.7507603
2015,106.3954873,107.0413289,103.8985215,105.9267638,108.7767096,104.0490122,105.6895029,107.3354621,106.7250971,104.4445718,106.5669493,116.7386598,103.8476022,109.7002097,105.7786393,106.4207365
2016,106.8287024,106.8487622,103.2778136,106.0314831,108.09608,103.4522396,105.6809468,107.7072059,107.6737761,106.883411,107.7198465,104.8085927,108.7848916,109.7823232,106.2182702,106.2382154
2017,107.3393066,106.9472008,103.961291,105.8682895,108.2697733,104.1028927,106.2231065,103.9292242,107.8165491,109.5559349,108.1620842,104.7595635,106.9546088,110.1108807,106.6916028,106.3018631
2018,106.4203532,106.7497738,103.4829175,105.7924068,107.98351,103.6492505,106.0953507,104.8222405,106.6822807,108.2668144,106.6844127,104.7823079,103.4713395,111.0509913,105.9238169,106.2517006
2019,106.1197508,105.9505008,103.0767936,104.8746206,107.1811002,103.2498565,104.7897918,105.2425186,105.6074416,106.4953404,105.4897771,106.6470607,102.5793042,109.6918059,105.7439676,105.5753169
2020,101.7049628,102.2386384,103.1310846,102.4642509,101.9471222,103.3090488,102.3744694,102.7241978,99.11025613,100.8255665,83.18511673,105.8960131,101.2737182,103.7200824,101.4631513,101.995558
2021,107.9891229,108.1103824,107.0512116,108.2258931,108.1798467,107.0557819,109.6164373,102.1459548,111.266631,112.1344806,114.4572002,104.7545483,105.1626435,108.0268489,107.8927833,108.0139345
