年份,国内生产总值,第一产业,第二产业,第三产业,工业,批发和零售业,金融业
1978,11.67%,1.15%,7.21%,3.31%,7.25%,1.48%,0.22%
1979,7.59%,1.58%,4.07%,1.94%,4.01%,0.62%,-0.04%
1980,7.83%,-0.38%,6.71%,1.50%,5.87%,-0.13%,0.14%
1981,5.11%,2.07%,0.91%,2.14%,0.77%,1.25%,0.09%
1982,9.02%,3.48%,2.60%,2.94%,2.46%,-0.04%,0.80%
1983,10.77%,2.57%,4.68%,3.52%,4.02%,1.01%,0.65%
1984,15.19%,3.89%,6.48%,4.82%,6.05%,1.28%,0.86%
1985,13.43%,0.55%,8.22%,4.67%,7.34%,1.88%,0.54%
1986,8.95%,0.88%,4.76%,3.31%,4.08%,0.62%,0.99%
1987,11.66%,1.18%,6.41%,4.06%,5.60%,0.98%,0.88%
1988,11.22%,0.60%,6.88%,3.74%,6.52%,0.80%,0.87%
1989,4.21%,0.67%,1.85%,1.69%,2.26%,-0.73%,1.20%
1990,3.92%,1.58%,1.56%,0.78%,1.51%,-0.31%,0.12%
1991,9.26%,0.63%,5.66%,2.98%,5.23%,0.35%,0.17%
1992,14.22%,1.16%,8.99%,4.08%,8.05%,0.68%,0.37%
1993,13.88%,1.06%,8.94%,3.88%,8.09%,0.54%,0.60%
1994,13.04%,0.83%,8.64%,3.57%,8.02%,0.49%,0.51%
1995,10.95%,0.95%,6.88%,3.12%,6.28%,0.47%,0.45%
1996,9.92%,0.92%,6.17%,2.83%,5.76%,0.43%,0.39%
1997,9.24%,0.60%,5.45%,3.18%,5.34%,0.48%,0.44%
1998,7.85%,0.57%,4.69%,2.59%,4.28%,0.35%,0.25%
1999,7.66%,0.43%,4.36%,2.87%,4.16%,0.47%,0.25%
2000,8.49%,0.35%,5.06%,3.08%,4.83%,0.51%,0.32%
2001,8.34%,0.39%,3.87%,4.08%,3.50%,0.74%,0.34%
2002,9.13%,0.38%,4.51%,4.25%,4.05%,0.72%,0.36%
2003,10.04%,0.31%,5.82%,3.91%,5.18%,0.81%,0.35%
2004,10.11%,0.74%,5.24%,4.13%,4.81%,0.54%,0.22%
2005,11.39%,0.60%,5.76%,5.04%,4.91%,1.03%,0.62%
2006,12.72%,0.55%,6.32%,5.84%,5.38%,1.45%,0.95%
2007,14.23%,0.38%,7.12%,6.73%,6.23%,1.60%,1.13%
2008,9.65%,0.51%,4.69%,4.46%,4.18%,1.32%,0.58%
2009,9.40%,0.38%,4.91%,4.11%,3.82%,1.05%,0.81%
2010,10.64%,0.38%,6.11%,4.15%,5.28%,1.31%,0.47%
2011,9.55%,0.39%,4.97%,4.19%,4.38%,1.09%,0.48%
2012,7.86%,0.40%,3.93%,3.54%,3.30%,0.92%,0.58%
2013,7.77%,0.33%,3.77%,3.67%,3.15%,0.96%,0.66%
2014,7.43%,0.34%,3.38%,3.71%,2.74%,0.96%,0.67%
2015,7.04%,0.31%,2.80%,3.93%,2.30%,0.65%,1.10%
2016,6.85%,0.27%,2.46%,4.11%,1.94%,0.75%,0.39%
2017,6.95%,0.32%,2.38%,4.25%,2.10%,0.77%,0.38%
2018,6.75%,0.27%,2.32%,4.15%,2.04%,0.67%,0.38%
2019,5.95%,0.24%,1.94%,3.78%,1.60%,0.56%,0.51%
2020,2.24%,0.23%,0.97%,1.04%,0.78%,-0.09%,0.46%
2021,8.11%,0.54%,3.11%,4.45%,2.97%,1.07%,0.39%
