年份,居民消费支出,政府消费支出
1978,78.76%,21.24%
1979,78.09%,21.91%
1980,78.74%,21.26%
1981,80.15%,19.85%
1982,80.16%,19.84%
1983,79.31%,20.69%
1984,77.08%,22.92%
1985,78.16%,21.84%
1986,78.65%,21.35%
1987,79.12%,20.88%
1988,79.88%,20.12%
1989,79.48%,20.52%
1990,78.54%,21.46%
1991,77.39%,22.61%
1992,75.82%,24.18%
1993,75.40%,24.60%
1994,75.78%,24.22%
1995,77.47%,22.53%
1996,78.02%,21.98%
1997,76.94%,23.06%
1998,75.28%,24.72%
1999,73.84%,26.16%
2000,73.51%,26.49%
2001,73.50%,26.50%
2002,73.65%,26.35%
2003,73.61%,26.39%
2004,73.52%,26.48%
2005,72.79%,27.21%
2006,71.81%,28.19%
2007,71.32%,28.68%
2008,70.90%,29.10%
2009,70.54%,29.46%
2010,70.18%,29.82%
2011,69.62%,30.38%
2012,69.19%,30.81%
2013,69.29%,30.71%
2014,69.89%,30.11%
2015,69.96%,30.04%
2016,70.27%,29.73%
2017,70.25%,29.75%
2018,69.97%,30.03%
2019,70.06%,29.94%
2020,69.04%,30.96%
2021,70.68%,29.32%
