年份,固定资本形成总额,存货变动
1978,78.02%,21.98%
1979,78.11%,21.89%
1980,82.53%,17.47%
1981,82.73%,17.27%
1982,88.30%,11.70%
1983,88.26%,11.74%
1984,85.29%,14.71%
1985,77.90%,22.10%
1986,82.06%,17.94%
1987,81.88%,18.12%
1988,79.46%,20.54%
1989,68.82%,31.18%
1990,70.23%,29.77%
1991,72.95%,27.05%
1992,77.67%,22.33%
1993,85.70%,14.30%
1994,85.99%,14.01%
1995,83.27%,16.73%
1996,84.28%,15.72%
1997,87.28%,12.72%
1998,94.45%,5.55%
1999,95.39%,4.61%
2000,97.03%,2.97%
2001,94.12%,5.88%
2002,96.97%,3.03%
2003,96.56%,3.44%
2004,94.46%,5.54%
2005,97.72%,2.28%
2006,97.03%,2.97%
2007,93.60%,6.40%
2008,92.41%,7.59%
2009,96.59%,3.41%
2010,94.36%,5.64%
2011,94.00%,6.00%
2012,95.73%,4.27%
2013,95.95%,4.05%
2014,95.71%,4.29%
2015,97.36%,2.64%
2016,97.47%,2.53%
2017,97.32%,2.68%
2018,97.83%,2.17%
2019,99.01%,0.99%
2020,97.97%,2.03%
2021,97.76%,2.24%
