年份,最终消费支出贡献率,最终消费支出拉动,资本形成总额贡献率,资本形成总额拉动,货物和服务净出口贡献率,货物和服务净出口拉动
1978,38.72%,4.52%,66.66%,7.78%,-5.38%,-0.63%
1980,78.05%,6.11%,20.15%,1.58%,1.80%,0.14%
1985,71.93%,9.66%,79.55%,10.68%,-51.49%,-6.91%
1990,88.96%,3.49%,-69.45%,-2.72%,80.48%,3.16%
1995,46.67%,5.11%,46.09%,5.05%,7.24%,0.79%
2000,78.77%,6.69%,21.73%,1.85%,-0.50%,-0.04%
2001,49.96%,4.16%,63.49%,5.29%,-13.45%,-1.12%
2002,58.12%,5.31%,39.97%,3.65%,1.91%,0.17%
2003,36.12%,3.63%,68.79%,6.91%,-4.91%,-0.49%
2004,42.89%,4.34%,62.01%,6.27%,-4.89%,-0.50%
2005,56.82%,6.47%,33.12%,3.77%,10.06%,1.15%
2006,43.22%,5.50%,42.48%,5.40%,14.30%,1.82%
2007,47.94%,6.82%,44.24%,6.30%,7.83%,1.11%
2008,44.00%,4.25%,53.26%,5.14%,2.74%,0.26%
2009,57.55%,5.41%,85.29%,8.02%,-42.84%,-4.03%
2010,47.44%,5.05%,63.37%,6.74%,-10.81%,-1.15%
2011,65.69%,6.27%,41.09%,3.92%,-6.78%,-0.65%
2012,55.40%,4.36%,42.13%,3.31%,2.47%,0.19%
2013,50.16%,3.90%,53.10%,4.12%,-3.26%,-0.25%
2014,56.32%,4.18%,44.95%,3.34%,-1.27%,-0.09%
2015,68.98%,4.86%,22.60%,1.59%,8.43%,0.59%
2016,65.97%,4.52%,45.70%,3.13%,-11.67%,-0.80%
2017,55.87%,3.88%,39.47%,2.74%,4.66%,0.32%
2018,63.98%,4.32%,43.20%,2.92%,-7.19%,-0.49%
2019,58.56%,3.48%,28.88%,1.72%,12.55%,0.75%
2020,-6.84%,-0.15%,81.51%,1.82%,25.33%,0.57%
2021,65.43%,5.31%,13.69%,1.11%,20.88%,1.69%
