交易项目,净金融投资,资金运用合计,资金来源合计,通货,存款,活期存款,定期存款,财政存款,外汇存款,其他存款,证券公司客户保证金,贷款,短期贷款与票据融资,中长期贷款,外汇贷款,委托贷款,其他贷款,未贴现的银行承兑汇票,保险准备金,金融机构往来,存款准备金,债券,政府债券,金融债券,中央银行债券,企业债券,股票,证券投资基金份额,库存现金,中央银行贷款,其他,直接投资,其他对外债权债务,国际储备资产,国际收支错误与遗漏
非金融企业部门运用,-25112.75亿元,122598.78亿元,,641.26亿元,75054.02亿元,11739.70亿元,54000.69亿元,,12364.13亿元,-3050.50亿元,2111.19亿元,,,,,,,1745.90亿元,1156.27亿元,,,-282.38亿元,-8.10亿元,-2.88亿元,,-271.40亿元,10661.98亿元,14352.08亿元,,,7036.19亿元,7582.00亿元,2540.26亿元,,
非金融企业部门来源,,,147711.53亿元,,,,,,,,,95829.93亿元,30670.05亿元,85689.15亿元,-642.01亿元,-8375.44亿元,-11511.82亿元,1745.90亿元,,,,38918.89亿元,,,,38918.89亿元,12332.51亿元,,,,-4070.26亿元,14655.79亿元,488.98亿元,,-12190.21亿元
金融机构部门运用,32096.21亿元,364361.80亿元,,,-649.89亿元,,,,163.91亿元,-813.80亿元,830.52亿元,184166.44亿元,50704.71亿元,145142.13亿元,5535.24亿元,-3888.46亿元,-13327.17亿元,1745.90亿元,,21951.52亿元,-2330.19亿元,166861.60亿元,81802.73亿元,46968.85亿元,-203.85亿元,38293.86亿元,4661.65亿元,5645.95亿元,-156.59亿元,15612.10亿元,-37857.42亿元,,1948.45亿元,1931.74亿元,
金融机构部门来源,,,332265.59亿元,7125.06亿元,194162.93亿元,42942.36亿元,137320.92亿元,3931.31亿元,9066.63亿元,901.70亿元,4914.33亿元,-6141.28亿元,,,374.46亿元,1.83亿元,-6517.56亿元,1745.90亿元,21600.67亿元,9412.16亿元,-2241.03亿元,50346.78亿元,,50416.78亿元,-70.00亿元,,2046.76亿元,33408.00亿元,-160.83亿元,15612.10亿元,-2423.25亿元,,2857.27亿元,,
广义政府部门运用,-83238.47亿元,5222.71亿元,,142.50亿元,1864.26亿元,-780.39亿元,827.68亿元,3931.31亿元,-589.88亿元,-1524.46亿元,162.66亿元,,,,,,,,,,,1354.90亿元,84.25亿元,1193.59亿元,,77.06亿元,347.91亿元,1105.80亿元,,,244.67亿元,,,,
广义政府部门来源,,,88461.18亿元,,,,,,,,,2864.55亿元,,,320.78亿元,-317.04亿元,2860.81亿元,,-2599.16亿元,,,83639.09亿元,83639.09亿元,,,,,,,,102.06亿元,,4454.63亿元,,
住户部门运用,96423.27亿元,183192.07亿元,,6664.80亿元,119935.65亿元,31983.05亿元,82492.55亿元,,684.17亿元,4775.87亿元,1445.79亿元,,,,,,,,17845.24亿元,,,-628.92亿元,-1008.97亿元,59.20亿元,,320.85亿元,3319.33亿元,9828.63亿元,,,24781.56亿元,,,,
住户部门来源,,,86768.80亿元,,,,,,,,,86052.95亿元,20034.66亿元,59452.98亿元,-45.83亿元,4769.75亿元,1841.39亿元,,,,,,,,,,,,,,715.85亿元,,,,
国内合计运用,20168.27亿元,675375.36亿元,,7448.55亿元,196204.04亿元,42942.36亿元,137320.92亿元,3931.31亿元,12622.33亿元,-612.89亿元,4550.17亿元,184166.44亿元,50704.71亿元,145142.13亿元,5535.24亿元,-3888.46亿元,-13327.17亿元,3491.81亿元,19001.51亿元,21951.52亿元,-2330.19亿元,167305.20亿元,80869.91亿元,48218.77亿元,-203.85亿元,38420.37亿元,18990.87亿元,30932.47亿元,-156.59亿元,15612.10亿元,-5795.00亿元,7582.00亿元,4488.72亿元,1931.74亿元,
国内合计来源,,,655207.09亿元,7125.06亿元,194162.93亿元,42942.36亿元,137320.92亿元,3931.31亿元,9066.63亿元,901.70亿元,4914.33亿元,178606.16亿元,50704.71亿元,145142.13亿元,7.40亿元,-3920.91亿元,-13327.17亿元,3491.81亿元,19001.51亿元,9412.16亿元,-2241.03亿元,172904.76亿元,83639.09亿元,50416.78亿元,-70.00亿元,38918.89亿元,14379.27亿元,33408.00亿元,-160.83亿元,15612.10亿元,-5675.60亿元,14655.79亿元,7800.89亿元,,-12190.21亿元
国外运用,-20168.27亿元,23716.31亿元,,-323.49亿元,6175.05亿元,,,,4660.46亿元,1514.59亿元,364.15亿元,-1669.25亿元,,,-1669.25亿元,,,,,-4096.80亿元,89.16亿元,5892.61亿元,2938.58亿元,2645.70亿元,,308.32亿元,4423.98亿元,2475.53亿元,,,118.89亿元,14655.79亿元,7800.89亿元,,-12190.21亿元
