年份,一次能源生产总量,原煤占一次能源生产总量的比重,原油占一次能源生产总量的比重,天然气,一次电力及其他能源占一次能源生产总量的比重
1978,62770.00万吨标准煤,70.30%,23.70%,2.90%,3.10%
1980,63735.00万吨标准煤,69.40%,23.80%,3.00%,3.80%
1985,85546.00万吨标准煤,72.80%,20.90%,2.00%,4.30%
1990,103922.00万吨标准煤,74.20%,19.00%,2.00%,4.80%
1991,104844.00万吨标准煤,74.10%,19.20%,2.00%,4.70%
1992,107256.00万吨标准煤,74.30%,18.90%,2.00%,4.80%
1993,111059.00万吨标准煤,74.00%,18.70%,2.00%,5.30%
1994,118729.00万吨标准煤,74.60%,17.60%,1.90%,5.90%
1995,129034.00万吨标准煤,75.30%,16.60%,1.90%,6.20%
1996,133032.00万吨标准煤,75.00%,16.90%,2.00%,6.10%
1997,133460.00万吨标准煤,74.20%,17.20%,2.10%,6.50%
1998,129834.00万吨标准煤,73.30%,17.70%,2.20%,6.80%
1999,131935.00万吨标准煤,73.90%,17.30%,2.50%,6.30%
2000,138569.70万吨标准煤,72.90%,16.80%,2.60%,7.70%
2001,147424.99万吨标准煤,72.60%,15.90%,2.70%,8.80%
2002,156277.01万吨标准煤,73.10%,15.30%,2.80%,8.80%
2003,178298.78万吨标准煤,75.70%,13.60%,2.60%,8.10%
2004,206107.73万吨标准煤,76.70%,12.20%,2.70%,8.40%
2005,229036.72万吨标准煤,77.40%,11.30%,2.90%,8.40%
2006,244762.87万吨标准煤,77.50%,10.80%,3.20%,8.50%
2007,264172.55万吨标准煤,77.80%,10.10%,3.50%,8.60%
2008,277419.41万吨标准煤,76.80%,9.80%,3.90%,9.50%
2009,286092.22万吨标准煤,76.80%,9.40%,4.00%,9.80%
2010,312124.75万吨标准煤,76.20%,9.30%,4.10%,10.40%
2011,340177.51万吨标准煤,77.80%,8.50%,4.10%,9.60%
2012,351040.75万吨标准煤,76.20%,8.50%,4.10%,11.20%
2013,358783.76万吨标准煤,75.40%,8.40%,4.40%,11.80%
2014,362212.00万吨标准煤,73.50%,8.30%,4.70%,13.50%
2015,362193.00万吨标准煤,72.20%,8.50%,4.80%,14.50%
2016,345954.00万吨标准煤,69.80%,8.30%,5.20%,16.70%
2017,358867.00万吨标准煤,69.60%,7.60%,5.40%,17.40%
2018,378859.00万吨标准煤,69.20%,7.20%,5.40%,18.20%
2019,397317.00万吨标准煤,68.50%,6.90%,5.60%,19.00%
2020,407295.20万吨标准煤,67.50%,6.80%,6.00%,19.70%
2021,433000.00万吨标准煤,67.00%,6.60%,6.10%,20.30%
