年份,人均生活能源消费量,煤炭,电力,液化石油气,天然气,煤气
1983,106.61千克标准煤,127.67千克,13.42千瓦时,0.59千克,0.14立方米,1.46立方米
1984,113.45千克标准煤,134.86千克,15.34千瓦时,0.59千克,0.43立方米,1.57立方米
1985,126.71千克标准煤,148.66千克,21.17千瓦时,0.86千克,0.41立方米,1.27立方米
1986,127.33千克标准煤,148.31千克,23.24千瓦时,1.07千克,0.61立方米,1.30立方米
1987,132.13千克标准煤,152.08千克,26.43千瓦时,1.15千克,0.71立方米,1.57立方米
1988,141.01千克标准煤,159.09千克,31.16千瓦时,1.19千克,1.39立方米,1.56立方米
1989,139.30千克标准煤,152.36千克,35.33千瓦时,1.37千克,1.50立方米,2.43立方米
1990,139.18千克标准煤,147.11千克,42.35千瓦时,1.40千克,1.64立方米,2.53立方米
1991,138.98千克标准煤,142.97千克,47.24千瓦时,1.76千克,1.57立方米,3.16立方米
1992,134.22千克标准煤,126.88千克,54.94千瓦时,2.05千克,1.85立方米,4.43立方米
1993,133.49千克标准煤,123.17千克,62.55千瓦时,2.54千克,1.47立方米,4.60立方米
1994,129.32千克标准煤,109.47千克,72.74千瓦时,3.23千克,1.67立方米,6.35立方米
1995,130.68千克标准煤,112.30千克,83.46千瓦时,4.43千克,1.61立方米,4.71立方米
1996,120.51千克标准煤,82.96千克,87.72千瓦时,5.86千克,1.70立方米,6.38立方米
1997,119.32千克标准煤,77.22千克,98.62千瓦时,6.20千克,1.73立方米,8.93立方米
1998,119.01千克标准煤,73.12千克,104.23千瓦时,6.92千克,1.94立方米,9.73立方米
1999,121.80千克标准煤,69.91千克,108.62千瓦时,6.77千克,2.05立方米,9.30立方米
2000,132.00千克标准煤,66.98千克,114.99千瓦时,6.80千克,2.56立方米,10.01立方米
2001,136.00千克标准煤,66.13千克,126.53千瓦时,6.73千克,3.31立方米,9.36立方米
2002,146.00千克标准煤,65.70千克,138.35千瓦时,7.57千克,3.61立方米,9.83立方米
2003,166.00千克标准煤,69.89千克,159.74千瓦时,8.64千克,4.03立方米,10.10立方米
2004,191.00千克标准煤,75.37千克,183.98千瓦时,10.42千克,5.19立方米,10.65立方米
2005,211.00千克标准煤,77.00千克,221.28千瓦时,10.19千克,6.09立方米,11.11立方米
2006,230.00千克标准煤,76.55千克,255.65千瓦时,11.50千克,7.83立方米,12.70立方米
2007,250.00千克标准煤,74.06千克,308.28千瓦时,12.43千克,10.88立方米,14.10立方米
2008,254.00千克标准煤,69.06千克,331.87千瓦时,11.00千克,12.84立方米,13.90立方米
2009,264.00千克标准煤,68.52千克,365.98千瓦时,11.24千克,13.35立方米,12.50立方米
2010,273.00千克标准煤,68.47千克,383.09千瓦时,11.50千克,16.96立方米,12.50立方米
2011,294.00千克标准煤,68.00千克,418.00千瓦时,11.90千克,19.70立方米,10.90立方米
2012,312.00千克标准煤,68.00千克,459.00千瓦时,12.10千克,21.30立方米,10.10立方米
2013,334.00千克标准煤,68.00千克,513.00千瓦时,13.50千克,23.70立方米,7.90立方米
2014,344.00千克标准煤,68.00千克,523.00千瓦时,15.80千克,25.00立方米,7.10立方米
2015,366.00千克标准煤,70.00千克,548.00千瓦时,18.50千克,26.10立方米,5.80立方米
2016,392.00千克标准煤,68.00千克,607.00千瓦时,21.30千克,27.40立方米,4.50立方米
2017,412.00千克标准煤,66.00千克,650.00千瓦时,23.10千克,30.10立方米,3.70立方米
2018,431.00千克标准煤,55.00千克,717.00千瓦时,22.40千克,33.40立方米,3.40立方米
2019,438.00千克标准煤,47.00千克,756.00千瓦时,20.30千克,35.70立方米,3.30立方米
2020,456.00千克标准煤,45.00千克,808.00千瓦时,20.30千克,39.70立方米,3.50立方米
