年份,国内生产总值能源消费量,国内生产总值煤炭消费量,国内生产总值焦炭消费量,国内生产总值石油消费量,国内生产总值原油消费量,国内生产总值燃料油消费量,国内生产总值电力消费量
1980,13.14吨标准煤/万吨,13.30吨/万元,0.94吨/万元,1.91吨/万元,2.01吨/万元,0.67吨/万元,0.66万千瓦时/万元
1981,12.33吨标准煤/万吨,12.56吨/万元,0.81吨/万元,1.93吨/万元,1.81吨/万元,0.59吨/万元,0.64万千瓦时/万元
1982,11.81吨标准煤/万吨,12.20吨/万元,0.76吨/万元,1.56吨/万元,1.65吨/万元,0.53吨/万元,0.62万千瓦时/万元
1983,11.34吨标准煤/万吨,11.80吨/万元,0.71吨/万元,1.44吨/万元,1.56吨/万元,0.49吨/万元,0.60万千瓦时/万元
1984,10.57吨标准煤/万吨,11.18吨/万元,0.66吨/万元,1.29吨/万元,1.37吨/万元,0.43吨/万元,0.56万千瓦时/万元
1985,10.08吨标准煤/万吨,10.72吨/万元,0.62吨/万元,1.21吨/万元,1.25吨/万元,0.37吨/万元,0.54万千瓦时/万元
1986,9.75吨标准煤/万吨,10.38吨/万元,0.63吨/万元,1.17吨/万元,1.23吨/万元,0.36吨/万元,0.54万千瓦时/万元
1987,9.36吨标准煤/万吨,10.03吨/万元,0.62吨/万元,1.11吨/万元,1.15吨/万元,0.34吨/万元,0.54万千瓦时/万元
1988,9.03吨标准煤/万吨,9.65吨/万元,0.59吨/万元,1.08吨/万元,1.09吨/万元,0.31吨/万元,0.53万千瓦时/万元
1989,9.04吨标准煤/万吨,9.64吨/万元,0.59吨/万元,1.08吨/万元,1.08吨/万元,0.32吨/万元,0.55万千瓦时/万元
1990,8.85吨标准煤/万吨,9.47吨/万元,0.62吨/万元,1.03吨/万元,1.06吨/万元,0.30吨/万元,0.56万千瓦时/万元
1990,5.23吨标准煤/万吨,5.59吨/万元,0.37吨/万元,0.61吨/万元,0.62吨/万元,0.18吨/万元,0.33万千瓦时/万元
1991,5.03吨标准煤/万吨,5.36吨/万元,0.35吨/万元,0.60吨/万元,0.60吨/万元,0.17吨/万元,0.33万千瓦时/万元
1992,4.63吨标准煤/万吨,4.84吨/万元,0.33吨/万元,0.57吨/万元,0.56吨/万元,0.15吨/万元,0.32万千瓦时/万元
1993,4.32吨标准煤/万吨,4.51吨/万元,0.33吨/万元,0.55吨/万元,0.52吨/万元,0.14吨/万元,0.31万千瓦时/万元
1994,4.05吨标准煤/万吨,4.24吨/万元,0.30吨/万元,0.49吨/万元,0.46吨/万元,0.12吨/万元,0.31万千瓦时/万元
1995,3.90吨标准煤/万吨,4.09吨/万元,0.32吨/万元,0.48吨/万元,0.44吨/万元,0.11吨/万元,0.30万千瓦时/万元
1996,3.66吨标准煤/万吨,3.79吨/万元,0.32吨/万元,0.48吨/万元,0.43吨/万元,0.10吨/万元,0.29万千瓦时/万元
1997,3.36吨标准煤/万吨,3.41吨/万元,0.27吨/万元,0.48吨/万元,0.43吨/万元,0.09吨/万元,0.28万千瓦时/万元
1998,3.13吨标准煤/万吨,3.10吨/万元,0.26吨/万元,0.45吨/万元,0.40吨/万元,0.09吨/万元,0.27万千瓦时/万元
1999,3.00吨标准煤/万吨,2.97吨/万元,0.23吨/万元,0.45吨/万元,0.40吨/万元,0.08吨/万元,0.26万千瓦时/万元
2000,2.89吨标准煤/万吨,2.67吨/万元,0.21吨/万元,0.44吨/万元,0.42吨/万元,0.08吨/万元,0.26万千瓦时/万元
2000,1.47吨标准煤/万吨,1.35吨/万元,0.11吨/万元,0.22吨/万元,0.21吨/万元,0.04吨/万元,0.13万千瓦时/万元
2001,1.43吨标准煤/万吨,1.32吨/万元,0.11吨/万元,0.21吨/万元,0.20吨/万元,0.04吨/万元,0.14万千瓦时/万元
2002,1.43吨标准煤/万吨,1.30吨/万元,0.11吨/万元,0.21吨/万元,0.19吨/万元,0.03吨/万元,0.14万千瓦时/万元
2003,1.51吨标准煤/万吨,1.41吨/万元,0.12吨/万元,0.21吨/万元,0.19吨/万元,0.03吨/万元,0.15万千瓦时/万元
2004,1.60吨标准煤/万吨,1.48吨/万元,0.13吨/万元,0.22吨/万元,0.20吨/万元,0.03吨/万元,0.15万千瓦时/万元
2005,1.63吨标准煤/万吨,1.52吨/万元,0.16吨/万元,0.20吨/万元,0.19吨/万元,0.03吨/万元,0.16万千瓦时/万元
2005,1.40吨标准煤/万吨,1.30吨/万元,0.13吨/万元,0.17吨/万元,0.16吨/万元,0.02吨/万元,0.13万千瓦时/万元
2006,1.36吨标准煤/万吨,1.28吨/万元,0.13吨/万元,0.17吨/万元,0.15吨/万元,0.02吨/万元,0.14万千瓦时/万元
2007,1.29吨标准煤/万吨,1.20吨/万元,0.13吨/万元,0.15吨/万元,0.14吨/万元,0.02吨/万元,0.14万千瓦时/万元
2008,1.21吨标准煤/万吨,1.14吨/万元,0.12吨/万元,0.14吨/万元,0.13吨/万元,0.01吨/万元,0.13万千瓦时/万元
2009,1.16吨标准煤/万吨,1.12吨/万元,0.13吨/万元,0.13吨/万元,0.13吨/万元,0.01吨/万元,0.13万千瓦时/万元
2010,1.13吨标准煤/万吨,1.09吨/万元,0.12吨/万元,0.14吨/万元,0.13吨/万元,0.01吨/万元,0.13万千瓦时/万元
2010,0.88吨标准煤/万吨,0.85吨/万元,0.09吨/万元,0.11吨/万元,0.10吨/万元,0.01吨/万元,0.10万千瓦时/万元
2011,0.86吨标准煤/万吨,0.86吨/万元,0.09吨/万元,0.10吨/万元,0.10吨/万元,0.01吨/万元,0.10万千瓦时/万元
2012,0.83吨标准煤/万吨,0.85吨/万元,0.09吨/万元,0.10吨/万元,0.10吨/万元,0.01吨/万元,0.10万千瓦时/万元
2013,0.79吨标准煤/万吨,0.81吨/万元,0.09吨/万元,0.10吨/万元,0.09吨/万元,0.01吨/万元,0.10万千瓦时/万元
2014,0.76吨标准煤/万吨,0.73吨/万元,0.08吨/万元,0.09吨/万元,0.09吨/万元,0.01吨/万元,0.10万千瓦时/万元
2015,0.72吨标准煤/万吨,0.66吨/万元,0.07吨/万元,0.09吨/万元,0.09吨/万元,0.01吨/万元,0.10万千瓦时/万元
2015,0.63吨标准煤/万吨,0.58吨/万元,0.06吨/万元,0.08吨/万元,0.08吨/万元,0.01吨/万元,0.08万千瓦时/万元
2016,0.60吨标准煤/万吨,0.53吨/万元,0.06吨/万元,0.08吨/万元,0.08吨/万元,0.01吨/万元,0.08万千瓦时/万元
2017,0.58吨标准煤/万吨,0.50吨/万元,0.06吨/万元,0.08吨/万元,0.08吨/万元,0.01吨/万元,0.08万千瓦时/万元
2018,0.56吨标准煤/万吨,0.47吨/万元,0.05吨/万元,0.07吨/万元,0.07吨/万元,0.01吨/万元,0.09万千瓦时/万元
2019,0.55吨标准煤/万吨,0.45吨/万元,0.05吨/万元,0.07吨/万元,0.08吨/万元,0.01吨/万元,0.08万千瓦时/万元
2020,0.55吨标准煤/万吨,0.44吨/万元,0.05吨/万元,0.07吨/万元,0.08吨/万元,0.01吨/万元,0.09万千瓦时/万元
