nid,年份,燃料油可供量,燃料油生产量,燃料油进口量,燃料油出口量,燃料油消费量,农林牧渔业燃料油消费量,工业燃料油消费量,建筑业燃料油消费量,交通运输仓储和邮政业燃料油消费量,批发和零售业住宿和餐饮业燃料油消费量,其他燃料油消费量
1,1980,3096.1万吨,3142万吨,39万吨,45.4万吨,3073.7万吨,2.3万吨,2937.4万吨,15万吨,109万吨,2.9万吨,7.1万吨
2,1985,2848万吨,2835.8万吨,70万吨,64.9万吨,2837.4万吨,3.1万吨,2662.2万吨,18.9万吨,144.1万吨,3.1万吨,6万吨
3,1990,3320.7万吨,3267.9万吨,167.3万吨,97.2万吨,3367.8万吨,2.9万吨,3091.7万吨,47.3万吨,208.2万吨,1.6万吨,16.1万吨
4,1995,3717.3万吨,2960.8万吨,859.1万吨,68.6万吨,3693.7万吨,8.4万吨,3406.2万吨,14.2万吨,227.5万吨,6.6万吨,30.8万吨
5,2000,3836.7万吨,2053.7万吨,1704.3万吨,57.9万吨,3872.8万吨,0.4万吨,2975.1万吨,16.7万吨,850万吨,11.6万吨,19万吨
6,2005,4237.3万吨,1767.4万吨,2883.9万吨,427.6万吨,4244.2万吨,0.7万吨,2986.9万吨,14.2万吨,1201万吨,27.5万吨,13.9万吨
7,2010,3765.4万吨,2487万吨,2695.2万吨,1419.7万吨,3758万吨,1.1万吨,2377.3万吨,30.8万吨,1326.7万吨,8.6万吨,13.5万吨
8,2011,3667.6万吨,2281.8万吨,3097.4万吨,1685.6万吨,3662.8万吨,1.3万吨,2260.2万吨,30.6万吨,1345.2万吨,9.3万吨,16.2万吨
9,2012,3691万吨,2253.2万吨,3102.4万吨,1601.5万吨,3683.3万吨,2万吨,2241.7万吨,27.1万吨,1383.9万吨,8.7万吨,19.9万吨
10,2013,3926.1万吨,2775.9万吨,2734.3万吨,1493.7万吨,3954万吨,2万吨,2421.1万吨,59.5万吨,1429万吨,19.1万吨,23.4万吨
11,2014,4401.9万吨,3541.7万吨,2146.3万吨,1279.9万吨,4355.5万吨,1.3万吨,2835.7万吨,44.6万吨,1441.4万吨,17.4万吨,15.1万吨
12,2015,4632.8万吨,3963万吨,2068.2万吨,1402.1万吨,4662万吨,0.9万吨,3133万吨,53.5万吨,1439.5万吨,19万吨,16.1万吨
13,2016,4644.5万吨,4236.9万吨,1743.2万吨,1342万吨,4631万吨,1万吨,3035.4万吨,51.9万吨,1511.4万吨,17.2万吨,14.1万吨
14,2017,4895.8万吨,4563.5万吨,1915.3万吨,1516.7万吨,4887.3万吨,1.3万吨,3043.7万吨,43.2万吨,1771.3万吨,15.1万吨,12.5万吨
15,2018,4585.2万吨,3899.7万吨,2271.3万吨,1673.2万吨,4536.1万吨,1.3万吨,2688.2万吨,31.8万吨,1795.7万吨,10.1万吨,9万吨
