nid,年份,液化石油气可供量,液化石油气生产量,液化石油气进口量,液化石油气出口量,液化石油气消费量,农林牧渔业液化石油气消费量,工业液化石油气消费量,建筑业液化石油气消费量,交通运输仓储和邮政业液化石油气消费量,批发和零售业住宿和餐饮业液化石油气消费量,其他液化石油气消费量,居民生活液化石油气消费量
1,1980,122.5万吨,122.5万吨,,,119.6万吨,,76.1万吨,,,,0.4万吨,43.1万吨
2,1985,157.3万吨,159.7万吨,,1.9万吨,155.7万吨,,59.9万吨,,,0.5万吨,4.5万吨,90.8万吨
3,1990,258.5万吨,261.6万吨,,1.1万吨,254.2万吨,,82万吨,1万吨,,6.6万吨,6.1万吨,158.5万吨
4,1995,774.3万吨,540.8万吨,232.6万吨,7.1万吨,750.6万吨,0.1万吨,192.5万吨,0.5万吨,0.5万吨,17.4万吨,5.7万吨,534万吨
5,2000,1396.2万吨,916.6万吨,481.7万吨,1.6万吨,1389.7万吨,0.4万吨,426.1万吨,8.9万吨,16.5万吨,55.5万吨,24万吨,858.3万吨
6,2005,2052.2万吨,1432.7万吨,617万吨,2.7万吨,2046.5万吨,3.5万吨,534.4万吨,6.3万吨,48.7万吨,99万吨,25.8万吨,1328.7万吨
7,2010,2323.8万吨,2092.3万吨,327万吨,93万吨,2321.9万吨,4.7万吨,586.8万吨,7.2万吨,61万吨,72.6万吨,52.6万吨,1537万吨
8,2011,2474.2万吨,2240.8万吨,349.6万吨,119.1万吨,2470.2万吨,5.6万吨,661.1万吨,7.2万吨,65.5万吨,69万吨,54.8万吨,1607.2万吨
9,2012,2496万吨,2268.7万吨,358.5万吨,128.2万吨,2482.2万吨,6.4万吨,621万吨,6.8万吨,68.1万吨,76万吨,68.5万吨,1635.4万吨
10,2013,2836.1万吨,2513.3万吨,451.7万吨,126.9万吨,2823.4万吨,6.8万吨,705.1万吨,14.7万吨,89.4万吨,78.5万吨,83.4万吨,1845.6万吨
11,2014,3292.7万吨,2705.8万吨,739.4万吨,144.4万吨,3289.8万吨,7.1万吨,835万吨,16.8万吨,91.8万吨,86.6万吨,79.4万吨,2173.1万吨
12,2015,4008.2万吨,2934.4万吨,1244万吨,144.2万吨,3961.2万吨,7.2万吨,1113.9万吨,15.1万吨,100.3万吨,84万吨,91.4万吨,2549.3万吨
13,2016,5034万吨,3503.9万吨,1678.5万吨,132.3万吨,5015.1万吨,6.8万吨,1766.8万吨,14.8万吨,104.2万吨,83.6万吨,83.5万吨,2955.4万吨
14,2017,5472.9万吨,3677.3万吨,1921.9万吨,132.2万吨,5457.8万吨,7.1万吨,1896.3万吨,15.8万吨,123.7万吨,96.4万吨,93.5万吨,3225万吨
15,2018,5733.4万吨,3915.6万吨,1966.4万吨,113.5万吨,5673.1万吨,7.6万吨,2215.5万吨,17万吨,125.1万吨,86.2万吨,74.4万吨,3147.3万吨
