nid,年份,电力可供量,电力生产量,电力进口量,电力出口量,电力消费量,农林牧渔业电力消费量,工业电力消费量,建筑业电力消费量,交通运输仓储和邮政业电力消费量,批发和零售业住宿和餐饮业电力消费量,其他电力消费量,居民生活电力消费量
1,1980,3006.3亿千瓦小时,3006.3亿千瓦小时,,,3006.3亿千瓦小时,270亿千瓦小时,2471.9亿千瓦小时,47.1亿千瓦小时,26.5亿千瓦小时,16.8亿千瓦小时,68.8亿千瓦小时,105.2亿千瓦小时
2,1985,4117.6亿千瓦小时,4106.9亿千瓦小时,11.1亿千瓦小时,0.4亿千瓦小时,4117.6亿千瓦小时,317.4亿千瓦小时,3283.4亿千瓦小时,71.2亿千瓦小时,63.4亿千瓦小时,38亿千瓦小时,121.7亿千瓦小时,222.5亿千瓦小时
3,1990,6230.4亿千瓦小时,6212亿千瓦小时,19.3亿千瓦小时,0.9亿千瓦小时,6230.4亿千瓦小时,426.8亿千瓦小时,4873.3亿千瓦小时,65亿千瓦小时,105.9亿千瓦小时,76.2亿千瓦小时,202.4亿千瓦小时,480.8亿千瓦小时
4,1995,10023.4亿千瓦小时,10077.3亿千瓦小时,6.4亿千瓦小时,60.3亿千瓦小时,10023.4亿千瓦小时,582.4亿千瓦小时,7659.8亿千瓦小时,159.6亿千瓦小时,182.3亿千瓦小时,199.5亿千瓦小时,234.2亿千瓦小时,1005.6亿千瓦小时
5,2000,13472.7亿千瓦小时,13556亿千瓦小时,15.5亿千瓦小时,98.8亿千瓦小时,13472.4亿千瓦小时,533亿千瓦小时,10004.6亿千瓦小时,159.8亿千瓦小时,281.2亿千瓦小时,418.7亿千瓦小时,623.2亿千瓦小时,1452亿千瓦小时
6,2005,24940.8亿千瓦小时,25002.6亿千瓦小时,50.1亿千瓦小时,111.9亿千瓦小时,24940.3亿千瓦小时,776.3亿千瓦小时,18521.7亿千瓦小时,233.9亿千瓦小时,430.3亿千瓦小时,752.3亿千瓦小时,1340.9亿千瓦小时,2884.8亿千瓦小时
7,2010,41936.5亿千瓦小时,42071.6亿千瓦小时,55.5亿千瓦小时,190.6亿千瓦小时,41934.5亿千瓦小时,976.5亿千瓦小时,30871.8亿千瓦小时,483.2亿千瓦小时,734.5亿千瓦小时,1292亿千瓦小时,2451.8亿千瓦小时,5124.6亿千瓦小时
8,2011,47002.7亿千瓦小时,47130.2亿千瓦小时,65.6亿千瓦小时,193.1亿千瓦小时,47000.9亿千瓦小时,1012.9亿千瓦小时,34691.6亿千瓦小时,571.8亿千瓦小时,848.4亿千瓦小时,1503.1亿千瓦小时,2753.1亿千瓦小时,5620.1亿千瓦小时
9,2012,49767.7亿千瓦小时,49875.5亿千瓦小时,68.7亿千瓦小时,176.5亿千瓦小时,49762.6亿千瓦小时,1012.6亿千瓦小时,36232.2亿千瓦小时,608.4亿千瓦小时,915.4亿千瓦小时,1691.5亿千瓦小时,3083.6亿千瓦小时,6219亿千瓦小时
10,2013,54204.1亿千瓦小时,54316.4亿千瓦小时,74.4亿千瓦小时,186.7亿千瓦小时,54203.4亿千瓦小时,1026.9亿千瓦小时,39236.9亿千瓦小时,675.1亿千瓦小时,1000.9亿千瓦小时,1876.9亿千瓦小时,3397.6亿千瓦小时,6989.2亿千瓦小时
11,2014,57830.5亿千瓦小时,57944.6亿千瓦小时,67.5亿千瓦小时,181.6亿千瓦小时,57829.7亿千瓦小时,1013.4亿千瓦小时,42248.7亿千瓦小时,721.7亿千瓦小时,1059.2亿千瓦小时,1995.6亿千瓦小时,3615亿千瓦小时,7176.1亿千瓦小时
12,2015,58021.3亿千瓦小时,58145.7亿千瓦小时,62.1亿千瓦小时,186.5亿千瓦小时,58020亿千瓦小时,1039.8亿千瓦小时,41550亿千瓦小时,698.7亿千瓦小时,1125.6亿千瓦小时,2122亿千瓦小时,3918.6亿千瓦小时,7565.2亿千瓦小时
13,2016,61204.4亿千瓦小时,61331.6亿千瓦小时,61.9亿千瓦小时,189.1亿千瓦小时,61205.1亿千瓦小时,1091.9亿千瓦小时,42996.9亿千瓦小时,725.6亿千瓦小时,1251.5亿千瓦小时,2323.8亿千瓦小时,4394.8亿千瓦小时,8420.6亿千瓦小时
14,2017,65914亿千瓦小时,66044.5亿千瓦小时,64.2亿千瓦小时,194.7亿千瓦小时,65914亿千瓦小时,1175.1亿千瓦小时,46052.8亿千瓦小时,789.2亿千瓦小时,1418亿千瓦小时,2526.6亿千瓦小时,4880.6亿千瓦小时,9071.6亿千瓦小时
15,2018,71509.2亿千瓦小时,71661.3亿千瓦小时,56.9亿千瓦小时,209.1亿千瓦小时,71508.2亿千瓦小时,1242.5亿千瓦小时,49094.9亿千瓦小时,887.8亿千瓦小时,1608.5亿千瓦小时,2900.4亿千瓦小时,5716.5亿千瓦小时,10057.6亿千瓦小时
