pid,name,定义
1,国内生产总值,国内生产总值（Gross Domestic Product，简称GDP），是一个国家（或地区）所有常住单位在一定时期内生产活动的最终成果。GDP是国民经济核算的核心指标，也是衡量一个国家或地区经济状况和发展水平的重要指标。
2,国内生产总值构成,
3,国内生产总值指数,国内生产总值指数是指反映一定时期内国内生产总值变动趋势和程度的相对数。
4,不变价国内生产总值,指把按当期价格计算的GDP换算成按某个固定基期价格计算的价值，从而剔除价格变化因素的影响，以使不同时期的价值可以比较。
5,不变价国内生产总值指数,指把按当期价格计算的国民生产总值指数换算成按某个固定基期价格计算的价值，从而剔除价格变化因素的影响，以使不同时期的价值可以比较。
6,分行业增加值,不同行业在一个周期内比上个清算周期的增长值。
7,三次产业和主要行业贡献率,
8,三次产业和主要行业对国内生产总值的拉动,
9,地区生产总值,地区生产总值（地区GDP）是指本地区所有常住单位在一定时期内生产活动的最终成果。地区生产总值等于各产业增加值之和。
10,地区生产总值指数,
11,地区生产总值占比,
12,支出法国内生产总值,支出法国内生产总值指一个国家(或地区)所有常住单位在一定时期内用于最终消费、资本形成总额，政府支出以及货物和服务的净出口总额，它反映本期生产的国内生产总值的使用及构成。
13,生产总值,
14,三大需求对国内生产总值的贡献率,
15,货物与服务净出口,货物和服务净出口指货物和服务出口减货物和服务进口的差额。
