pid,name,定义
1,氮氧化物,氮氧化物指的是只由氮、氧两种元素组成的化合物，包括多种化合物，如一氧化二氮（N2O）、一氧化氮 （NO）、二氧化氮（NO2）、三氧化二氮（N2O3）、四氧化二氮（N2O4）和五氧化二氮（N2O5）等。
2,颗粒物,是大气中存在的各种固态和液态颗粒状物质的总称。各种颗粒状物质均匀地分散在空气中构成一个相对稳定的庞大的悬浮体系，即气溶胶体系，因此大气颗粒物也称为大气气溶胶。
3,二氧化硫,二氧化硫（sulfur dioxide）是最常见、最简单的硫氧化物，化学式SO2，其为无色透明气体，有刺激性臭味。 溶于水、乙醇和乙醚。
4,二氧化氮,二氧化氮，化学式为NO2，一种棕红色气体。在常温下（0~21.5℃）二氧化氮与四氧化二氮混合而共存。有毒、有刺激性。溶于浓硝酸中而生成发烟硝酸。能叠合成四氧化二氮。与水作用生成硝酸和一氧化氮。与碱作用生成硝酸盐。能与许多有机化合物起激烈反应。
5,可吸入颗粒物(PM10),通常是指粒径在10微米以下的颗粒物，可吸入颗粒物在环境空气中持续的时间很长，对人体健康和大气能见度的影响都很大。通常来自在未铺的沥青、水泥的路面上行驶的机动车、材料的破碎碾磨处理过程以及被风扬起的尘土。可吸入颗粒物被人吸入后，会积累在呼吸系统中，引发许多疾病，对人类危害大。
6,细颗粒物(PM2.5),PM2.5是指大气中直径小于或等于2.5微米的 颗粒物 ，也称为 可入肺颗粒物 。 它的直径还不到人的头发丝粗细的1/20。 虽然PM2.5只是地球大气成分中含量很少的组分，但它对空气质量和 能见度等有重要的影响。
7,一氧化碳,一氧化碳（carbon monoxide），一种碳氧化合物，化学式为CO，分子量为28.0101，通常状况下为是无色、无臭、无味的气体。
8,臭氧,臭氧，是氧气的一种同素异形体，化学式是O3，式量47.998，淡蓝色气体，液态为深蓝色，固态为紫黑色。
9,化学需氧量,化学需氧量COD（Chemical Oxygen Demand）是以化学方法测量水样中需要被氧化的还原性物质的量。
10,氨氮化合物,氨氮是指以氨或铵离子形式存在的化合氮，即水中以游离氨（NH3）和铵离子（NH4+）形式存在的氮。
11,氮,氮（Nitrogen）是一种化学元素，它的化学符号是N，它的原子序数是7。氮是空气中最多的元素，在自然界中存在十分广泛，在生物体内亦有极大作用，是组成氨基酸的基本元素之一。
