地区,供水总量,地表水供水量,地下水供水量,其他供水量,用水总量,农业用水量,工业用水量,生活用水量,人工生态环境补水用水量,人均用水量
北京,40.8亿立方米,21.6亿立方米,13.6亿立方米,5.5亿立方米,40.8亿立方米,2.8亿立方米,2.9亿立方米,19.4亿立方米,15.7亿立方米,186.4立方米/人
天津,32.3亿立方米,23.8亿立方米,2.7亿立方米,5.8亿立方米,32.3亿立方米,9.3亿立方米,4.8亿立方米,7.0亿立方米,11.3亿立方米,234.1立方米/人
河北,181.9亿立方米,96.2亿立方米,73.2亿立方米,12.5亿立方米,181.9亿立方米,97.1亿立方米,17.7亿立方米,27.8亿立方米,39.3亿立方米,244立方米/人
山西,72.6亿立方米,38.5亿立方米,28.2亿立方米,6.0亿立方米,72.6亿立方米,40.8亿立方米,12.3亿立方米,15.1亿立方米,4.5亿立方米,208.3立方米/人
内蒙古,191.7亿立方米,105.7亿立方米,79.0亿立方米,7.0亿立方米,191.7亿立方米,137.5亿立方米,13.4亿立方米,11.7亿立方米,29.1亿立方米,798.3立方米/人
辽宁,129.0亿立方米,76.7亿立方米,46.5亿立方米,5.8亿立方米,129.0亿立方米,77.2亿立方米,16.5亿立方米,26.6亿立方米,8.7亿立方米,304.1立方米/人
吉林,110.2亿立方米,74.3亿立方米,33.8亿立方米,2.1亿立方米,110.2亿立方米,79.9亿立方米,9.2亿立方米,13.1亿立方米,8.1亿立方米,461.7立方米/人
黑龙江,324.5亿立方米,200.2亿立方米,122.0亿立方米,2.2亿立方米,324.5亿立方米,289.2亿立方米,17.8亿立方米,15.9亿立方米,1.6亿立方米,1030.8立方米/人
上海,105.8亿立方米,105.5亿立方米,0.0亿立方米,0.2亿立方米,105.8亿立方米,15.3亿立方米,65.0亿立方米,24.7亿立方米,0.9亿立方米,425.2立方米/人
江苏,567.5亿立方米,552.4亿立方米,3.2亿立方米,11.9亿立方米,567.5亿立方米,246.2亿立方米,250.2亿立方米,66.1亿立方米,5.1亿立方米,668.4立方米/人
浙江,166.4亿立方米,161.7亿立方米,0.2亿立方米,4.5亿立方米,166.4亿立方米,73.3亿立方米,35.8亿立方米,50.6亿立方米,6.8亿立方米,255.8立方米/人
安徽,271.7亿立方米,239.5亿立方米,25.8亿立方米,6.3亿立方米,271.7亿立方米,144.1亿立方米,82.1亿立方米,36.5亿立方米,9.0亿立方米,444.8立方米/人
福建,182.6亿立方米,175.3亿立方米,3.3亿立方米,4.0亿立方米,182.6亿立方米,99.8亿立方米,35.4亿立方米,32.4亿立方米,14.9亿立方米,437.5立方米/人
江西,249.4亿立方米,241.9亿立方米,5.0亿立方米,2.5亿立方米,249.4亿立方米,167.3亿立方米,48.7亿立方米,28.8亿立方米,4.6亿立方米,552立方米/人
山东,210.1亿立方米,128.9亿立方米,66.8亿立方米,14.4亿立方米,210.1亿立方米,115.8亿立方米,32.6亿立方米,40.3亿立方米,21.4亿立方米,206.6立方米/人
河南,222.9亿立方米,115.6亿立方米,96.9亿立方米,10.3亿立方米,222.9亿立方米,115.0亿立方米,28.0亿立方米,45.1亿立方米,34.8亿立方米,224.9立方米/人
湖北,336.1亿立方米,330.5亿立方米,5.4亿立方米,0.3亿立方米,336.1亿立方米,177.7亿立方米,85.6亿立方米,51.9亿立方米,21.0亿立方米,580.7立方米/人
湖南,322.4亿立方米,312.1亿立方米,6.7亿立方米,3.6亿立方米,322.4亿立方米,199.9亿立方米,62.1亿立方米,48.4亿立方米,11.9亿立方米,486立方米/人
广东,407.0亿立方米,394.0亿立方米,8.6亿立方米,4.4亿立方米,407.0亿立方米,204.2亿立方米,78.2亿立方米,117.9亿立方米,6.7亿立方米,321.6立方米/人
广西,268.5亿立方米,258.2亿立方米,7.1亿立方米,3.2亿立方米,268.5亿立方米,189.6亿立方米,36.5亿立方米,36.1亿立方米,6.3亿立方米,534立方米/人
海南,45.0亿立方米,43.3亿立方米,1.3亿立方米,0.4亿立方米,45.0亿立方米,34.0亿立方米,1.5亿立方米,8.5亿立方米,1.0亿立方米,442.9立方米/人
重庆,72.1亿立方米,66.2亿立方米,0.5亿立方米,5.4亿立方米,72.1亿立方米,28.7亿立方米,19.3亿立方米,22.5亿立方米,1.6亿立方米,224.6立方米/人
四川,244.3亿立方米,236.4亿立方米,6.5亿立方米,1.4亿立方米,244.3亿立方米,158.6亿立方米,21.8亿立方米,57.0亿立方米,6.9亿立方米,291.8立方米/人
贵州,104.1亿立方米,100.6亿立方米,2.1亿立方米,1.4亿立方米,104.1亿立方米,62.1亿立方米,20.0亿立方米,20.0亿立方米,2.0亿立方米,270立方米/人
