年份,供水总量,地表水供水量,地下水供水量,其他供水量,用水总量,农业用水量,工业用水量,生活用水量,人工生态环境补水用水量,人均用水量
2000,5530.7亿立方米,4440.4亿立方米,1069.2亿立方米,21.1亿立方米,5497.6亿立方米,3783.5亿立方米,1139.1亿立方米,574.9亿立方米,,435.4立方米/人
2005,5633.0亿立方米,4572.2亿立方米,1038.8亿立方米,22.0亿立方米,5633.0亿立方米,3580.0亿立方米,1285.2亿立方米,675.1亿立方米,92.7亿立方米,432.1立方米/人
2006,5795.0亿立方米,4706.7亿立方米,1065.5亿立方米,22.7亿立方米,5795.0亿立方米,3664.4亿立方米,1343.8亿立方米,693.8亿立方米,93.0亿立方米,442立方米/人
2007,5818.7亿立方米,4723.9亿立方米,1069.1亿立方米,25.7亿立方米,5818.7亿立方米,3599.5亿立方米,1403.0亿立方米,710.4亿立方米,105.7亿立方米,441.5立方米/人
2008,5910.0亿立方米,4796.4亿立方米,1084.8亿立方米,28.7亿立方米,5910.0亿立方米,3663.5亿立方米,1397.1亿立方米,729.3亿立方米,120.2亿立方米,446.2立方米/人
2009,5965.2亿立方米,4839.5亿立方米,1094.5亿立方米,31.2亿立方米,5965.2亿立方米,3723.1亿立方米,1390.9亿立方米,748.2亿立方米,103.0亿立方米,448.1立方米/人
2010,6022.0亿立方米,4881.6亿立方米,1107.3亿立方米,33.1亿立方米,6022.0亿立方米,3689.1亿立方米,1447.3亿立方米,765.8亿立方米,119.8亿立方米,450.2立方米/人
2011,6107.2亿立方米,4953.3亿立方米,1109.1亿立方米,44.8亿立方米,6107.2亿立方米,3743.6亿立方米,1461.8亿立方米,789.9亿立方米,111.9亿立方米,454.1立方米/人
2012,6131.2亿立方米,4952.8亿立方米,1133.8亿立方米,44.6亿立方米,6131.2亿立方米,3902.5亿立方米,1380.7亿立方米,739.7亿立方米,108.3亿立方米,452.8立方米/人
2013,6183.4亿立方米,5007.3亿立方米,1126.2亿立方米,49.9亿立方米,6183.4亿立方米,3921.5亿立方米,1406.4亿立方米,750.1亿立方米,105.4亿立方米,453.6立方米/人
2014,6094.9亿立方米,4920.5亿立方米,1116.9亿立方米,57.5亿立方米,6094.9亿立方米,3869.0亿立方米,1356.1亿立方米,766.6亿立方米,103.2亿立方米,444.3立方米/人
2015,6103.2亿立方米,4969.5亿立方米,1069.2亿立方米,64.5亿立方米,6103.2亿立方米,3852.2亿立方米,1334.8亿立方米,793.5亿立方米,122.7亿立方米,442.3立方米/人
2016,6040.2亿立方米,4912.4亿立方米,1057.0亿立方米,70.8亿立方米,6040.2亿立方米,3768.0亿立方米,1308.0亿立方米,821.6亿立方米,142.6亿立方米,435.2立方米/人
2017,6043.4亿立方米,4945.5亿立方米,1016.7亿立方米,81.2亿立方米,6043.4亿立方米,3766.4亿立方米,1277.0亿立方米,838.1亿立方米,161.9亿立方米,432.8立方米/人
2018,6015.5亿立方米,4952.7亿立方米,976.4亿立方米,86.4亿立方米,6015.5亿立方米,3693.1亿立方米,1261.6亿立方米,859.9亿立方米,200.9亿立方米,428.8立方米/人
2019,6021.2亿立方米,4982.5亿立方米,934.2亿立方米,104.5亿立方米,6021.2亿立方米,3682.3亿立方米,1217.6亿立方米,871.7亿立方米,249.6亿立方米,427.7立方米/人
2020,5812.9亿立方米,4792.3亿立方米,892.5亿立方米,128.1亿立方米,5812.9亿立方米,3612.4亿立方米,1030.4亿立方米,863.1亿立方米,307.0亿立方米,411.9立方米/人
2021,5920.2亿立方米,4928.1亿立方米,853.8亿立方米,138.3亿立方米,5920.2亿立方米,3644.3亿立方米,1049.6亿立方米,909.4亿立方米,316.9亿立方米,419.2立方米/人
