地区,废水中化学需氧量排放量,废水中氨氮排放量,废水中总氮排放量,废水中总磷排放量,废水中石油类排放量,废水中挥发酚排放量,废水中总铅排放量,废水中总汞排放量,废水中总镉排放量,废水中六价铬排放量,废水中总铬排放量,废水中总砷排放量
全国,2530.98万吨,86.75万吨,316.66万吨,33.81万吨,2217.50吨,51.80吨,19588千克,638千克,3270千克,3946千克,17796千克,9223千克
北京,4.87万吨,0.22万吨,0.95万吨,0.04万吨,6.90吨,0.00吨,11千克,0千克,1千克,2千克,9千克,1千克
天津,15.52万吨,0.25万吨,1.72万吨,0.16万吨,10.20吨,0.00吨,27千克,7千克,5千克,17千克,71千克,17千克
河北,153.53万吨,3.71万吨,13.33万吨,1.46万吨,160.70吨,5.00吨,182千克,7千克,14千克,114千克,570千克,98千克
山西,61.61万吨,1.40万吨,5.36万吨,0.64万吨,34.00吨,0.90吨,51千克,2千克,32千克,2千克,5千克,259千克
内蒙古,76.71万吨,1.58万吨,6.11万吨,0.42万吨,17.00吨,0.10吨,188千克,9千克,17千克,14千克,85千克,86千克
辽宁,119.86万吨,1.60万吨,10.05万吨,1.37万吨,190.50吨,9.20吨,100千克,15千克,28千克,20千克,318千克,104千克
吉林,76.32万吨,1.13万吨,5.97万吨,0.63万吨,20.50吨,0.30吨,229千克,1千克,61千克,33千克,299千克,66千克
黑龙江,85.14万吨,1.47万吨,8.26万吨,0.73万吨,37.30吨,1.20吨,29千克,2千克,5千克,60千克,73千克,286千克
上海,7.51万吨,0.29万吨,2.59万吨,0.08万吨,172.40吨,0.70吨,60千克,3千克,14千克,55千克,194千克,37千克
江苏,119.49万吨,4.33万吨,17.55万吨,1.73万吨,169.20吨,3.70吨,339千克,24千克,12千克,414千克,1938千克,72千克
浙江,49.87万吨,3.50万吨,12.72万吨,1.00万吨,157.40吨,0.80吨,445千克,5千克,68千克,758千克,2623千克,48千克
安徽,120.04万吨,4.33万吨,15.63万吨,1.85万吨,101.20吨,0.80吨,667千克,14千克,129千克,144千克,1393千克,444千克
福建,55.69万吨,3.82万吨,11.59万吨,1.34万吨,58.40吨,1.00吨,479千克,5千克,90千克,104千克,1161千克,896千克
江西,109.57万吨,4.70万吨,13.85万吨,1.71万吨,112.70吨,11.50吨,2043千克,18千克,624千克,236千克,559千克,1154千克
山东,156.28万吨,4.64万吨,16.38万吨,1.48万吨,207.00吨,5.10吨,793千克,36千克,133千克,320千克,2652千克,502千克
河南,151.85万吨,4.33万吨,17.63万吨,1.79万吨,34.30吨,0.40吨,671千克,7千克,45千克,28千克,757千克,83千克
湖北,156.75万吨,5.50万吨,19.63万吨,2.48万吨,103.70吨,1.10吨,709千克,32千克,395千克,126千克,462千克,948千克
湖南,151.82万吨,5.75万吨,19.48万吨,2.49万吨,61.60吨,1.50吨,4427千克,156千克,431千克,204千克,818千克,533千克
广东,158.08万吨,7.72万吨,28.82万吨,2.96万吨,182.20吨,0.70吨,2306千克,17千克,350千克,900千克,2322千克,827千克
广西,95.82万吨,5.32万吨,19.43万吨,2.33万吨,28.50吨,0.30吨,458千克,28千克,70千克,33千克,328千克,341千克
海南,17.17万吨,0.66万吨,2.93万吨,0.38万吨,1.40吨,0.20吨,14千克,1千克,4千克,14千克,41千克,14千克
重庆,33.82万吨,1.96万吨,5.93万吨,0.50万吨,108.40吨,3.10吨,47千克,2千克,4千克,74千克,182千克,18千克
四川,135.82万吨,6.49万吨,19.21万吨,1.82万吨,73.20吨,0.40吨,226千克,47千克,27千克,88千克,359千克,212千克
贵州,118.35万吨,2.56万吨,10.21万吨,1.53万吨,21.80吨,0.30吨,160千克,4千克,29千克,20千克,79千克,241千克
云南,69.43万吨,2.62万吨,11.12万吨,1.04万吨,26.00吨,0.10吨,1888千克,39千克,269千克,21千克,53千克,908千克
西藏,13.71万吨,0.41万吨,1.01万吨,0.11万吨,0.10吨,0.00吨,11千克,0千克,2千克,1千克,3千克,3千克
陕西,50.74万吨,2.71万吨,7.17万吨,0.50万吨,37.00吨,0.60吨,219千克,22千克,47千克,22千克,103千克,485千克
甘肃,66.13万吨,0.60万吨,3.53万吨,0.49万吨,21.80吨,0.40吨,552千克,44千克,46千克,89千克,196千克,202千克
青海,7.94万吨,0.56万吨,1.05万吨,0.05万吨,6.40吨,0.50吨,1964千克,43千克,221千克,2千克,11千克,60千克
宁夏,24.50万吨,0.25万吨,1.47万吨,0.20万吨,4.80吨,0.10吨,2千克,42千克,1千克,2千克,8千克,1千克
新疆,66.98万吨,2.32万吨,5.98万吨,0.53万吨,51.00吨,2.10吨,293千克,5千克,95千克,30千克,125千克,277千克
