地区,二氧化硫排放量,氮氧化物排放量,颗粒物排放量
全国,275万吨,973万吨,538万吨
北京,0万吨,8万吨,1万吨
天津,1万吨,11万吨,1万吨
河北,17万吨,82万吨,35万吨
山西,15万吨,42万吨,30万吨
内蒙古,22万吨,43万吨,96万吨
辽宁,16万吨,81万吨,28万吨
吉林,6万吨,20万吨,17万吨
黑龙江,11万吨,28万吨,35万吨
上海,1万吨,14万吨,1万吨
江苏,9万吨,44万吨,13万吨
浙江,4万吨,38万吨,7万吨
安徽,9万吨,45万吨,12万吨
福建,7万吨,25万吨,9万吨
江西,9万吨,32万吨,11万吨
山东,17万吨,66万吨,22万吨
河南,6万吨,50万吨,7万吨
湖北,9万吨,29万吨,13万吨
湖南,8万吨,26万吨,15万吨
广东,10万吨,63万吨,13万吨
广西,7万吨,26万吨,9万吨
海南,0万吨,4万吨,1万吨
重庆,5万吨,16万吨,6万吨
四川,14万吨,35万吨,19万吨
贵州,14万吨,22万吨,12万吨
云南,17万吨,32万吨,25万吨
西藏,0万吨,4万吨,1万吨
陕西,8万吨,21万吨,23万吨
甘肃,8万吨,18万吨,13万吨
青海,4万吨,7万吨,6万吨
宁夏,6万吨,12万吨,7万吨
新疆,13万吨,28万吨,51万吨
