地区,生活垃圾清运量,无害化处理厂数,卫生填埋厂数,焚烧厂数,其他厂数,无害化处理能力,卫生填埋处理能力,焚烧处理能力,其他处理能力,无害化处理量,卫生填埋处理量,焚烧处理量,其他处理量,生活垃圾无害化处理率
全国,24869.2万吨,1407座,542座,583座,282座,1057064吨/日,261555吨/日,719533吨/日,75976吨/日,24839.3万吨,5208.5万吨,18019.7万吨,1611.1万吨,99.9%
北京,784.2万吨,42座,9座,11座,22座,33861吨/日,7491吨/日,16950吨/日,9420吨/日,784.2万吨,57.3万吨,476.1万吨,250.9万吨,100%
天津,335.7万吨,19座,1座,13座,5座,19750吨/日,400吨/日,18200吨/日,1150吨/日,335.7万吨,0.1万吨,309.8万吨,25.8万吨,100%
河北,788.1万吨,62座,27座,28座,7座,42704吨/日,9704吨/日,30750吨/日,2250吨/日,788.1万吨,175.8万吨,572.6万吨,39.6万吨,100%
山西,488.7万吨,26座,15座,10座,1座,11611吨/日,5675吨/日,5836吨/日,100吨/日,488.7万吨,184.1万吨,291.9万吨,12.7万吨,100%
内蒙古,365.3万吨,30座,25座,5座,0座,13247吨/日,8697吨/日,4550吨/日,0吨/日,364.9万吨,213.8万吨,151.1万吨,0.0万吨,99.9%
辽宁,1029.8万吨,48座,27座,13座,8座,37760吨/日,18657吨/日,17281吨/日,1822吨/日,1028.0万吨,505.6万吨,467.2万吨,55.2万吨,99.8%
吉林,469.1万吨,38座,23座,12座,3座,21025吨/日,9195吨/日,11150吨/日,680吨/日,469.1万吨,160.3万吨,298.6万吨,10.2万吨,100%
黑龙江,521.9万吨,46座,30座,12座,4座,22629吨/日,12187吨/日,9642吨/日,800吨/日,521.9万吨,249.5万吨,259.6万吨,12.8万吨,100%
上海,955.1万吨,24座,1座,13座,10座,33880吨/日,5000吨/日,22500吨/日,6380吨/日,955.1万吨,80.6万吨,734.9万吨,139.5万吨,100%
江苏,1903.6万吨,82座,21座,49座,12座,83304吨/日,10978吨/日,67560吨/日,4766吨/日,1903.6万吨,90.9万吨,1704.9万吨,107.8万吨,100%
浙江,1531.1万吨,77座,1座,51座,25座,80078吨/日,1000吨/日,72090吨/日,6988吨/日,1531.1万吨,12.0万吨,1374.0万吨,145.1万吨,100%
安徽,714.9万吨,52座,12座,25座,15座,35959吨/日,7296吨/日,26360吨/日,2303吨/日,714.9万吨,32.1万吨,638.4万吨,44.3万吨,100%
福建,905.3万吨,37座,6座,23座,8座,31746吨/日,2767吨/日,25859吨/日,3120吨/日,905.3万吨,23.5万吨,839.5万吨,42.3万吨,100%
江西,567.5万吨,31座,8座,17座,6座,22240吨/日,2745吨/日,18550吨/日,945吨/日,567.5万吨,30.3万吨,524.8万吨,12.4万吨,100%
山东,1769.0万吨,104座,29座,56座,19座,73601吨/日,14639吨/日,55412吨/日,3550吨/日,1769.0万吨,76.2万吨,1605.3万吨,87.5万吨,100%
河南,1107.8万吨,52座,27座,21座,4座,42213吨/日,14028吨/日,28100吨/日,85吨/日,1107.8万吨,418.8万吨,685.0万吨,4.0万吨,100%
湖北,1075.7万吨,60座,27座,21座,12座,36144吨/日,11474吨/日,19886吨/日,4784吨/日,1075.7万吨,342.1万吨,602.9万吨,130.7万吨,100%
湖南,868.5万吨,46座,26座,11座,9座,35346吨/日,14906吨/日,17850吨/日,2590吨/日,868.5万吨,333.1万吨,483.2万吨,52.2万吨,100%
广东,3288.6万吨,182座,41座,73座,68座,176736吨/日,40830吨/日,122701吨/日,13205吨/日,3288.6万吨,529.6万吨,2554.1万吨,204.8万吨,100%
广西,583.5万吨,35座,19座,15座,1座,21724吨/日,7714吨/日,13900吨/日,110吨/日,583.5万吨,270.3万吨,312.6万吨,0.6万吨,100%
海南,265.3万吨,13座,1座,10座,2座,10785吨/日,500吨/日,9785吨/日,500吨/日,265.3万吨,2.8万吨,243.7万吨,18.8万吨,100%
重庆,670.3万吨,26座,13座,8座,5座,23070吨/日,5170吨/日,14100吨/日,3800吨/日,647.7万吨,108.8万吨,458.7万吨,80.2万吨,96.6%
四川,1267.6万吨,58座,18座,31座,9座,44133吨/日,6414吨/日,36247吨/日,1472吨/日,1267.5万吨,150.5万吨,1079.6万吨,37.4万吨,100%
贵州,393.6万吨,42座,15座,18座,9座,21926吨/日,6567吨/日,14150吨/日,1209吨/日,389.7万吨,151.9万吨,220.5万吨,17.2万吨,99%
云南,546.9万吨,37座,21座,15座,1座,18660吨/日,4543吨/日,13917吨/日,200吨/日,546.9万吨,167.9万吨,371.8万吨,7.2万吨,100%
西藏,69.2万吨,9座,8座,1座,0座,2355吨/日,1655吨/日,700吨/日,0吨/日,69.0万吨,47.9万吨,21.1万吨,0.0万吨,99.7%
陕西,669.4万吨,41座,28座,6座,7座,28418吨/日,14918吨/日,11550吨/日,1950吨/日,669.4万吨,267.1万吨,383.4万吨,18.9万吨,100%
甘肃,285.8万吨,27座,16座,7座,4座,10567吨/日,3957吨/日,5700吨/日,910吨/日,285.8万吨,113.3万吨,154.5万吨,18.0万吨,100%
青海,120.5万吨,12座,10座,0座,2座,2296吨/日,2126吨/日,0吨/日,170吨/日,119.8万吨,110.1万吨,0.0万吨,9.7万吨,99.4%
宁夏,126.9万吨,11座,6座,3座,2座,5410吨/日,2403吨/日,2507吨/日,500吨/日,126.9万吨,32.4万吨,76.9万吨,17.7万吨,100%
新疆,400.3万吨,38座,31座,5座,2座,13886吨/日,7920吨/日,5750吨/日,217吨/日,400.3万吨,269.8万吨,123.0万吨,7.5万吨,100%
