城市,道路交通噪声等效声级,区域环境噪声等效声级
北京,69dB(A),53.7dB(A)
天津,66.8dB(A),54dB(A)
石家庄,68dB(A),52.2dB(A)
太原,66.2dB(A),52dB(A)
呼和浩特,67.5dB(A),51.7dB(A)
沈阳,69.9dB(A),54.1dB(A)
长春,69.6dB(A),54.9dB(A)
哈尔滨,67.4dB(A),56.6dB(A)
上海,68.4dB(A),54dB(A)
南京,67dB(A),53.5dB(A)
杭州,66.5dB(A),55.8dB(A)
合肥,67dB(A),58.9dB(A)
福州,68.1dB(A),56.7dB(A)
南昌,65.9dB(A),54.7dB(A)
济南,68.8dB(A),54.9dB(A)
郑州,68.7dB(A),55.1dB(A)
武汉,71dB(A),57.7dB(A)
长沙,68.6dB(A),54.3dB(A)
广州,69.2dB(A),56.2dB(A)
南宁,68dB(A),56.1dB(A)
海口,68dB(A),59.6dB(A)
重庆,66dB(A),52.2dB(A)
成都,68.3dB(A),57dB(A)
贵阳,69.8dB(A),55.3dB(A)
昆明,64.9dB(A),52dB(A)
拉萨,68.5dB(A),60.5dB(A)
西安,68.7dB(A),56.2dB(A)
兰州,66.7dB(A),52.5dB(A)
西宁,68.5dB(A),53.1dB(A)
银川,66.7dB(A),52.4dB(A)
乌鲁木齐,64.9dB(A),54.5dB(A)
