地区,2013耕地面积,2014耕地面积,2015耕地面积,2016耕地面积,2017耕地面积,2019耕地面积
全国,135163.4千公顷,135057.3千公顷,134998.7千公顷,134920.9千公顷,134881.2千公顷,127861.9千公顷
北京,221.2千公顷,219.9千公顷,219.3千公顷,216.3千公顷,213.7千公顷,93.5千公顷
天津,438.3千公顷,437.2千公顷,436.9千公顷,436.9千公顷,436.8千公顷,329.6千公顷
河北,6551.2千公顷,6535.5千公顷,6525.5千公顷,6520.5千公顷,6518.9千公顷,6034.2千公顷
山西,4062.0千公顷,4056.8千公顷,4058.8千公顷,4056.8千公顷,4056.3千公顷,3869.5千公顷
内蒙古,9199.0千公顷,9230.7千公顷,9238.0千公顷,9257.9千公顷,9270.8千公顷,11496.5千公顷
辽宁,4989.7千公顷,4981.7千公顷,4977.4千公顷,4974.5千公顷,4971.6千公顷,5182.1千公顷
吉林,7006.5千公顷,7001.4千公顷,6999.2千公顷,6993.4千公顷,6986.7千公顷,7498.5千公顷
黑龙江,15864.1千公顷,15860.0千公顷,15854.1千公顷,15850.1千公顷,15845.7千公顷,17195.4千公顷
上海,188.0千公顷,188.2千公顷,189.8千公顷,190.7千公顷,191.6千公顷,162.0千公顷
江苏,4581.6千公顷,4574.2千公顷,4574.9千公顷,4571.1千公顷,4573.3千公顷,4089.7千公顷
浙江,1978.5千公顷,1976.6千公顷,1978.6千公顷,1974.7千公顷,1977.0千公顷,1290.5千公顷
安徽,5883.1千公顷,5872.1千公顷,5872.9千公顷,5867.5千公顷,5866.8千公顷,5546.9千公顷
福建,1338.7千公顷,1336.4千公顷,1336.3千公顷,1336.3千公顷,1336.9千公顷,932.0千公顷
江西,3087.3千公顷,3085.4千公顷,3082.7千公顷,3082.2千公顷,3086.0千公顷,2721.6千公顷
山东,7633.5千公顷,7620.6千公顷,7611.0千公顷,7606.9千公顷,7589.8千公顷,6461.9千公顷
河南,8140.7千公顷,8117.9千公顷,8105.9千公顷,8111.0千公顷,8112.3千公顷,7514.1千公顷
湖北,5281.8千公顷,5261.7千公顷,5255.0千公顷,5245.3千公顷,5235.9千公顷,4768.6千公顷
湖南,4149.5千公顷,4149.0千公顷,4150.2千公顷,4148.7千公顷,4151.0千公顷,3629.2千公顷
广东,2621.8千公顷,2623.3千公顷,2615.9千公顷,2607.6千公顷,2599.7千公顷,1901.9千公顷
广西,4419.4千公顷,4410.3千公顷,4402.3千公顷,4395.1千公顷,4387.5千公顷,3307.6千公顷
海南,726.7千公顷,725.7千公顷,725.9千公顷,722.7千公顷,722.4千公顷,486.9千公顷
重庆,2455.8千公顷,2454.6千公顷,2430.5千公顷,2382.5千公顷,2369.8千公顷,1870.2千公顷
四川,6734.8千公顷,6734.2千公顷,6731.4千公顷,6732.9千公顷,6725.2千公顷,5227.2千公顷
贵州,4548.1千公顷,4540.1千公顷,4537.4千公顷,4530.2千公顷,4518.8千公顷,3472.6千公顷
云南,6219.8千公顷,6207.4千公顷,6208.5千公顷,6207.8千公顷,6213.3千公顷,5395.5千公顷
西藏,441.8千公顷,442.5千公顷,443.0千公顷,444.6千公顷,444.0千公顷,442.1千公顷
陕西,3992.0千公顷,3994.8千公顷,3995.2千公顷,3989.5千公顷,3982.9千公顷,2934.3千公顷
甘肃,5378.8千公顷,5377.9千公顷,5374.9千公顷,5372.4千公顷,5377.0千公顷,5209.5千公顷
青海,588.2千公顷,585.7千公顷,588.4千公顷,589.4千公顷,590.1千公顷,564.2千公顷
宁夏,1281.1千公顷,1285.9千公顷,1290.1千公顷,1288.8千公顷,1289.9千公顷,1195.4千公顷
新疆,5160.2千公顷,5169.5千公顷,5188.9千公顷,5216.5千公顷,5239.6千公顷,7038.6千公顷
