地区,耕地,园地,林地,草地,湿地,城镇村及工矿用地,交通运输用地,水域及水利设施用地
全国,127861.9千公顷,20171.6千公顷,284125.9千公顷,264530.1千公顷,23469.3千公顷,35306.4千公顷,9553.1千公顷,36287.9千公顷
北京,93.5千公顷,126.3千公顷,967.6千公顷,14.5千公顷,3.1千公顷,313.6千公顷,49.3千公顷,61.7千公顷
天津,329.6千公顷,36.9千公顷,148.3千公顷,15.0千公顷,32.7千公顷,332.2千公顷,45.3千公顷,237.3千公顷
河北,6034.2千公顷,1005.9千公顷,6425.3千公顷,1947.3千公顷,142.7千公顷,2102.9千公顷,407.1千公顷,571.1千公顷
山西,3869.5千公顷,640.9千公顷,6095.7千公顷,3105.1千公顷,54.4千公顷,1017.6千公顷,269.8千公顷,173.1千公顷
内蒙古,11496.5千公顷,47.2千公顷,24360.0千公顷,54171.9千公顷,3809.4千公顷,1493.3千公顷,799.4千公顷,1061.8千公顷
辽宁,5182.1千公顷,527.9千公顷,6015.7千公顷,487.2千公顷,286.4千公顷,1316.2千公顷,308.9千公顷,691.6千公顷
吉林,7498.5千公顷,76.5千公顷,8759.0千公顷,674.7千公顷,230.3千公顷,850.9千公顷,264.6千公顷,598.1千公顷
黑龙江,17195.4千公顷,62.4千公顷,21623.2千公顷,1185.7千公顷,3501.0千公顷,1164.4千公顷,544.3千公顷,1686.4千公顷
上海,162.0千公顷,15.1千公顷,81.8千公顷,13.2千公顷,72.7千公顷,289.5千公顷,34.1千公顷,191.3千公顷
江苏,4089.7千公顷,230.3千公顷,787.0千公顷,93.6千公顷,416.4千公顷,2097.3千公顷,365.1千公顷,2503.4千公顷
浙江,1290.5千公顷,760.3千公顷,6093.6千公顷,63.5千公顷,165.2千公顷,1146.8千公顷,246.9千公顷,702.5千公顷
安徽,5546.9千公顷,372.7千公顷,4091.5千公顷,47.9千公顷,47.7千公顷,1755.7千公顷,305.5千公顷,1728.5千公顷
福建,932.0千公顷,918.4千公顷,8811.4千公顷,74.9千公顷,188.6千公顷,704.9千公顷,217.5千公顷,373.1千公顷
江西,2721.6千公顷,572.4千公顷,10413.7千公顷,88.7千公顷,28.7千公顷,1103.6千公顷,349.8千公顷,1289.6千公顷
山东,6461.9千公顷,1262.4千公顷,2605.3千公顷,235.2千公顷,246.2千公顷,2806.5千公顷,446.4千公顷,1325.4千公顷
河南,7514.1千公顷,427.8千公顷,4396.3千公顷,257.0千公顷,39.1千公顷,2449.5千公顷,381.7千公顷,850.7千公顷
湖北,4768.6千公顷,487.0千公顷,9280.1千公顷,89.4千公顷,61.2千公顷,1411.5千公顷,329.9千公顷,1983.7千公顷
湖南,3629.2千公顷,886.1千公顷,12717.1千公顷,140.5千公顷,236.1千公顷,1630.3千公顷,364.8千公顷,1258.5千公顷
广东,1901.9千公顷,1324.8千公顷,10792.5千公顷,238.5千公顷,178.9千公顷,1763.8千公顷,327.4千公顷,1342.3千公顷
广西,3307.6千公顷,1670.2千公顷,16095.2千公顷,276.2千公顷,127.2千公顷,979.9千公顷,352.3千公顷,749.0千公顷
海南,486.9千公顷,1217.7千公顷,1174.1千公顷,17.1千公顷,121.2千公顷,243.1千公顷,58.9千公顷,183.1千公顷
重庆,1870.2千公顷,280.6千公顷,4689.0千公顷,23.6千公顷,15.0千公顷,637.7千公顷,155.8千公顷,271.7千公顷
四川,5227.2千公顷,1203.2千公顷,25419.6千公顷,9687.8千公顷,1230.8千公顷,1841.2千公顷,473.9千公顷,1053.2千公顷
贵州,3472.6千公顷,568.1千公顷,11210.1千公顷,188.3千公顷,7.1千公顷,772.5千公顷,331.0千公顷,255.4千公顷
云南,5395.5千公顷,2572.2千公顷,24969.0千公顷,1322.9千公顷,39.8千公顷,1073.7千公顷,526.4千公顷,608.5千公顷
西藏,442.1千公顷,11.9千公顷,17896.1千公顷,80065.0千公顷,4302.5千公顷,162.3千公顷,166.6千公顷,5930.4千公顷
陕西,2934.3千公顷,1214.0千公顷,12476.0千公顷,2210.3千公顷,48.7千公顷,917.8千公顷,302.6千公顷,273.3千公顷
甘肃,5209.5千公顷,428.6千公顷,7962.8千公顷,14307.1千公顷,1185.6千公顷,852.6千公顷,331.2千公顷,409.4千公顷
青海,564.2千公顷,62.3千公顷,4603.6千公顷,39470.8千公顷,5101.2千公顷,367.8千公顷,140.5千公顷,2446.6千公顷
宁夏,1195.4千公顷,91.5千公顷,952.6千公顷,2031.0千公顷,24.9千公顷,297.1千公顷,94.0千公顷,168.7千公顷
新疆,7038.6千公顷,1070.1千公顷,12212.5千公顷,51986.0千公顷,1524.5千公顷,1410.0千公顷,561.9千公顷,5308.5千公顷
