年份,造林总面积,人工造林面积,飞播造林面积,封山育林面积,退化林修复面积,人工更新面积
2000,5105138公顷,4345008公顷,760130公顷,,,
2005,5403791公顷,3231556公顷,416386公顷,1755849公顷,,
2006,3838794公顷,2446122公顷,271803公顷,1120869公顷,,
2007,3907711公顷,2738521公顷,118671公顷,1050519公顷,,
2008,5354387公顷,3684913公顷,154065公顷,1515409公顷,,
2009,6262330公顷,4156293公顷,226337公顷,1879700公顷,,
2010,5909919公顷,3872762公顷,195948公顷,1841209公顷,,
2011,5996613公顷,4065693公顷,196931公顷,1733989公顷,,
2012,5595791公顷,3820704公顷,136409公顷,1638678公顷,,
2013,6100057公顷,4209686公顷,154400公顷,1735971公顷,,
2014,5549612公顷,4052912公顷,108055公顷,1388645公顷,,
2015,7683695公顷,4362589公顷,128390公顷,2152877公顷,739334公顷,300505公顷
2016,7203509公顷,3823656公顷,162322公顷,1953638公顷,991088公顷,272805公顷
2017,7680711公顷,4295890公顷,141220公顷,1657169公顷,1280993公顷,305439公顷
2018,7299473公顷,3677952公顷,135429公顷,1785067公顷,1329166公顷,371859公顷
2019,7390294公顷,3458315公顷,125565公顷,1898314公顷,1537877公顷,370223公顷
2020,6933696公顷,3000060公顷,151496公顷,1774608公顷,1619648公顷,387884公顷
2021,3754373公顷,1085095公顷,172239公顷,1235098公顷,1011349公顷,250593公顷
