地区,国家级自然保护区个数,国家级自然保护区面积
全国,474个,9821.3万公顷
北京,2个,2.9万公顷
天津,3个,3.1万公顷
河北,14个,27.1万公顷
山西,8个,14.1万公顷
内蒙古,29个,434.9万公顷
辽宁,19个,90.5万公顷
吉林,24个,122.8万公顷
黑龙江,49个,389.4万公顷
上海,2个,6.5万公顷
江苏,3个,30.2万公顷
浙江,11个,14.8万公顷
安徽,8个,14.4万公顷
福建,17个,22.7万公顷
江西,16个,26.1万公顷
山东,7个,22.1万公顷
河南,13个,44.2万公顷
湖北,22个,54.6万公顷
湖南,23个,60.6万公顷
广东,15个,33.9万公顷
广西,23个,37.2万公顷
海南,10个,16.3万公顷
重庆,7个,25.5万公顷
四川,32个,304.9万公顷
贵州,11个,29.0万公顷
云南,21个,152.2万公顷
西藏,11个,3712.3万公顷
陕西,26个,62.8万公顷
甘肃,21个,671.7万公顷
青海,7个,2116.2万公顷
宁夏,9个,46.6万公顷
新疆,15个,1232.0万公顷
