地区,农作物受灾面积,农作物绝收面积,旱灾受灾面积,旱灾绝收面积,洪涝地质灾害和台风受灾面积,洪涝地质灾害和台风绝收面积,风雹灾害受灾面积,风雹灾害绝收面积,低温冷冻和雪灾受灾面积,低温冷冻和雪灾绝收面积,受灾人口,死亡人口,直接经济损失
全国,11739.2千公顷,1632.8千公顷,3426.2千公顷,464.1千公顷,5206.7千公顷,918.4千公顷,2711.9千公顷,205.7千公顷,378.6千公顷,44.4千公顷,10731.0万人次,867人,3340.2亿元,,
北京,15.0千公顷,0.5千公顷,,,3.8千公顷,0.2千公顷,11.2千公顷,0.3千公顷,0.0千公顷,0.0千公顷,10.5万人次,2人,13.0亿元,,
天津,6.4千公顷,0.5千公顷,,,2.3千公顷,0.5千公顷,0.9千公顷,0.0千公顷,3.2千公顷,0.0千公顷,4.5万人次,6人,5.4亿元,,
河北,388.9千公顷,68.9千公顷,,,211.9千公顷,51.5千公顷,156.8千公顷,15.4千公顷,20.2千公顷,2.0千公顷,328.2万人次,8人,102.4亿元,,
山西,1163.4千公顷,162.5千公顷,626.5千公顷,98.1千公顷,331.3千公顷,50.4千公顷,151.0千公顷,10.8千公顷,54.5千公顷,3.2千公顷,768.5万人次,60人,231.0亿元,,
内蒙古,1283.6千公顷,83.1千公顷,335.5千公顷,9.7千公顷,520.5千公顷,54.3千公顷,422.3千公顷,18.9千公顷,2.9千公顷,0.2千公顷,232.1万人次,23人,76.4亿元,,
辽宁,249.1千公顷,11.2千公顷,8.1千公顷,0.2千公顷,53.4千公顷,4.6千公顷,177.9千公顷,5.8千公顷,9.6千公顷,0.6千公顷,172.3万人次,3人,84.6亿元,,
吉林,245.2千公顷,11.5千公顷,44.1千公顷,6.1千公顷,135.0千公顷,4.4千公顷,65.8千公顷,1.1千公顷,0.3千公顷,0.1千公顷,75.7万人次,0人,13.8亿元,,
黑龙江,831.5千公顷,176.8千公顷,320.7千公顷,27.1千公顷,408.1千公顷,145.0千公顷,102.0千公顷,4.6千公顷,0.8千公顷,0.0千公顷,101.4万人次,2人,57.2亿元,,
上海,24.9千公顷,2.5千公顷,,,24.4千公顷,2.4千公顷,0.0千公顷,0.0千公顷,0.5千公顷,0.1千公顷,73.4万人次,0人,9.2亿元,,
江苏,88.3千公顷,2.3千公顷,,,64.4千公顷,1.3千公顷,23.8千公顷,1.0千公顷,0.0千公顷,0.0千公顷,65.0万人次,32人,8.9亿元,,
浙江,149.3千公顷,12.1千公顷,16.4千公顷,0.9千公顷,127.3千公顷,11.2千公顷,0.0千公顷,0.0千公顷,5.7千公顷,0.0千公顷,322.9万人次,14人,124.6亿元,,
