地区,发生地质灾害数量,滑坡次数,崩塌次数,泥石流次数,地面塌陷次数,人员伤亡数量,死亡人数,直接经济损失
全国,104处,5处,99处,,,,,429万元
北京,15处,,14处,1处,,,,30万元
天津,23处,8处,11处,4处,,,,1081万元
河北,442处,126处,270处,3处,29处,,,28521万元
山西,1处,,,1处,,,,10万元
内蒙古,,,,,,,,
辽宁,,,,,,,,
吉林,11处,,11处,,,,,108万元
黑龙江,,,,,,,,
上海,,,,,,,,
江苏,8处,8处,,,,,,22万元
浙江,246处,97处,72处,76处,1处,6人,5人,4669万元
安徽,80处,30处,48处,2处,,,,381万元
福建,35处,8处,24处,1处,2处,4人,3人,134万元
江西,167处,127处,32处,2处,6处,,,632万元
山东,1处,,,,1处,,,1万元
河南,769处,228处,452处,14处,74处,13人,12人,32557万元
湖北,138处,102处,30处,3处,3处,4人,4人,2251万元
湖南,536处,422处,79处,10处,22处,5人,4人,11120万元
广东,3处,1处,1处,,1处,,,12万元
广西,452处,92处,250处,,109处,7人,3人,2056万元
海南,5处,1处,4处,,,,,61万元
重庆,289处,182处,87处,11处,9处,9人,9人,8004万元
四川,403处,239处,76处,85处,3处,13人,7人,42064万元
贵州,28处,23处,5处,,,7人,4人,4590万元
云南,170处,89处,15处,46处,19处,19人,7人,86863万元
西藏,94处,11处,15处,67处,1处,18人,4人,1638万元
陕西,507处,403处,65处,37处,2处,22人,16人,79934万元
甘肃,162处,109处,51处,1处,,,,11215万元
青海,60处,23处,31处,6处,,2人,2人,1492万元
宁夏,4处,1处,2处,,1处,,,32万元
新疆,8处,,2处,4处,2处,,,118万元
