年份,地震次数,5.0-5.9级地震次数,6.0-6.9级地震次数,7.0级以上地震次数,人员伤亡数量,死亡人数,直接经济损失
2000,10次,7次,2次,,2987人,10人,14.68亿元
2005,13次,9次,2次,,882人,15人,26.28亿元
2006,10次,9次,,,229人,25人,8.00亿元
2007,3次,1次,1次,,422人,3人,20.19亿元
2008,17次,6次,4次,2次,446293人,69283人,8594.96亿元
2009,8次,5次,2次,,407人,3人,27.38亿元
2010,12次,4次,,1次,13795人,2705人,236.11亿元
2011,18次,11次,2次,1次,540人,32人,602.09亿元
2012,12次,8次,3次,,1279人,86人,82.88亿元
2013,14次,10次,3次,1次,15965人,294人,995.36亿元
2014,20次,14次,4次,1次,3666人,623人,332.61亿元
2015,14次,13次,1次,,1192人,30人,179.19亿元
2016,16次,8次,4次,,104人,1人,66.87亿元
2017,12次,4次,3次,1次,676人,38人,147.66亿元
2018,11次,7次,,,85人,,30.27亿元
2019,16次,9次,2次,,428人,17人,91.00亿元
2020,5次,3次,2次,,35人,5人,20.54亿元
2021,19次,16次,2次,1次,,9人,106.52亿元
