年份,工业污染治理完成投资,治理废水投资,治理废气投资,治理固体废物投资,治理噪声投资,治理其他投资
2000,2347895万元,1095897万元,909242万元,114673万元,13692万元,214390万元
2005,4581909万元,1337147万元,2129571万元,274181万元,30613万元,810396万元
2006,4839485万元,1511165万元,2332697万元,182631万元,30145万元,782848万元
2007,5523909万元,1960722万元,2752642万元,182532万元,18279万元,606838万元
2008,5426404万元,1945977万元,2656987万元,196851万元,28383万元,598206万元
2009,4426207万元,1494606万元,2324616万元,218536万元,14100万元,374349万元
2010,3969768万元,1295519万元,1881883万元,142692万元,14193万元,620021万元
2011,4443610万元,1577471万元,2116811万元,313875万元,21623万元,413831万元
2012,5004573万元,1403448万元,2577139万元,247499万元,11627万元,764860万元
2013,8496647万元,1248822万元,6409109万元,140480万元,17628万元,680608万元
2014,9976511万元,1152473万元,7893935万元,150504万元,10950万元,768649万元
2015,7736822万元,1184138万元,5218073万元,161468万元,27892万元,1145251万元
2016,8190041万元,1082395万元,5614702万元,466733万元,6236万元,1019974万元
2017,6815345万元,763760万元,4462628万元,127419万元,12862万元,1448676万元
2018,6212736万元,640082万元,3931104万元,184249万元,15181万元,1442119万元
2019,6151513万元,699004万元,3676995万元,170729万元,14168万元,1590616万元
2020,4542586万元,573852万元,2423725万元,173064万元,7405万元,1364540万元
2021,3352364万元,361241万元,2220982万元,36611万元,5437万元,728094万元
