地区,本年完成林业草原投资总计,林业草原国家投资,林业草原生态修复治理投资,林业草原林产品加工制造投资,林业草原林业草原服务保障和公共管理投资
全国,41699834万元,23438010万元,21350566万元,7917550万元,12431718万元
北京,1484604万元,1407997万元,806310万元,,678294万元
天津,87449万元,31238万元,84616万元,,2833万元
河北,1164168万元,995675万元,956167万元,336万元,207665万元
山西,940896万元,875263万元,753734万元,74万元,187088万元
内蒙古,1572683万元,1527112万元,774140万元,3690万元,794853万元
辽宁,360895万元,355470万元,206433万元,564万元,153898万元
吉林,796025万元,759502万元,526714万元,1667万元,267644万元
黑龙江,1504707万元,1475212万元,554054万元,5776万元,944877万元
上海,167246万元,166853万元,128883万元,,38363万元
江苏,702072万元,466436万元,553368万元,97411万元,51293万元
浙江,671344万元,483475万元,412232万元,1532万元,257580万元
安徽,2051314万元,458484万元,1690056万元,165030万元,196228万元
福建,611063万元,384760万元,400419万元,74994万元,135650万元
江西,1226970万元,805618万元,796698万元,10142万元,420130万元
山东,2085012万元,755886万元,777747万元,825182万元,482083万元
河南,1073284万元,632465万元,882238万元,251万元,190795万元
湖北,1965234万元,663872万元,684134万元,1022749万元,258351万元
湖南,2477345万元,1027639万元,1354546万元,604230万元,518569万元
广东,1058592万元,972533万元,361237万元,4390万元,692965万元
广西,7205329万元,617405万元,1727105万元,4112472万元,1365752万元
海南,159730万元,141998万元,55727万元,449万元,103554万元
重庆,859134万元,603101万元,452077万元,110296万元,296761万元
四川,2968735万元,1452961万元,1113799万元,820850万元,1034086万元
贵州,2010248万元,946562万元,1493490万元,1361万元,515397万元
云南,1216787万元,1121543万元,764035万元,17247万元,435505万元
西藏,384126万元,384126万元,373906万元,,10220万元
陕西,973695万元,882883万元,610756万元,21404万元,341535万元
甘肃,1322942万元,914983万元,871466万元,440万元,451036万元
青海,471987万元,469150万元,197099万元,,274888万元
宁夏,319391万元,247672万元,250210万元,,69181万元
新疆,888883万元,777925万元,493594万元,13478万元,381811万元
局直属单位,917944万元,632211万元,243576万元,1535万元,672833万元
