矿产名称,2020年产量,2021年产量
煤炭,1622.88亿吨,2078.85亿吨
石油,36.19亿吨,36.89亿吨
天然气,62665.78亿立方米,63392.67亿立方米
铁矿矿石,108.78亿吨,161.24亿吨
锰矿矿石,21295.69万吨,28168.78万吨
铬铁矿矿石,276.97万吨,308.63万吨
钒矿V2O5,951.20万吨,786.74万吨
原生钛(磁)铁矿TiO2,19432.10万吨,21277.48万吨
铜矿金属,2701.30万吨,3494.79万吨
铅矿金属,1233.10万吨,2040.81万吨
锌矿金属,3094.83万吨,4422.90万吨
铝土矿矿石,57650.24万吨,71113.74万吨
镍矿金属,399.64万吨,422.04万吨
钨矿WO3,222.49万吨,295.16万吨
锡矿金属,72.25万吨,113.07万吨
钼矿金属,373.61万吨,584.89万吨
锑矿金属,35.17万吨,64.07万吨
金矿金属,1927.37吨,2964.37吨
银矿金属,50672.26吨,71783.66吨
菱镁矿矿石,49475.87万吨,57991.13万吨
普通萤石矿物,4857.55万吨,6725.13万吨
硫铁矿矿石,69470.86万吨,131870.73万吨
磷矿矿石,19.13亿吨,37.55亿吨
钾盐KCl,28059.54万吨,28424.65万吨
盐矿NaCl,207.11亿吨,206.28亿吨
芒硝Na2SO4,17.73亿吨,377.96亿吨
重晶石矿石,3689.12万吨,9154.87万吨
高岭土矿石,57158.21万吨,75239.66万吨
晶质石墨矿物,5231.85万吨,7826.33万吨
滑石矿石,5581.06万吨,7175.29万吨
