城市名称,1月温度,2月温度,3月温度,4月温度,5月温度,6月温度,7月温度,8月温度,9月温度,10月温度,11月温度,12月温度,年平均温度
北京,-3.6摄氏度,2.8摄氏度,9.3摄氏度,15.2摄氏度,20.6摄氏度,25.7摄氏度,26.7摄氏度,25.7摄氏度,21.9摄氏度,12.8摄氏度,6.0摄氏度,0.5摄氏度,13.6摄氏度
天津,-3.5摄氏度,3.2摄氏度,9.2摄氏度,14.7摄氏度,20.4摄氏度,25.3摄氏度,27.0摄氏度,25.5摄氏度,22.3摄氏度,12.8摄氏度,6.1摄氏度,0.7摄氏度,13.6摄氏度
石家庄,-0.3摄氏度,6.6摄氏度,10.1摄氏度,15.9摄氏度,22.0摄氏度,27.0摄氏度,27.5摄氏度,26.0摄氏度,22.4摄氏度,13.9摄氏度,8.8摄氏度,3.6摄氏度,15.3摄氏度
太原,-3.4摄氏度,2.9摄氏度,8.1摄氏度,12.4摄氏度,19.0摄氏度,23.3摄氏度,24.8摄氏度,23.2摄氏度,19.2摄氏度,10.2摄氏度,3.3摄氏度,-2.3摄氏度,11.7摄氏度
呼和浩特,-10.8摄氏度,-2.5摄氏度,4.1摄氏度,8.8摄氏度,15.3摄氏度,21.0摄氏度,23.2摄氏度,19.3摄氏度,17.4摄氏度,7.0摄氏度,-2.0摄氏度,-8.8摄氏度,7.7摄氏度
沈阳,-11.1摄氏度,-4.6摄氏度,4.4摄氏度,11.5摄氏度,16.6摄氏度,21.6摄氏度,26.3摄氏度,22.8摄氏度,18.9摄氏度,9.7摄氏度,0.3摄氏度,-6.0摄氏度,9.2摄氏度
大连,-3.1摄氏度,1.5摄氏度,5.9摄氏度,11.6摄氏度,16.4摄氏度,20.6摄氏度,24.4摄氏度,24.7摄氏度,21.9摄氏度,14.2摄氏度,7.5摄氏度,1.8摄氏度,12.3摄氏度
长春,-14.7摄氏度,-8.7摄氏度,2.5摄氏度,9.7摄氏度,16.5摄氏度,20.0摄氏度,25.9摄氏度,21.5摄氏度,17.2摄氏度,8.4摄氏度,-1.9摄氏度,-9.6摄氏度,7.2摄氏度
哈尔滨,-19.1摄氏度,-13.3摄氏度,-0.3摄氏度,8.5摄氏度,15.8摄氏度,20.6摄氏度,26.0摄氏度,21.0摄氏度,16.3摄氏度,7.6摄氏度,-3.6摄氏度,-13.0摄氏度,5.5摄氏度
上海,5.5摄氏度,9.8摄氏度,12.0摄氏度,16.5摄氏度,22.1摄氏度,25.2摄氏度,29.0摄氏度,28.4摄氏度,26.7摄氏度,21.0摄氏度,13.3摄氏度,7.4摄氏度,18.1摄氏度
南京,4.5摄氏度,9.8摄氏度,11.9摄氏度,16.2摄氏度,22.1摄氏度,26.0摄氏度,28.1摄氏度,27.5摄氏度,26.3摄氏度,19.2摄氏度,12.6摄氏度,6.7摄氏度,17.6摄氏度
杭州,6.5摄氏度,10.9摄氏度,13.0摄氏度,17.6摄氏度,23.4摄氏度,26.0摄氏度,29.3摄氏度,28.6摄氏度,27.1摄氏度,20.4摄氏度,13.8摄氏度,8.5摄氏度,18.8摄氏度
合肥,3.3摄氏度,9.2摄氏度,11.3摄氏度,15.6摄氏度,21.6摄氏度,26.0摄氏度,27.5摄氏度,26.8摄氏度,25.4摄氏度,17.1摄氏度,11.1摄氏度,5.2摄氏度,16.7摄氏度
福州,11.9摄氏度,16.2摄氏度,17.1摄氏度,20.0摄氏度,25.1摄氏度,27.3摄氏度,30.7摄氏度,28.6摄氏度,28.9摄氏度,23.6摄氏度,17.7摄氏度,14.0摄氏度,21.8摄氏度
南昌,7.3摄氏度,12.7摄氏度,14.0摄氏度,17.5摄氏度,23.2摄氏度,27.8摄氏度,30.5摄氏度,29.1摄氏度,29.2摄氏度,20.5摄氏度,14.6摄氏度,9.6摄氏度,19.7摄氏度
济南,0.8摄氏度,7.5摄氏度,10.7摄氏度,14.9摄氏度,21.4摄氏度,27.3摄氏度,27.5摄氏度,25.8摄氏度,22.6摄氏度,14.8摄氏度,9.3摄氏度,3.9摄氏度,15.5摄氏度
青岛,0.6摄氏度,4.9摄氏度,8.3摄氏度,12.4摄氏度,16.9摄氏度,21.8摄氏度,25.3摄氏度,25.7摄氏度,23.3摄氏度,16.7摄氏度,11.2摄氏度,4.7摄氏度,14.3摄氏度
郑州,2.9摄氏度,8.7摄氏度,11.9摄氏度,16.5摄氏度,23.6摄氏度,28.9摄氏度,28.6摄氏度,26.7摄氏度,23.1摄氏度,15.2摄氏度,11.3摄氏度,5.7摄氏度,16.9摄氏度
武汉,4.5摄氏度,10.5摄氏度,12.5摄氏度,16.7摄氏度,22.0摄氏度,27.4摄氏度,29.2摄氏度,28.0摄氏度,27.0摄氏度,17.8摄氏度,12.3摄氏度,6.5摄氏度,17.9摄氏度
长沙,6.3摄氏度,10.7摄氏度,12.8摄氏度,15.5摄氏度,21.6摄氏度,26.8摄氏度,29.5摄氏度,27.9摄氏度,28.1摄氏度,18.0摄氏度,13.3摄氏度,8.2摄氏度,18.2摄氏度
广州,13.1摄氏度,17.4摄氏度,20.9摄氏度,23.4摄氏度,28.3摄氏度,28.2摄氏度,29.6摄氏度,28.3摄氏度,28.7摄氏度,23.4摄氏度,19.0摄氏度,14.8摄氏度,22.9摄氏度
南宁,13.5摄氏度,18.4摄氏度,19.7摄氏度,21.9摄氏度,27.0摄氏度,28.1摄氏度,29.3摄氏度,28.7摄氏度,28.0摄氏度,22.4摄氏度,18.7摄氏度,15.4摄氏度,22.6摄氏度
桂林,10.2摄氏度,15.4摄氏度,15.8摄氏度,18.3摄氏度,23.9摄氏度,28.0摄氏度,30.2摄氏度,30.1摄氏度,29.9摄氏度,20.7摄氏度,15.8摄氏度,12.4摄氏度,20.9摄氏度
海口,16.1摄氏度,20.3摄氏度,24.2摄氏度,26.5摄氏度,30.1摄氏度,29.9摄氏度,29.4摄氏度,28.8摄氏度,27.9摄氏度,25.4摄氏度,23.1摄氏度,19.4摄氏度,25.1摄氏度
重庆(沙坪坝),7.9摄氏度,13.9摄氏度,16.1摄氏度,18.4摄氏度,22.8摄氏度,26.5摄氏度,29.4摄氏度,28.6摄氏度,27.0摄氏度,19.5摄氏度,12.6摄氏度,10.7摄氏度,19.5摄氏度
成都(温江),5.1摄氏度,10.9摄氏度,13.6摄氏度,16.3摄氏度,21.2摄氏度,23.9摄氏度,26.5摄氏度,25.1摄氏度,23.3摄氏度,16.7摄氏度,10.5摄氏度,7.7摄氏度,16.7摄氏度
贵阳,4.0摄氏度,9.9摄氏度,12.7摄氏度,14.0摄氏度,19.1摄氏度,22.2摄氏度,24.1摄氏度,24.2摄氏度,22.8摄氏度,14.9摄氏度,9.9摄氏度,6.8摄氏度,15.4摄氏度
