年份,国内生产总值,第一产业,第二产业,第三产业,农林牧渔业,工业,建筑业,批发和零售业,交通运输仓储和邮政业,住宿和餐饮业,金融业,房地产业,其他
1978,100.00%,27.69%,47.71%,24.60%,27.93%,44.08%,3.77%,6.59%,4.95%,1.21%,2.08%,2.17%,7.22%
1979,100.00%,30.70%,46.95%,22.34%,30.98%,43.57%,3.53%,4.90%,4.72%,1.07%,1.85%,2.10%,7.28%
1980,100.00%,29.63%,48.06%,22.31%,29.90%,43.92%,4.28%,4.23%,4.65%,1.03%,1.87%,2.10%,8.03%
1981,100.00%,31.32%,45.97%,22.71%,31.59%,41.89%,4.21%,4.68%,4.47%,1.10%,1.86%,2.02%,8.17%
1982,100.00%,32.79%,44.62%,22.59%,33.08%,40.63%,4.12%,3.19%,4.60%,1.16%,2.43%,2.06%,8.74%
1983,100.00%,32.57%,44.23%,23.20%,32.86%,39.84%,4.51%,3.30%,4.57%,1.20%,2.81%,2.02%,8.89%
1984,100.00%,31.54%,42.93%,25.53%,31.82%,38.69%,4.37%,4.99%,4.65%,1.33%,3.17%,2.23%,8.76%
1985,100.00%,27.93%,42.71%,29.35%,28.18%,38.23%,4.61%,8.82%,4.64%,1.52%,3.23%,2.36%,8.42%
1986,100.00%,26.64%,43.51%,29.85%,26.88%,38.56%,5.08%,8.22%,4.81%,1.57%,3.87%,2.87%,8.15%
1987,100.00%,26.32%,43.32%,30.36%,26.55%,37.96%,5.48%,8.70%,4.67%,1.54%,4.16%,3.14%,7.80%
1988,100.00%,25.24%,43.52%,31.24%,25.46%,38.30%,5.35%,9.77%,4.52%,1.59%,4.34%,3.11%,7.55%
1989,100.00%,24.61%,42.50%,32.89%,24.83%,37.98%,4.63%,8.94%,4.73%,1.61%,6.29%,3.29%,7.69%
1990,100.00%,26.58%,41.03%,32.38%,26.82%,36.58%,4.57%,6.72%,6.18%,1.60%,6.06%,3.50%,7.96%
1991,100.00%,24.03%,41.49%,34.48%,24.28%,36.98%,4.62%,8.34%,6.46%,2.01%,5.43%,3.46%,8.42%
1992,100.00%,21.33%,43.12%,35.56%,21.57%,38.02%,5.21%,8.84%,6.21%,2.15%,5.45%,4.04%,8.49%
1993,100.00%,19.31%,46.18%,34.52%,19.52%,39.94%,6.36%,7.90%,6.09%,2.00%,5.34%,3.86%,8.99%
1994,100.00%,19.47%,46.16%,34.36%,19.68%,40.19%,6.10%,7.76%,5.73%,2.07%,5.26%,3.92%,9.29%
1995,100.00%,19.60%,46.75%,33.65%,19.78%,40.79%,6.09%,7.79%,5.29%,1.96%,5.24%,3.83%,9.23%
1996,100.00%,19.33%,47.10%,33.57%,19.52%,41.12%,6.12%,7.80%,5.27%,1.86%,5.15%,3.64%,9.53%
1997,100.00%,17.90%,47.10%,35.01%,18.12%,41.43%,5.81%,7.94%,5.20%,1.96%,5.24%,3.66%,10.65%
1998,100.00%,17.16%,45.80%,37.04%,17.39%,40.07%,5.86%,8.12%,5.47%,2.10%,5.07%,4.02%,11.91%
1999,100.00%,16.06%,45.36%,38.58%,16.31%,39.77%,5.72%,8.27%,5.72%,2.14%,4.96%,4.06%,13.06%
2000,100.00%,14.68%,45.54%,39.79%,14.90%,40.15%,5.52%,8.14%,6.14%,2.14%,4.83%,4.13%,14.05%
2001,100.00%,13.98%,44.79%,41.22%,14.23%,39.56%,5.36%,8.23%,6.20%,2.16%,4.69%,4.24%,15.32%
2002,100.00%,13.30%,44.45%,42.25%,13.59%,39.25%,5.33%,8.21%,6.16%,2.24%,4.56%,4.38%,16.28%
2003,100.00%,12.35%,45.62%,42.03%,12.65%,40.29%,5.47%,8.13%,5.76%,2.27%,4.40%,4.48%,16.56%
2004,100.00%,12.92%,45.90%,41.18%,13.23%,40.64%,5.39%,7.70%,5.75%,2.26%,4.08%,4.42%,16.53%
2005,100.00%,11.64%,47.02%,41.34%,11.97%,41.62%,5.55%,7.46%,5.70%,2.24%,4.00%,4.53%,16.95%
2006,100.00%,10.63%,47.56%,41.82%,10.95%,42.03%,5.67%,7.53%,5.55%,2.18%,4.54%,4.70%,16.82%
2007,100.00%,10.25%,46.88%,42.87%,10.55%,41.35%,5.68%,7.75%,5.41%,2.05%,5.63%,5.08%,16.50%
2008,100.00%,10.17%,46.97%,42.86%,10.47%,41.26%,5.89%,8.20%,5.13%,2.07%,5.75%,4.57%,16.65%
2009,100.00%,9.64%,45.96%,44.41%,9.94%,39.62%,6.51%,8.32%,4.74%,2.00%,6.27%,5.38%,17.22%
2010,100.00%,9.33%,46.50%,44.18%,9.61%,40.07%,6.61%,8.71%,4.56%,1.87%,6.24%,5.66%,16.66%
2011,100.00%,9.18%,46.53%,44.29%,9.45%,39.99%,6.75%,8.96%,4.48%,1.76%,6.30%,5.69%,16.62%
2012,100.00%,9.11%,45.42%,45.46%,9.39%,38.79%,6.85%,9.25%,4.41%,1.77%,6.55%,5.71%,17.28%
2013,100.00%,8.94%,44.18%,46.88%,9.22%,37.50%,6.90%,9.49%,4.39%,1.72%,6.96%,5.96%,17.85%
2014,100.00%,8.64%,43.09%,48.27%,8.93%,36.24%,7.05%,9.82%,4.43%,1.74%,7.28%,5.92%,18.59%
2015,100.00%,8.39%,40.84%,50.77%,8.69%,34.11%,6.93%,9.83%,4.43%,1.79%,8.17%,6.18%,19.87%
2016,100.00%,8.06%,39.58%,52.36%,8.37%,32.88%,6.90%,9.88%,4.43%,1.82%,8.03%,6.69%,21.00%
2017,100.00%,7.46%,39.85%,52.68%,7.77%,33.07%,6.96%,9.75%,4.46%,1.81%,7.79%,6.86%,21.52%
2018,100.00%,7.04%,39.69%,53.27%,7.35%,32.75%,7.12%,9.67%,4.39%,1.80%,7.68%,7.03%,22.21%
2019,100.00%,7.14%,38.59%,54.27%,7.46%,31.61%,7.16%,9.70%,4.30%,1.81%,7.73%,7.14%,23.08%
2020,100.00%,7.70%,37.84%,54.46%,8.03%,30.87%,7.15%,9.48%,4.00%,1.51%,8.25%,7.24%,23.46%
2021,100.00%,7.26%,39.43%,53.31%,7.59%,32.58%,7.01%,9.66%,4.11%,1.56%,7.97%,6.78%,22.73%
