地区,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,农林牧渔业增加值,工业增加值,建筑业增加值,批发和零售业增加值,交通运输仓储和邮政业增加值,住宿和餐饮业增加值,金融业增加值,房地产业增加值,其他增加值
北京,40269.55亿元,111.34亿元,7268.60亿元,32889.61亿元,113.35亿元,5692.53亿元,1619.71亿元,3150.62亿元,942.52亿元,421.70亿元,7603.71亿元,2605.49亿元,18119.92亿元
天津,15695.05亿元,225.41亿元,5854.27亿元,9615.37亿元,233.26亿元,5224.57亿元,760.17亿元,1496.09亿元,871.10亿元,137.05亿元,2153.18亿元,1083.80亿元,3735.83亿元
河北,40391.27亿元,4030.34亿元,16364.22亿元,19996.71亿元,4286.11亿元,14097.68亿元,2303.85亿元,3219.88亿元,3104.02亿元,371.18亿元,2724.44亿元,2486.33亿元,7797.78亿元
山西,22590.16亿元,1286.87亿元,11213.13亿元,10090.16亿元,1356.88亿元,10159.26亿元,1065.37亿元,1618.51亿元,1209.41亿元,214.59亿元,1284.00亿元,1231.21亿元,4450.92亿元
内蒙古,20514.19亿元,2225.23亿元,9374.19亿元,8914.77亿元,2258.77亿元,7911.88亿元,1462.31亿元,1541.72亿元,1262.36亿元,332.86亿元,898.36亿元,860.54亿元,3985.39亿元
辽宁,27584.08亿元,2461.76亿元,10875.23亿元,14247.09亿元,2546.70亿元,9339.77亿元,1645.95亿元,2191.31亿元,1293.57亿元,308.70亿元,2103.46亿元,1641.13亿元,6513.48亿元
吉林,13235.52亿元,1553.84亿元,4768.28亿元,6913.40亿元,1604.18亿元,3839.49亿元,959.86亿元,817.81亿元,650.04亿元,189.08亿元,964.34亿元,798.20亿元,3412.52亿元
黑龙江,14879.19亿元,3462.97亿元,3975.29亿元,7440.93亿元,3557.95亿元,3658.80亿元,442.05亿元,1298.96亿元,549.82亿元,210.74亿元,1112.91亿元,761.09亿元,3286.87亿元
上海,43214.85亿元,99.97亿元,11449.32亿元,31665.56亿元,108.18亿元,10738.80亿元,798.49亿元,5554.03亿元,1843.46亿元,399.31亿元,7973.25亿元,3564.49亿元,12234.84亿元
江苏,116364.20亿元,4722.42亿元,51775.39亿元,59866.39亿元,5073.71亿元,44634.07亿元,7184.09亿元,13163.42亿元,3466.23亿元,1591.03亿元,9163.96亿元,8943.28亿元,23144.41亿元
浙江,73515.76亿元,2209.09亿元,31188.57亿元,40118.10亿元,2270.07亿元,27015.35亿元,4225.24亿元,8768.27亿元,2251.96亿元,1174.28亿元,6159.12亿元,5303.77亿元,16347.69亿元
安徽,42959.18亿元,3360.59亿元,17613.19亿元,21985.39亿元,3545.13亿元,13081.69亿元,4559.32亿元,4073.94亿元,2056.95亿元,798.52亿元,2779.51亿元,3300.15亿元,8763.97亿元
福建,48810.36亿元,2897.74亿元,22866.32亿元,23046.30亿元,3004.87亿元,17787.60亿元,5140.55亿元,5552.53亿元,1772.74亿元,696.23亿元,3623.07亿元,2813.92亿元,8418.85亿元
江西,29619.67亿元,2334.29亿元,13183.21亿元,14102.17亿元,2437.90亿元,10773.43亿元,2418.44亿元,2536.68亿元,1218.85亿元,506.35亿元,1975.03亿元,2176.55亿元,5576.44亿元
山东,83095.90亿元,6029.03亿元,33187.16亿元,43879.71亿元,6449.47亿元,27243.55亿元,6094.45亿元,11549.95亿元,4166.77亿元,1258.87亿元,4938.59亿元,4524.48亿元,16869.77亿元
