地区,地区生产总值,第一产业,第二产业,第三产业,人均地区生产总值
北京,108.5,102.7,123.2,105.7,108.5216681
天津,106.5612482,102.6664448,106.5038902,106.6851483,107.0239839
河北,106.5,106.3,104.8,107.7,106.4531489
山西,109.133,108.1315618,110.2429232,108.3093553,109.4023623
内蒙古,106.2625509,104.8129504,106.1487244,106.7104881,106.5940815
辽宁,105.7621923,105.274092,104.1524267,106.9723482,106.3637449
吉林,106.6,106.4,105.04,107.8,108.2949309
黑龙江,106.059,106.5924135,104.9674,106.3442,108.2484917
上海,108.1,93.5,109.4,107.6,107.8882419
江苏,108.6,103.1,110.1468366,107.6927451,108.3233745
浙江,108.4767409,102.2485759,110.2008207,107.5929921,107.1005976
安徽,108.2603264,107.4177334,107.8986025,108.6767929,108.0754995
福建,107.953,104.94,107.461,108.829,107.3059578
江西,108.763,107.3418725,108.2254309,109.5005774,108.7619381
山东,108.3,107.5,107.2,109.2,107.923425
河南,106.2899,106.3661,104.1354,108.0687,106.3867912
湖北,112.853,111.1319801,113.622795,112.628758,113.8016204
湖南,107.665,109.3228925,106.8972521,107.9091511,107.8177719
广东,107.9507529,107.9350968,108.658806,107.4553669,107.1192146
广西,107.5,108.2,106.7,107.7,106.8969415
海南,111.2,103.9,106,115.3,109.8398211
重庆,108.3,107.8,107.3,109,107.8371267
四川,108.2,107,107.4,108.9,108.0177214
贵州,108.0578,107.69,109.369,107.254,108.0012944
云南,107.252,108.4,106.1,107.7,107.5278114
西藏,106.692,107.3298297,99.07223087,111.8491683,106.0902831
陕西,106.45,106.3,105.6,107.3,106.3172757
甘肃,106.945,110.0510988,106.3765213,106.5251697,107.3449007
青海,105.6878,104.4529,106.4854,105.36454,105.4125283
宁夏,106.657,104.6775024,106.6,107.1,106.0831319
新疆,106.961,107.8976379,106.7,106.9,106.3407081
