年份,固定资本形成总额,存货变动
1978,1079.33亿元,304.00亿元
1979,1162.54亿元,325.80亿元
1980,1310.24亿元,277.30亿元
1981,1345.40亿元,280.90亿元
1982,1517.40亿元,201.00亿元
1983,1696.53亿元,225.70亿元
1984,2134.13亿元,368.10亿元
1985,2768.92亿元,785.50亿元
1986,3212.41亿元,702.20亿元
1987,3720.37亿元,823.30亿元
1988,4713.94亿元,1218.30亿元
1989,4399.06亿元,1993.30亿元
1990,4527.37亿元,1919.20亿元
1991,5656.28亿元,2097.70亿元
1992,8252.81亿元,2372.60亿元
1993,13232.00亿元,2208.50亿元
1994,16751.04亿元,2728.40亿元
1995,19837.92亿元,3985.10亿元
1996,22723.27亿元,4236.80亿元
1997,24714.13亿元,3603.00亿元
1998,28014.49亿元,1645.20亿元
1999,29467.04亿元,1424.20亿元
2000,32668.68亿元,998.40亿元
2001,37087.62亿元,2314.90亿元
2002,42672.14亿元,1332.90亿元
2003,52574.49亿元,1872.30亿元
2004,63974.87亿元,3750.70亿元
2005,73852.01亿元,1723.96亿元
2006,84978.62亿元,2600.02亿元
2007,102344.65亿元,6994.64亿元
2008,124700.71亿元,10240.88亿元
2009,152691.10亿元,5383.43亿元
2010,181041.12亿元,10825.75亿元
2011,214017.21亿元,13656.27亿元
2012,238320.72亿元,10639.29亿元
2013,263979.91亿元,11148.80亿元
2014,282241.64亿元,12664.41亿元
2015,289970.24亿元,7856.28亿元
2016,310144.80亿元,8053.69亿元
2017,348300.11亿元,9585.99亿元
2018,393847.90亿元,8737.25亿元
2019,422451.30亿元,4227.43亿元
2020,430624.87亿元,8925.44亿元
2021,478901.16亿元,10996.03亿元
