年份,居民实际最终消费,政府实际最终消费
1978,84.10%,15.90%
1979,83.52%,16.48%
1980,84.15%,15.85%
1981,85.50%,14.50%
1982,85.71%,14.29%
1983,84.85%,15.15%
1984,82.56%,17.44%
1985,83.50%,16.50%
1986,84.26%,15.74%
1987,84.36%,15.64%
1988,84.98%,15.02%
1989,84.45%,15.55%
1990,83.64%,16.36%
1991,82.56%,17.44%
1992,80.63%,19.37%
1993,79.92%,20.08%
1994,80.20%,19.80%
1995,81.44%,18.56%
1996,81.89%,18.11%
1997,80.86%,19.14%
1998,79.39%,20.61%
1999,78.00%,22.00%
2000,77.73%,22.27%
2001,78.31%,21.69%
2002,78.98%,21.02%
2003,79.31%,20.69%
2004,79.33%,20.67%
2005,78.88%,21.12%
2006,78.38%,21.62%
2007,78.21%,21.79%
2008,78.88%,21.12%
2009,79.26%,20.74%
2010,79.25%,20.75%
2011,79.11%,20.89%
2012,79.76%,20.24%
2013,79.75%,20.25%
2014,80.32%,19.68%
2015,81.23%,18.77%
2016,81.49%,18.51%
2017,81.34%,18.66%
2018,80.96%,19.04%
2019,81.36%,18.64%
2020,81.17%,18.83%
