年份,居民实际最终消费,政府实际最终消费
1978,1878.49亿元,355.12亿元
1979,2153.88亿元,425.11亿元
1980,2497.33亿元,470.35亿元
1981,2803.00亿元,475.20亿元
1982,3065.73亿元,511.12亿元
1983,3446.10亿元,615.10亿元
1984,3951.89亿元,834.75亿元
1985,4943.91亿元,976.85亿元
1986,5671.61亿元,1059.21亿元
1987,6448.12亿元,1195.40亿元
1988,8012.62亿元,1416.75亿元
1989,9326.69亿元,1716.99亿元
1990,10046.93亿元,1965.49亿元
1991,11249.93亿元,2375.69亿元
1992,13094.54亿元,3144.75亿元
1993,16635.42亿元,4179.51亿元
1994,22693.79亿元,5603.02亿元
1995,29506.42亿元,6722.32亿元
1996,35312.65亿元,7809.62亿元
1997,38448.73亿元,9100.01亿元
1998,40885.88亿元,10615.94亿元
1999,44202.49亿元,12464.82亿元
2000,49549.22亿元,14199.66亿元
2001,53767.56亿元,14893.57亿元
2002,58627.08亿元,15600.40亿元
2003,63240.56亿元,16494.45亿元
2004,70914.71亿元,18479.73亿元
2005,80354.38亿元,21518.14亿元
2006,90417.23亿元,24947.05亿元
2007,107730.57亿元,30006.48亿元
2008,125340.14亿元,33559.06亿元
2009,138331.41亿元,36207.22亿元
2010,159744.95亿元,41836.43亿元
2011,193613.19亿元,51134.16亿元
2012,219685.84亿元,55758.02亿元
2013,244569.91亿元,62093.76亿元
2014,271512.09亿元,66519.06亿元
2015,302129.72亿元,69790.96亿元
2016,334763.45亿元,76042.96亿元
2017,371343.43亿元,85174.80亿元
2018,409743.26亿元,96391.68亿元
2019,449645.70亿元,102986.04亿元
2020,455204.91亿元,105606.23亿元
