年份,全体居民绝对数,城镇居民绝对数,农村居民绝对数,城镇居民消费水平与农村居民消费水平的比值,全体居民指数,城镇居民消费指数,农村居民消费指数
1978,183.97亿元,393.17亿元,138.88亿元,2.831072068,104.1404618,102.8788007,104.3538615
1980,238.16亿元,489.97亿元,178.41亿元,2.746389279,109.1435827,107.338776,108.5604245
1985,440.27亿元,749.61亿元,345.97亿元,2.16668127,112.6918341,107.3811584,114.4181967
1990,831.15亿元,1404.25亿元,626.52亿元,2.241365272,102.807125,101.3821192,103.4106002
1995,2329.37亿元,4766.99亿元,1344.50亿元,3.545559375,108.286543,109.51207,105.0459345
2000,3711.52亿元,6971.57亿元,1917.03亿元,3.636643161,110.4879412,109.5818937,106.6086846
2001,3967.82亿元,7271.94亿元,2032.10亿元,3.57852949,105.8662319,103.4497732,104.6411592
2002,4269.52亿元,7662.16亿元,2156.68亿元,3.552748467,108.1384942,105.9214508,106.5679841
2003,4555.26亿元,7976.56亿元,2292.18亿元,3.479894988,105.3789527,102.9744141,104.5965031
2004,5071.06亿元,8717.91亿元,2521.38亿元,3.457597346,106.6251412,105.2408287,103.9409575
2005,5687.86亿元,9636.95亿元,2783.64亿元,3.4619961,109.5378498,108.3027263,106.7834983
2006,6318.92亿元,10515.77亿元,3065.53亿元,3.430327825,107.9742112,105.9474042,107.319094
2007,7453.71亿元,12216.98亿元,3537.84亿元,3.453228106,112.4459967,111.2151385,108.7223656
2008,8504.45亿元,13721.82亿元,3980.51亿元,3.447249235,107.4627773,106.1704539,104.7562245
2009,9248.52亿元,14686.64亿元,4295.22亿元,3.419296823,110.5236844,108.5997851,110.1451235
2010,10575.24亿元,16569.84亿元,4781.60亿元,3.465333828,107.5396114,105.8669632,105.3808778
2011,12668.13亿元,19218.46亿元,5879.64亿元,3.268645798,109.7693569,106.7908081,110.8493707
2012,14073.71亿元,20868.56亿元,6573.39亿元,3.174704506,109.0866951,107.0528567,108.129996
2013,15586.20亿元,22619.71亿元,7396.58亿元,3.058128591,107.9258639,105.6793989,109.4113547
2014,17220.31亿元,24429.89亿元,8364.96亿元,2.920503373,108.3625286,105.929664,110.8876373
2015,18857.16亿元,26118.72亿元,9409.22亿元,2.77586331,109.5186004,106.880495,112.650972
2016,20800.56亿元,28154.12亿元,10609.03亿元,2.653787034,108.1781715,105.6471967,110.8319675
2017,22968.49亿元,30322.72亿元,12145.26亿元,2.496670122,106.6483432,103.9596728,110.8079924
2018,25244.83亿元,32482.94亿元,13984.67亿元,2.322752631,107.3727931,104.6663136,112.4170359
2019,27504.14亿元,34900.20亿元,15382.39亿元,2.268841699,106.0768489,104.6314426,107.0201337
2020,27438.58亿元,34043.45亿元,16046.40亿元,2.121563077,97.5010959,95.37862897,101.7769652
2021,31072.06亿元,37994.27亿元,18601.37亿元,2.042552456,111.9128571,110.2885388,114.5863602
