投入,农林牧渔产品和服务,采掘产品,食品和烟草,纺织服装鞋及皮革羽绒制品,木材加工家具造纸印刷和文教工美用品,炼油炼焦和化学产品,非金属矿物制品,金属冶炼加工及制品,机械设备和交通运输设备及电子电气及其他设备,其他各类制造产品,电力热力燃气和水的生产和供应,建筑,批发零售运输仓储邮政,信息传输软件和信息技术服务,金融和房地产,科学研究和技术服务,其他服务,中间投入合计
农村居民最终消费支出,10974.55亿元,75.33亿元,15618.84亿元,2301.37亿元,1112.85亿元,2640.40亿元,156.08亿元,66.55亿元,5424.30亿元,118.80亿元,1611.09亿元,,8206.49亿元,2772.99亿元,14912.27亿元,84.57亿元,15587.81亿元,81664.29亿元
城镇居民最终消费支出,22105.50亿元,46.90亿元,45232.67亿元,10819.38亿元,4699.31亿元,10048.30亿元,392.58亿元,421.50亿元,22188.08亿元,336.66亿元,9998.44亿元,,27390.13亿元,9699.21亿元,70032.64亿元,355.42亿元,68577.30亿元,302344.03亿元
居民最终消费支出,33080.05亿元,122.23亿元,60851.52亿元,13120.75亿元,5812.16亿元,12688.70亿元,548.67亿元,488.05亿元,27612.38亿元,455.46亿元,11609.53亿元,,35596.62亿元,12472.19亿元,84944.92亿元,439.99亿元,84165.11亿元,384008.32亿元
政府消费支出,1963.96亿元,,,,,,,,,,,,4278.77亿元,,4510.25亿元,14631.98亿元,148240.42亿元,173625.38亿元
最终消费支出合计,35044.01亿元,122.23亿元,60851.52亿元,13120.75亿元,5812.16亿元,12688.70亿元,548.67亿元,488.05亿元,27612.38亿元,455.46亿元,11609.53亿元,,39875.39亿元,12472.19亿元,89455.16亿元,15071.97亿元,232405.53亿元,557633.69亿元
形成总额,1757.73亿元,,,,2587.69亿元,,,2516.29亿元,78322.27亿元,194.58亿元,,270717.63亿元,11930.21亿元,32868.66亿元,3296.00亿元,19655.86亿元,523.46亿元,424370.40亿元
存货变动,5490.15亿元,46.22亿元,852.56亿元,-357.11亿元,-636.49亿元,-2560.51亿元,214.07亿元,1295.70亿元,3724.92亿元,-210.38亿元,178.52亿元,,1113.35亿元,,,,,9150.99亿元
资本形成总额合计,7247.88亿元,46.22亿元,852.56亿元,-357.11亿元,1951.20亿元,-2560.51亿元,214.07亿元,3812.00亿元,82047.20亿元,-15.80亿元,178.52亿元,270717.63亿元,13043.56亿元,32868.66亿元,3296.00亿元,19655.86亿元,523.46亿元,433521.39亿元
出口最终使用,1817.17亿元,467.92亿元,3583.35亿元,18680.11亿元,11083.98亿元,16224.08亿元,3455.42亿元,10808.22亿元,82232.43亿元,1662.73亿元,104.50亿元,868.11亿元,27370.33亿元,3074.50亿元,689.52亿元,967.82亿元,4835.88亿元,187926.07亿元
最终使用合计,44109.06亿元,636.37亿元,65287.43亿元,31443.76亿元,18847.34亿元,26352.27亿元,4218.16亿元,15108.26亿元,191892.01亿元,2102.39亿元,11892.55亿元,271585.74亿元,80289.28亿元,48415.36亿元,93440.68亿元,35695.65亿元,237764.87亿元,1179081.15亿元
进口最终使用,6426.20亿元,29487.47亿元,8118.06亿元,3005.55亿元,3564.75亿元,19361.43亿元,1243.67亿元,8940.13亿元,62797.15亿元,927.38亿元,12.32亿元,554.50亿元,3932.22亿元,2765.15亿元,1056.31亿元,2774.78亿元,7692.07亿元,162659.15亿元
总产出,133168.33亿元,55653.36亿元,125136.28亿元,75738.69亿元,69380.59亿元,192267.76亿元,73303.19亿元,172766.16亿元,366892.17亿元,16418.16亿元,82145.21亿元,286030.50亿元,269768.60亿元,96524.28亿元,229600.36亿元,75134.24亿元,379099.93亿元,2699027.81亿元
