年份,能源消费总量,煤炭占能源消费总量的比重 ,石油占能源消费总量的比重,天然气占能源消费总量的比重 ,一次电力及其他能源占能源消费总量的比重
1978,57144.00万吨标准煤,70.70%,22.70%,3.20%,3.40%
1980,60275.00万吨标准煤,72.20%,20.70%,3.10%,4.00%
1985,76682.00万吨标准煤,75.80%,17.10%,2.20%,4.90%
1990,98703.00万吨标准煤,76.20%,16.60%,2.10%,5.10%
1991,103783.00万吨标准煤,76.10%,17.10%,2.00%,4.80%
1992,109170.00万吨标准煤,75.70%,17.50%,1.90%,4.90%
1993,115993.00万吨标准煤,74.70%,18.20%,1.90%,5.20%
1994,122737.00万吨标准煤,75.00%,17.40%,1.90%,5.70%
1995,131176.00万吨标准煤,74.60%,17.50%,1.80%,6.10%
1996,135192.00万吨标准煤,73.50%,18.70%,1.80%,6.00%
1997,135909.00万吨标准煤,71.40%,20.40%,1.80%,6.40%
1998,136184.00万吨标准煤,70.90%,20.80%,1.80%,6.50%
1999,140569.00万吨标准煤,70.60%,21.50%,2.00%,5.90%
2000,146964.00万吨标准煤,68.50%,22.00%,2.20%,7.30%
2001,155547.00万吨标准煤,68.00%,21.20%,2.40%,8.40%
2002,169577.00万吨标准煤,68.50%,21.00%,2.30%,8.20%
2003,197083.00万吨标准煤,70.20%,20.10%,2.30%,7.40%
2004,230281.00万吨标准煤,70.20%,19.90%,2.30%,7.60%
2005,261369.00万吨标准煤,72.40%,17.80%,2.40%,7.40%
2006,286467.00万吨标准煤,72.40%,17.50%,2.70%,7.40%
2007,311442.00万吨标准煤,72.50%,17.00%,3.00%,7.50%
2008,320611.00万吨标准煤,71.50%,16.70%,3.40%,8.40%
2009,336126.00万吨标准煤,71.60%,16.40%,3.50%,8.50%
2010,360648.00万吨标准煤,69.20%,17.40%,4.00%,9.40%
2011,387043.00万吨标准煤,70.20%,16.80%,4.60%,8.40%
2012,402138.00万吨标准煤,68.50%,17.00%,4.80%,9.70%
2013,416913.00万吨标准煤,67.40%,17.10%,5.30%,10.20%
2014,428334.00万吨标准煤,65.80%,17.30%,5.60%,11.30%
2015,434113.00万吨标准煤,63.80%,18.40%,5.80%,12.00%
2016,441492.00万吨标准煤,62.20%,18.70%,6.10%,13.00%
2017,455827.00万吨标准煤,60.60%,18.90%,6.90%,13.60%
2018,471925.00万吨标准煤,59.00%,18.90%,7.60%,14.50%
2019,487488.00万吨标准煤,57.70%,19.00%,8.00%,15.30%
2020,498314.10万吨标准煤,56.90%,18.80%,8.40%,15.90%
2021,524000.00万吨标准煤,56.00%,18.50%,8.90%,16.60%
