年份,能源消费比上年增长,电力消费比上年增长,国内消费总值比上年增长,能源消费弹性系数,电力消费弹性系数
1985,8.10%,9.00%,13.40%,0.60%,0.67%
1990,1.80%,6.20%,3.90%,0.46%,1.59%
1991,5.10%,9.20%,9.30%,0.55%,0.99%
1992,5.20%,11.50%,14.20%,0.37%,0.81%
1993,6.30%,11.00%,13.90%,0.45%,0.79%
1994,5.80%,9.90%,13.00%,0.45%,0.76%
1995,6.90%,8.20%,11.00%,0.63%,0.75%
1996,3.10%,7.40%,9.90%,0.31%,0.75%
1997,0.50%,4.80%,9.20%,0.05%,0.52%
1998,0.20%,2.80%,7.80%,0.03%,0.36%
1999,3.20%,6.10%,7.70%,0.42%,0.79%
2000,4.50%,9.50%,8.50%,0.53%,1.12%
2001,5.80%,9.30%,8.30%,0.70%,1.12%
2002,9.00%,11.80%,9.10%,0.99%,1.30%
2003,16.20%,15.60%,10.00%,1.62%,1.56%
2004,16.80%,15.40%,10.10%,1.66%,1.52%
2005,13.50%,13.50%,11.40%,1.18%,1.18%
2006,9.60%,14.60%,12.70%,0.76%,1.15%
2007,8.70%,14.40%,14.20%,0.61%,1.01%
2008,2.90%,5.60%,9.70%,0.30%,0.58%
2009,4.80%,7.20%,9.40%,0.51%,0.77%
2010,7.30%,13.20%,10.60%,0.69%,1.25%
2011,7.30%,12.10%,9.60%,0.76%,1.26%
2012,3.90%,5.90%,7.90%,0.49%,0.75%
2013,3.70%,8.90%,7.80%,0.47%,1.14%
2014,2.70%,6.70%,7.40%,0.36%,0.91%
2015,1.30%,0.30%,7.00%,0.19%,0.04%
2016,1.70%,5.50%,6.80%,0.25%,0.81%
2017,3.20%,7.70%,6.90%,0.46%,1.12%
2018,3.50%,8.50%,6.70%,0.52%,1.27%
2019,3.30%,4.70%,6.00%,0.55%,0.78%
2020,2.20%,3.70%,2.20%,1.00%,1.68%
2021,5.20%,10.40%,8.10%,0.64%,1.28%
