年份,总效率,发电及供热,炼焦,炼油及煤制油
1983,69.90%,36.90%,91.20%,99.20%
1984,69.20%,37.00%,90.10%,99.20%
1985,68.30%,36.90%,90.80%,99.10%
1986,68.30%,36.70%,90.60%,99.00%
1987,67.50%,36.80%,90.50%,98.80%
1988,66.50%,36.30%,90.80%,98.80%
1989,66.50%,36.70%,90.30%,98.60%
1990,66.50%,37.30%,91.30%,90.20%
1991,65.90%,37.60%,89.90%,98.10%
1992,66.00%,37.80%,92.70%,96.80%
1993,67.30%,39.90%,98.10%,98.50%
1994,65.20%,39.40%,89.60%,97.50%
1995,71.10%,37.30%,92.00%,97.70%
1996,70.20%,36.60%,94.10%,97.50%
1997,69.80%,35.90%,94.00%,97.40%
1998,69.30%,37.10%,95.00%,96.40%
1999,69.30%,37.00%,96.10%,97.50%
2000,69.40%,37.80%,96.20%,97.30%
2001,69.70%,38.20%,96.50%,97.60%
2002,69.00%,38.70%,96.60%,96.70%
2003,69.40%,38.50%,96.10%,96.40%
2004,70.60%,38.60%,97.10%,96.50%
2005,71.10%,39.00%,97.10%,96.90%
2006,70.90%,39.10%,97.00%,96.90%
2007,71.20%,39.80%,97.50%,97.20%
2008,71.50%,40.50%,98.50%,96.20%
2009,72.40%,41.20%,98.00%,96.70%
2010,72.50%,42.00%,96.40%,97.00%
2011,72.20%,42.10%,96.30%,97.40%
2012,72.70%,42.80%,95.70%,97.10%
2013,73.00%,43.10%,95.60%,97.70%
2014,73.10%,43.50%,93.70%,97.50%
2015,73.40%,44.20%,92.10%,96.90%
2016,73.50%,44.60%,92.80%,96.40%
2017,73.00%,45.00%,92.80%,96.00%
2018,72.80%,45.50%,92.40%,95.60%
2019,73.30%,45.80%,92.60%,95.30%
2020,73.70%,46.20%,93.10%,95.30%
