nid,年份,柴油可供量,柴油生产量,柴油进口量,柴油出口量,柴油消费量,农林牧渔业柴油消费量,工业柴油消费量,建筑业柴油消费量,交通运输仓储和邮政业柴油消费量,批发和零售业住宿和餐饮业柴油消费量,其他柴油消费量,居民生活柴油消费量
1,1980,1663.2万吨,1827.8万吨,2.1万吨,166.5万吨,1663.2万吨,749万吨,457.4万吨,76.5万吨,316.1万吨,6.5万吨,57.7万吨,,,,,
2,1985,1944.1万吨,2023.2万吨,4.5万吨,225.6万吨,1939.4万吨,629.2万吨,644.1万吨,125万吨,454.4万吨,10.9万吨,74万吨,,,,,
3,1990,2689.4万吨,2609万吨,233.8万吨,169.8万吨,2691.7万吨,881.5万吨,728.1万吨,133万吨,709.4万吨,22.5万吨,217万吨,,,,,
4,1995,4404.2万吨,3972.6万吨,645.3万吨,169.5万吨,4321.4万吨,1001.4万吨,1189.9万吨,118.2万吨,1246.6万吨,103.6万吨,645.7万吨,16.1万吨,,,,
5,2000,6806.5万吨,7079.6万吨,51.9万吨,77.5万吨,6806.2万吨,697.1万吨,1696.5万吨,205.9万吨,3293.8万吨,95.9万吨,638.7万吨,178.4万吨,,,,
6,2005,10972.6万吨,11090.2万吨,61万吨,170.9万吨,10974.9万吨,1286.3万吨,1710万吨,386.6万吨,6169.4万吨,116万吨,900.1万吨,406.4万吨,,,,
7,2010,14701.9万吨,14924.4万吨,190.2万吨,490.2万吨,14699万吨,1206.7万吨,2090万吨,490.2万吨,8657.6万吨,196.6万吨,1287.2万吨,770.7万吨,,,,
8,2011,15626.2万吨,15689.7万吨,243.3万吨,228.8万吨,15635.1万吨,1271.9万吨,1824.3万吨,518.6万吨,9485.2万吨,212.3万吨,1428.1万吨,894.7万吨,,,,
9,2012,16966.9万吨,17063.8万吨,99.9万吨,205.7万吨,16966万吨,1335.5万吨,1747.7万吨,518万吨,10727万吨,229万吨,1444.7万吨,964.1万吨,,,,
10,2013,17105.9万吨,17275.7万吨,35.3万吨,294.4万吨,17150.6万吨,1441.5万吨,1675.9万吨,557万吨,10920.5万吨,233.5万吨,1339.8万吨,982.5万吨,,,,
11,2014,17172.9万吨,17635.3万吨,55万吨,423.9万吨,17165.3万吨,1492万吨,1595.3万吨,552万吨,11042.8万吨,230.1万吨,1268.7万吨,984.4万吨,,,,
12,2015,17353.6万吨,18007.9万吨,71.5万吨,731.3万吨,17360.3万吨,1492.9万吨,1516.4万吨,555.7万吨,11162.8万吨,257.7万吨,1384.2万吨,990.7万吨,,,,
13,2016,16765.2万吨,17917.7万吨,116.1万吨,1556.9万吨,16839万吨,1495.9万吨,1412.9万吨,561.3万吨,11068.5万吨,232万吨,1307.2万吨,761.3万吨,,,,
14,2017,16994.5万吨,18667.9万吨,107.6万吨,1736.8万吨,16916.5万吨,1546.8万吨,1459.9万吨,596.1万吨,11173.7万吨,233.8万吨,1233.3万吨,673万吨,,,,
15,2018,16567.3万吨,18360.1万吨,89万吨,1872.8万吨,16409.6万吨,1468.2万吨,1259.5万吨,543.4万吨,11166.9万吨,211.8万吨,1107.4万吨,652.3万吨,,,,
