nid,年份,焦炭可供量,焦炭生产量,焦炭进口量,焦炭出口量,焦炭消费量,农林牧渔业焦炭消费量,工业焦炭消费量,建筑业焦炭消费量,交通运输仓储和邮政业焦炭消费量,批发和零售业住宿和餐饮业焦炭消费量,其他焦炭消费量,居民生活焦炭消费量
1,1980,4315.3万吨,4343万吨,,27.1万吨,4303万吨,10.6万吨,4266.7万吨,11.9万吨,8.2万吨,0.9万吨,4.7万吨,
2,1985,4689.7万吨,4802.1万吨,2.1万吨,36.9万吨,4689.7万吨,20.8万吨,4627.7万吨,7.8万吨,5.7万吨,2.7万吨,2万吨,23万吨
3,1990,7085.8万吨,7328.3万吨,,129万吨,6914.7万吨,60.1万吨,6808.8万吨,5.2万吨,4.1万吨,7.7万吨,1.9万吨,26.9万吨
4,1995,12207.1万吨,13424.5万吨,0.1万吨,886.1万吨,10725.3万吨,128.6万吨,10412万吨,10.8万吨,10.1万吨,25.7万吨,6.4万吨,131.6万吨
5,2000,10892.3万吨,12184万吨,,1519.7万吨,10840.8万吨,70.9万吨,10554.6万吨,19万吨,11.2万吨,35.7万吨,12.2万吨,137.2万吨
6,2005,25084.4万吨,26511.7万吨,0.5万吨,1276.4万吨,25105.8万吨,63.5万吨,24860.9万吨,18.4万吨,1.1万吨,64.1万吨,7.6万吨,90.3万吨
7,2010,38707.1万吨,38657.8万吨,11万吨,335万吨,38702.8万吨,46.8万吨,38598.7万吨,5.8万吨,0.1万吨,5.1万吨,2.8万吨,43.5万吨
8,2011,42085.8万吨,43433万吨,11.6万吨,329.7万吨,42063.3万吨,54.1万吨,41952.1万吨,4.8万吨,0.1万吨,9.2万吨,1.9万吨,41.1万吨
9,2012,44813.7万吨,43831.4万吨,7.6万吨,102万吨,44805.2万吨,57.5万吨,44694.8万吨,6.3万吨,0.1万吨,6.7万吨,1.9万吨,37.9万吨
10,2013,45850.1万吨,48347.8万吨,3.5万吨,467.3万吨,45851.9万吨,69.2万吨,45694万吨,7.7万吨,2.2万吨,35.8万吨,5万吨,38万吨
11,2014,46894.3万吨,47980.9万吨,0.2万吨,850.7万吨,46884.9万吨,34.9万吨,46749.6万吨,9.7万吨,2.7万吨,46.6万吨,5.1万吨,36.4万吨
12,2015,44018.9万吨,44822.5万吨,0.4万吨,964.8万吨,44058.7万吨,49.5万吨,43923万吨,6.7万吨,3万吨,40.1万吨,5.4万吨,31.2万吨
13,2016,45428.6万吨,44911.5万吨,0.1万吨,1011.9万吨,45462.4万吨,53.1万吨,45324.7万吨,7.1万吨,3.2万吨,41.3万吨,5.6万吨,27.4万吨
14,2017,43739.5万吨,43168.4万吨,1万吨,807.9万吨,43743.1万吨,38.4万吨,43609.1万吨,12.6万吨,6万吨,49.4万吨,5.9万吨,21.8万吨
15,2018,43257.9万吨,44751.4万吨,9.1万吨,975.8万吨,43716.6万吨,103万吨,43560.9万吨,10.6万吨,0.4万吨,19万吨,6.3万吨,16.4万吨
