nid,年份,煤油可供量,煤油生产量,煤油进口量,煤油出口量,煤油消费量,农林牧渔业煤油消费量,工业煤油消费量,建筑业煤油消费量,交通运输仓储和邮政业煤油消费量,批发和零售业住宿和餐饮业煤油消费量,其他煤油消费量,居民生活煤油消费量
1,1980,359万吨,398.5万吨,,46.8万吨,365.9万吨,2.3万吨,15.7万吨,0.8万吨,31.4万吨,0.2万吨,216.7万吨,98.8万吨
2,1985,383.2万吨,405.3万吨,15.2万吨,46万吨,385.5万吨,3.3万吨,20.1万吨,1.3万吨,56.2万吨,0.1万吨,182.9万吨,121.6万吨
3,1990,350.9万吨,392.5万吨,26.1万吨,55.5万吨,350.9万吨,3.1万吨,20.6万吨,1.3万吨,93.4万吨,0.6万吨,127.3万吨,104.6万吨
4,1995,486.4万吨,445.8万吨,115.7万吨,62.4万吨,512.1万吨,3.6万吨,44.9万吨,3.5万吨,250万吨,8.5万吨,137.3万吨,64.3万吨
5,2000,880.9万吨,872.3万吨,322.5万吨,256.3万吨,871.6万吨,1.5万吨,84万吨,4万吨,535.9万吨,14万吨,160.1万吨,72.2万吨
6,2005,1070万吨,1006.5万吨,476.1万吨,447.6万吨,1076.8万吨,1.6万吨,57.5万吨,,952.4万吨,3.7万吨,36.2万吨,25.5万吨
7,2010,1767.6万吨,1924.4万吨,726.1万吨,870.5万吨,1765.2万吨,0.9万吨,40.2万吨,8.8万吨,1601.1万吨,35万吨,58.7万吨,20.5万吨
8,2011,1821.7万吨,1922.4万吨,875.1万吨,966.8万吨,1816.7万吨,1.5万吨,34.2万吨,10.8万吨,1646.4万吨,32.2万吨,68.2万吨,23.5万吨
9,2012,1959.1万吨,2164万吨,877.3万吨,1085.9万吨,1956.6万吨,1.2万吨,32万吨,7.9万吨,1787.1万吨,28.6万吨,74.2万吨,25.6万吨
10,2013,2189.1万吨,2523.9万吨,945.2万吨,1280.6万吨,2164.1万吨,1.2万吨,27.4万吨,11.4万吨,1998.2万吨,13.4万吨,84.6万吨,27.9万吨
11,2014,2336.4万吨,3081万吨,721万吨,1455.8万吨,2335.4万吨,0.8万吨,17.4万吨,10.4万吨,2216万吨,11.3万吨,50.7万吨,28.9万吨
12,2015,2732.6万吨,3658.6万吨,716.4万吨,1626.6万吨,2663.7万吨,1.1万吨,21.2万吨,12.5万吨,2504.9万吨,11.7万吨,83.3万吨,29.1万吨
13,2016,3020.7万吨,3983.9万吨,776.7万吨,1721.7万吨,2970.7万吨,2.2万吨,20万吨,10万吨,2814.9万吨,11.2万吨,85.9万吨,26.4万吨
14,2017,3332.8万吨,4230.9万吨,852.3万吨,1765.2万吨,3326.4万吨,1.5万吨,14.5万吨,9.7万吨,3173.3万吨,11.3万吨,88.4万吨,27.6万吨
15,2018,3714.3万吨,4770.3万吨,942.3万吨,1947万吨,3653.5万吨,4.9万吨,24.9万吨,17.3万吨,3462.5万吨,15.5万吨,103.8万吨,24.6万吨
