nid,年份,汽油可供量,汽油生产量,汽油进口量,汽油出口量,汽油消费量,农林牧渔业汽油消费量,工业汽油消费量,建筑业汽油消费量,交通运输仓储和邮政业汽油消费量,批发和零售业住宿和餐饮业汽油消费量,其他汽油消费量,居民生活汽油消费量
1,1980,999.4万吨,1079万吨,,117.8万吨,998.6万吨,53.3万吨,273.2万吨,54.1万吨,404.9万吨,19.4万吨,193.7万吨,
2,1985,1399.6万吨,1471.9万吨,0.3万吨,129.9万吨,1396.3万吨,122.3万吨,451.3万吨,73万吨,477.4万吨,23.4万吨,238.3万吨,10.6万吨
3,1990,1884.1万吨,2173.4万吨,16.9万吨,233.8万吨,1899.5万吨,145.9万吨,589.3万吨,89.5万吨,620.1万吨,46万吨,390.7万吨,18万吨
4,1995,2902万吨,3051.6万吨,15.9万吨,193.1万吨,2909.6万吨,179.7万吨,812.4万吨,103.6万吨,982.3万吨,197.2万吨,570.7万吨,63.7万吨
5,2000,3504.5万吨,4134.7万吨,,467.7万吨,3504.6万吨,89.2万吨,682万吨,115.6万吨,1527.8万吨,69.8万吨,792.7万吨,227.6万吨
6,2005,4855.3万吨,5433.6万吨,,559.7万吨,4854.9万吨,159.6万吨,441.7万吨,172.1万吨,2430.1万吨,129.4万吨,998.2万吨,523.8万吨
7,2010,6964.3万吨,7410.5万吨,,517万吨,6956.2万吨,169.1万吨,689.5万吨,274.7万吨,3274.9万吨,168.2万吨,1166.2万吨,1213.7万吨
8,2011,7597.9万吨,8117.9万吨,2.9万吨,406万吨,7595.9万吨,186万吨,604.8万吨,282.8万吨,3573.5万吨,177.1万吨,1313.2万吨,1458.6万吨
9,2012,8164.5万吨,8976.1万吨,0.5万吨,291.7万吨,8165.9万吨,192.9万吨,581.1万吨,286.9万吨,3778万吨,200.1万吨,1460.5万吨,1666.5万吨
10,2013,9369.5万吨,9834万吨,,468.7万吨,9366.4万吨,198.7万吨,523.4万吨,326.5万吨,4381.8万吨,220.9万吨,1818.7万吨,1896.4万吨
11,2014,9770.7万吨,11029.9万吨,3.4万吨,507.5万吨,9776.4万吨,216.6万吨,489万吨,331万吨,4665万吨,217.8万吨,1738.1万吨,2118.8万吨
12,2015,11385万吨,12103.6万吨,17万吨,589.3万吨,11368.5万吨,231.3万吨,477.1万吨,408.6万吨,5306.6万吨,243.3万吨,2108.5万吨,2593.1万吨
13,2016,11829.4万吨,12932万吨,20.8万吨,969.3万吨,11866万吨,224.4万吨,436.3万吨,437.3万吨,5511.1万吨,240.9万吨,2046.4万吨,2969.7万吨
14,2017,12200.5万吨,13276.2万吨,1.6万吨,1051.4万吨,12296.3万吨,229.6万吨,382.1万吨,452.3万吨,5698.5万吨,244.5万吨,2075万吨,3214.2万吨
15,2018,13035.3万吨,14264.7万吨,44.5万吨,1287.9万吨,13055.3万吨,242.9万吨,296.5万吨,505万吨,6067.6万吨,275.5万吨,2163.6万吨,3504.2万吨
