nid,年份,原油可供量,原油生产量,原油进口量,原油出口量,原油消费量,农林牧渔业原油消费量,工业原油消费量,建筑业原油消费量,交通运输仓储和邮政业原油消费量,批发和零售业住宿和餐饮业原油消费量,其他原油消费量
1,1980,9222.9万吨,10594.6万吨,36.6万吨,1330.9万吨,9205万吨,8万吨,9112万吨,28.8万吨,50.1万吨,,6.1万吨
2,1985,9516.5万吨,12489.5万吨,,3003万吨,9509.5万吨,0.8万吨,9389.9万吨,74万吨,44.3万吨,0.1万吨,0.4万吨
3,1990,11770.6万吨,13830.6万吨,292.3万吨,2399万吨,11762.2万吨,0.2万吨,11653.8万吨,55.2万吨,52.1万吨,0.3万吨,0.6万吨
4,1995,14794.9万吨,15004.4万吨,1709万吨,1822.7万吨,14886.4万吨,10.1万吨,14716.3万吨,2.7万吨,156.8万吨,0.5万吨,1390.3万吨
5,2000,21383万吨,16300万吨,7026.5万吨,1030.6万吨,21232万吨,,21052.1万吨,3.3万吨,175.1万吨,0.2万吨,1.4万吨
6,2005,30089.2万吨,18135.3万吨,12681.7万吨,806.7万吨,30088.9万吨,,29962.1万吨,,126.9万吨,,
7,2010,42876.6万吨,20301.4万吨,23768.2万吨,303万吨,42874.6万吨,,42716.6万吨,,158万吨,,
8,2011,43961万吨,20287.6万吨,25377.9万吨,251.4万吨,43965.8万吨,,43860.4万吨,,105.4万吨,,
9,2012,46684.7万吨,20747.8万吨,27102.7万吨,243.2万吨,46678.9万吨,,46559.5万吨,,119.4万吨,,
10,2013,48670.9万吨,20991.9万吨,28174.2万吨,161.7万吨,48652.2万吨,,48503.4万吨,,148.7万吨,,
11,2014,51744.6万吨,21142.9万吨,30837.4万吨,60万吨,51597万吨,,51552.1万吨,,44.9万吨,,
12,2015,54593.5万吨,21455.6万吨,33548.3万吨,286.6万吨,54788.3万吨,,54752.4万吨,,35.9万吨,,
13,2016,57332.3万吨,19968.5万吨,38100.7万吨,294.1万吨,57125.9万吨,,57103.6万吨,,22.3万吨,,
14,2017,59969万吨,19150.6万吨,41946.2万吨,486.1万吨,59402.2万吨,,59393.5万吨,,8.7万吨,,
15,2018,63849.2万吨,18932.4万吨,46188.5万吨,262.7万吨,63004.3万吨,,62995.5万吨,,8.8万吨,,
