nid,年份,可供消费的能源总量,一次能源生产总量,能源进口量,能源出口量,能源消费总量,农林牧渔业能源消费总量,工业能源消费总量,建筑业能源消费总量,交通运输仓储和邮政业能源消费总量,批发和零售业住宿和餐饮业能源消费总量,其他能源消费总量,居民生活能源消费总量
1,1980,61557万吨标准煤,63735万吨标准煤,261万吨标准煤,3058万吨标准煤,60275万吨标准煤,4692万吨标准煤,38986万吨标准煤,957万吨标准煤,2902万吨标准煤,518万吨标准煤,1205万吨标准煤,11015万吨标准煤
2,1985,77603万吨标准煤,85546万吨标准煤,340万吨标准煤,5774万吨标准煤,76682万吨标准煤,4045万吨标准煤,51068万吨标准煤,1302万吨标准煤,3713万吨标准煤,766万吨标准煤,2470万吨标准煤,13318万吨标准煤
3,1990,96138万吨标准煤,103922万吨标准煤,1310万吨标准煤,5875万吨标准煤,98703万吨标准煤,4852万吨标准煤,67578万吨标准煤,1213万吨标准煤,4541万吨标准煤,1247万吨标准煤,3473万吨标准煤,15799万吨标准煤
4,1995,129535万吨标准煤,129034万吨标准煤,5456万吨标准煤,6776万吨标准煤,131176万吨标准煤,5505万吨标准煤,96191万吨标准煤,1335万吨标准煤,5863万吨标准煤,2018万吨标准煤,4519万吨标准煤,15745万吨标准煤
5,2000,144234万吨标准煤,138570万吨标准煤,14327万吨标准煤,9327万吨标准煤,146964万吨标准煤,4233万吨标准煤,103014万吨标准煤,2207万吨标准煤,11447万吨标准煤,3251万吨标准煤,6118万吨标准煤,16695万吨标准煤
6,2005,254619万吨标准煤,229037万吨标准煤,26823万吨标准煤,11257万吨标准煤,261369万吨标准煤,6860万吨标准煤,187914万吨标准煤,3486万吨标准煤,19136万吨标准煤,5917万吨标准煤,10484万吨标准煤,27573万吨标准煤
7,2010,365588万吨标准煤,312125万吨标准煤,57671万吨标准煤,8803万吨标准煤,360648万吨标准煤,7266万吨标准煤,261377万吨标准煤,5533万吨标准煤,27102万吨标准煤,7847万吨标准煤,15052万吨标准煤,36470万吨标准煤
8,2011,390394万吨标准煤,340178万吨标准煤,65437万吨标准煤,8449万吨标准煤,387043万吨标准煤,7675万吨标准煤,278048万吨标准煤,6052万吨标准煤,29694万吨标准煤,9147万吨标准煤,16843万吨标准煤,39584万吨标准煤
9,2012,407594万吨标准煤,351041万吨标准煤,68701万吨标准煤,7374万吨标准煤,402138万吨标准煤,7804万吨标准煤,284712万吨标准煤,6337万吨标准煤,32561万吨标准煤,10012万吨标准煤,18407万吨标准煤,42306万吨标准煤
10,2013,417415万吨标准煤,358784万吨标准煤,73420万吨标准煤,8005万吨标准煤,416913万吨标准煤,8055万吨标准煤,291130万吨标准煤,7017万吨标准煤,34819万吨标准煤,10598万吨标准煤,19763万吨标准煤,45531万吨标准煤
11,2014,427430万吨标准煤,362212万吨标准煤,78027万吨标准煤,8270万吨标准煤,428334万吨标准煤,8020万吨标准煤,298449万吨标准煤,7377万吨标准煤,36343万吨标准煤,10864万吨标准煤,20069万吨标准煤,47211万吨标准煤
12,2015,431636万吨标准煤,362193万吨标准煤,77695万吨标准煤,9785万吨标准煤,434113万吨标准煤,8271万吨标准煤,295953万吨标准煤,7545万吨标准煤,38510万吨标准煤,11447万吨标准煤,21925万吨标准煤,50461万吨标准煤
13,2016,434121万吨标准煤,345954万吨标准煤,90235万吨标准煤,11956万吨标准煤,441492万吨标准煤,8585万吨标准煤,295615万吨标准煤,7847万吨标准煤,39883万吨标准煤,12042万吨标准煤,23185万吨标准煤,54336万吨标准煤
14,2017,450444万吨标准煤,358867万吨标准煤,100039万吨标准煤,12669万吨标准煤,455827万吨标准煤,8945万吨标准煤,302308万吨标准煤,8243万吨标准煤,42140万吨标准煤,12456万吨标准煤,24277万吨标准煤,57459万吨标准煤
15,2018,471686万吨标准煤,378859万吨标准煤,110787万吨标准煤,13337万吨标准煤,471925万吨标准煤,8781万吨标准煤,311151万吨标准煤,8685万吨标准煤,43617万吨标准煤,12994万吨标准煤,26262万吨标准煤,60436万吨标准煤
